question	choices	answer	subject	output	verbalized
What is the value of p in 24 = 2p?	['p = 4', 'p = 8', 'p = 12', 'p is 24']	C	elementary_mathematics	B) p = 12	B
Mrs. Perez traveled a total of 40 kilometers in five days. Each day she traveled the same distance in kilometers. How many kilometers did Mrs. Perez travel daily?	['5 years', 'The 7', '8 and 9', '9 and 9']	C	elementary_mathematics	Option A) 5 years	A
Find the quotient of -40 ÷ (−8).	['1 out of 5', '- The five.', '-1 out of 5', '5 years']	D	elementary_mathematics	A) 1 out of 5	A
A football team has a budget of $90.00 to acquire footballs. If a football costs $15.60, what is the maximum amount of footballs the team can afford?	['The 4', '5 years', '6 and 7', 'The 7']	B	elementary_mathematics	B) 5	B
You are attending a concert with three friends, and knowing that the total cost of the four tickets is $112, write and solve an equation to find the cost of a ticket b.	['4b is 112; $448', '4b is 112; $28', 'b over 4 is 112; $448', 'b over 4 is 112; $28']	B	elementary_mathematics	B) 4b is 112; $28	B
Use the following calculation: 3 × [(2 × 6 - 5) + (8 ÷ 4) ] - 1, to answer the following question: what is the value of the operation?	['9 and 9', 'The 11', '26 and', '32 and']	C	elementary_mathematics	D) 32	D
Write 1 and 1 out of 11 in the simplest integer or mixed form .	['1.1 out of 11', '11 out of 11', '12 out of 11', '11 out of 12']	C	elementary_mathematics	A) 1.1 out of 11	A
Find the quotient of 2.16 divided by 0.06.	['3.6 years', '36 and', '0, 01272 and', '12 and 72']	B	elementary_mathematics	36	unknown
Find the difference between 142.76 and 16.5.	['159.26 days', '2,224 people', '14.111 days', '126.26 and']	D	elementary_mathematics	Option D) 126.26	D
Determine the quotient of 5.04/0.7	['0.72 years', '702 and', '10, 0571 and', '7 and 2']	D	elementary_mathematics	C) 10	C
