premise	hypothesis	label	output	verbalized
Yoo, na mendwene ho mpo, nanso na m'abam abu, na, ewie aseɛ no me ne no kasaa bio.	Me ne no nkasae bio.	contradiction	true	entailment
Yoo, na mendwene ho mpo, nanso na m'abam abu, na, ewie aseɛ no me ne no kasaa bio.	Mebo fuu yiye na mehyɛɛ aseɛ sɛ me ne no kasa bio. 	entailment	true	entailment
Yoo, na mendwene ho mpo, nanso na m'abam abu, na, ewie aseɛ no me ne no kasaa bio.	Yɛ ne no nnya nkutahodie kama.	neutral	true	entailment
Wɔka kyerɛɛ me sɛ, wɔbe frɛ me wɔ ɔbarima bia mehyia no wɔ awieeɛ no mu. 	Wɔanka biribiara ankyerɛ me sɛ mihyiaa obiara.	contradiction	true	entailment
Wɔka kyerɛɛ me sɛ, wɔbe frɛ me wɔ ɔbarima bia mehyia no wɔ awieeɛ no mu. 	Wɔka kyersɛsɛ me sɛ, wɔbɛfrɛ ɔbarima bi ama na yɛhyia.	entailment	true	entailment
Wɔka kyerɛɛ me sɛ, wɔbe frɛ me wɔ ɔbarima bia mehyia no wɔ awieeɛ no mu. 	Ɔbarima no baa akyiri yi.	neutral	true	entailment
Nneama pii wɔ hɔ a wubetumi aka ho asɛm a meyi meni wɔ ho. 	Mepɛ sɛ meka biribiara kyerɛ wo a na menim wɔ ho no!	contradiction	true	entailment
Nneama pii wɔ hɔ a wubetumi aka ho asɛm a meyi meni wɔ ho. 	Menka asɛm biara ɛmfa ho, ɛwom sɛ nneɛma bebree wɔ hɔ a ɛyɛ sɛ yɛka.	entailment	true	entailment
Nneama pii wɔ hɔ a wubetumi aka ho asɛm a meyi meni wɔ ho. 	Menka asɛm biara ɛmfa abakɔsɛm fa kuropɔn no ho efisɛ nsɛm pii wɔ hɔ a ɛsɛ sɛ wɔka.	neutral	true	entailment
Enti na minnim nea enti a ɛte saa.	Me wɔ ahotɔsoɔ wɔ nea enti a ɛte saa.	contradiction	true	entailment
Enti na minnim nea enti a ɛte saa.	Minnim nea enti a wɔfirii sukuu hɔ kɔɔ foforɔ mu.	neutral	true	entailment
Enti na minnim nea enti a ɛte saa.	Minnim nea enti a ɛbaa mu.	entailment	true	entailment
Na mɛyɛ baako pɛ, na menkoa na medi afidie no ho dwuma, na nhwehwɛmu nhyiamudan nketekete ɛwɔ soro.	Na mempɛ sɛ menkoa na na meyɛ nhwehwɛmu no.	neutral	true	entailment
Na mɛyɛ baako pɛ, na menkoa na medi afidie no ho dwuma, na nhwehwɛmu nhyiamudan nketekete ɛwɔ soro.	Nhwehwɛmu no baa awie wɔ nhyiamudan nketewa a ɛwɔ soro no mu.	entailment	true	entailment
Na mɛyɛ baako pɛ, na menkoa na medi afidie no ho dwuma, na nhwehwɛmu nhyiamudan nketekete ɛwɔ soro.	Yɛn mu ketewa bi na yɛbetumi ahwɛ ahwɛsofoɔ nhwehwɛmu no.	contradiction	false	contradiction
Meyɛ, Owura Panin Sergeant, a ɔkɔ ahomegyeɛ mu, sɛneɛ Rick kaɛ no.	Mekɔ so ara yɛ adwuma besi nnɛ. 	contradiction	true	entailment
Meyɛ, Owura Panin Sergeant, a ɔkɔ ahomegyeɛ mu, sɛneɛ Rick kaɛ no.	Mekɔɔ ahomegyeɛ mu wɔ afe 2002 mu.	neutral	true	entailment
Meyɛ, Owura Panin Sergeant, a ɔkɔ ahomegyeɛ mu, sɛneɛ Rick kaɛ no.	Rock ka kyerɛɛ wo sɛ megyae adwuma. 	entailment	true	entailment
Na sikasɛm bikɔ so wɔ me pon so, na ɛyɛ Cutty dea, saa na ɔdetɔfoɔ no din di.	Cutty ɔdetɔni no nya $10000 wɔ bosome mu. 	neutral	true	entailment
Na sikasɛm bikɔ so wɔ me pon so, na ɛyɛ Cutty dea, saa na ɔdetɔfoɔ no din di.	Ɔdetɔni bi wɔ hɔ a yɛfrɛ no Cutty.	entailment	true	entailment
Na sikasɛm bikɔ so wɔ me pon so, na ɛyɛ Cutty dea, saa na ɔdetɔfoɔ no din di.	Yɛn ni ɔdetɔni biara a yɛfrɛ no Cutty.	contradiction	true	entailment
Abaayewa noa ɔbetumi aboa me no wɔ kuro no fa nohoa.	Abaayewa a mehia ne mboa fri ne hɔ no te akyirikyiri.	entailment	true	entailment
Abaayewa noa ɔbetumi aboa me no wɔ kuro no fa nohoa.	Abaayewa a wɔbɛ boa  me no te ɛkwansini num akyiri. 	neutral	true	entailment
Abaayewa noa ɔbetumi aboa me no wɔ kuro no fa nohoa.	Obiara nni hɔ a ɔbetumi aboa me.	contradiction	true	entailment
