question	choices	answer	subject	output	verbalized
Is the equation P with 24 = 2p complicated?	['p = 4', 'p = 8', 'p = 12', 'p = 24']	C	elementary_mathematics	B)p = 12	B
Ms. Perez swam her boat 40 miles in five days. She swam this distance every day. How many miles did Ms. Perez swim every day?	['5 and 6', '7', '8', '9']	C	elementary_mathematics	C)8	C
Compare the fractions in this equation: −40 ÷ (−8).	['1 out of 5', '- 5', '−1 to the fifth power.', '5 and 6']	D	elementary_mathematics	B) -5	B
If a team has $90.00 to buy a ball, how many balls can the team buy for $15.60?	['4 and 5.', '5 and 6', '6th', '7']	B	elementary_mathematics	A) 4 and 5	A
You and your three friends went to a theater. Four tickets cost $112. Type in and ask for a coupon to get one ticket for the price of t.	['4t is equal to 112; $448', '4t is equal to 112; $28', 't squared by 4 = 112; $448', 't squared by 4 = 112; $28']	B	elementary_mathematics	B) 4t is equal to 112; $28	B
Use the following expression to answer the following question: 3 x [(2 x 6 5) + (8 ÷ 4) ]  1. What is the text of the expression?	['9', '11', '26', '32 years']	C	elementary_mathematics	C)26	C
Write 1 and 11 as sums or combinations in their simplest form.	['1.1 out of 11', '11 by 11', '12 by 11', '11 out of 12']	C	elementary_mathematics	A) 1.1 out of 11	A
Find the ratio of 2.16 ÷ 0.06	['3.6', '36', '0.01272', '12.72 years']	B	elementary_mathematics	B)36	B
Look at the difference between 142.76  16.5	['159.26', '2.224 people', '14,111', '126.26 years']	D	elementary_mathematics	A) 159.26	A
See the table in 5.04/0.7	['0.72', '0.702 years', '10,0571', '7.2']	D	elementary_mathematics	C)10	C
Jimmy and Kima are sailing. They will sail for three days. On the first day, he will sail 182 nautical miles. On the second day, he will sail 217 nautical miles. Which of these statements is closest to the estimate of how many miles Jimmy and Kima will sail on their trip?	['150 and 400 and 200', 'Two hundred plus four hundred plus two hundred', '200 and 450 and 200', 'Two hundred plus five hundred plus two hundred']	C	elementary_mathematics	C)200 and 450 and 200	C
What is 7 divided by 21?	['21 years', '7', '1 and 2', 'not at all']	D	elementary_mathematics	D) not at all	D
Maddie will do 56 miles of horseback riding in seven days. She will do the same amount of miles every day. How many miles will Maddie do per day?	['8', '9', '49 years', '63 years']	A	elementary_mathematics	A)8	A
Find the equation that gives the following result: 48 divided by 88 = ? divided by 11	['6th', '11', '8', '5 and 6']	A	elementary_mathematics	A) 6	A
What exactly is procrastination?	['10 courses for $23.20', '16 courses for $36.48', '13 courses for $29.51', '12 workshops for $27.60']	C	elementary_mathematics	D)12 workshops for $27.60	D
If Trish Akoma beats 50 times a minute, how many times does her heart beat in a minute?	['5 minutes', '14 minutes', '34 minutes', '70 minutes']	B	elementary_mathematics	A)5 minutes	A
Match the following words: 23, 13, 18, 29, 32, 25	['18 years', '24 years', '25 years', '29']	B	elementary_mathematics	D)29	D
Jack lives 60 miles from the apple tree. He uses 12 of them to make three apples. He puts the rest of them in a basket of six. What number can you use to find out how many apples Jack puts in the gift basket?	['(60/6) - 12 is equal to', '(60 - 12) 6 = a', '(60-6) - 12 = a', '(60+12) /6 is equal to a']	B	elementary_mathematics	B)(60 - 12) / 6 = a	B
Some guides use the following equation: 1 inch is equal to 25 centimeters. How many centimeters represent 5 fingers on this guide?	['5 and 6', '25 years', '50 years', '125 years']	D	elementary_mathematics	D)125 years	D
Sum it up: (2 + 5) ^2 − 42	['7', 'The 16th', '30', '33']	A	elementary_mathematics	A) 7	A
Look up the verse in the following sentence: 4 ÷ 2 • 2 + 8 − 4	['-12 years', '12 years', '8', 'The 16th']	C	elementary_mathematics	C)8	C
A person who trains an athlete helps to count the number of runners up to 10. A person who counts in this way is 400. What number would be the number of runners in the meeting?	['three hundred eighty-two', '397 people', '406 years', '447 years']	B	elementary_mathematics	B)397 people	B
−4 + (−3 ) =	['Minus seven', '-1 is equal to -1', '1 and 2', '7']	A	elementary_mathematics	A) Minus seven	A
