question	choices	answer	subject	command_r+	prompt	verbalized
p erina muwendo ki mu 24 = 2p?	['p = 4', 'p = 8', 'p = 12', 'p = 24']	C	elementary_mathematics	p = 8	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: p erina muwendo ki mu 24 = 2p?
 A)p = 4 B)p = 8 C)p = 12 D)p = 24"	B
Mkyl. Perez yavuga omugatte gwa mmayiro 40 mu nnaku 5. Avuga mmayiro ze zimu buli lunaku. Mkyl. Perez yavuganga mmayiro mmeka buli lunaku?	['5', '7', '8', '9']	C	elementary_mathematics	C)8	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Mkyl. Perez yavuga omugatte gwa mmayiro 40 mu nnaku 5. Avuga mmayiro ze zimu buli lunaku. Mkyl. Perez yavuganga mmayiro mmeka buli lunaku?
 A)5 B)7 C)8 D)9"	C
Zuula obugabanye bwa −40 ÷ (−8).	['1 gabizaamu 5', '-5', '-1 gabizaamu 5', '5']	D	elementary_mathematics	5	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Zuula obugabanye bwa −40 ÷ (−8).
 A)1 gabizaamu 5 B)-5 C)-1 gabizaamu 5 D)5"	D
Ttiimu y'omupiira erina $90.00 okugula emipiira. Singa omupiira gumu gubeera gugula $15.60, muwendo gwa mipiira ki ogusinga obunene ttiimu gw'eyinza okugula?	['4', '5', '6', '7']	B	elementary_mathematics	C)6	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Ttiimu y'omupiira erina $90.00 okugula emipiira. Singa omupiira gumu gubeera gugula $15.60, muwendo gwa mipiira ki ogusinga obunene ttiimu gw'eyinza okugula?
 A)4 B)5 C)6 D)7"	C
Ggwe ne mikwano gyo esatu mugenda mu kivvulu. Omugatte gw'ebisale bya ttiketi ennya guli $112. Wandiika era omulungule ekyoleko nnakyenkanyanjuyi okuzuula ebisale bya ttiketi t. 	['4t = 112; $448', '4t = 112; $28', 't ku 4 = 112; $448', 't ku 4 = 112; $28']	B	elementary_mathematics	C)t ku 4 = 112; $448	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Ggwe ne mikwano gyo esatu mugenda mu kivvulu. Omugatte gw'ebisale bya ttiketi ennya guli $112. Wandiika era omulungule ekyoleko nnakyenkanyanjuyi okuzuula ebisale bya ttiketi t. 
 A)4t = 112; $448 B)4t = 112; $28 C)t ku 4 = 112; $448 D)t ku 4 = 112; $28"	C
Kozesa ekyoleko wammanga okwanukula ekibuuzo. 3 x [2 x 6 - 5) + (8 ÷ 4)] - 1 Ekimulungulo ky'ekyoleko kino kye ki?	['9', '11', '26', '32']	C	elementary_mathematics	C)26	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Kozesa ekyoleko wammanga okwanukula ekibuuzo. 3 x [2 x 6 - 5) + (8 ÷ 4)] - 1 Ekimulungulo ky'ekyoleko kino kye ki?
 A)9 B)11 C)26 D)32"	C
Wandiika 1 ne 1 kya 11 ng'omuwendo omulamba oba omugattike nga gugabiziddwamu okutuukira ddala ku gusembayo okubeera omutono	['11 ku 11', '11 ku 11', '12 ku 11', '11 ku 12']	C	elementary_mathematics	D)11 ku 12	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Wandiika 1 ne 1 kya 11 ng'omuwendo omulamba oba omugattike nga gugabiziddwamu okutuukira ddala ku gusembayo okubeera omutono
 A)11 ku 11 B)11 ku 11 C)12 ku 11 D)11 ku 12"	D
Zuula ekigabize kya 2.16 ÷ 0.06	['3.6', '36', '0.01272', '12.72']	B	elementary_mathematics	D)12.72	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Zuula ekigabize kya 2.16 ÷ 0.06
 A)3.6 B)36 C)0.01272 D)12.72"	D
ZUula ekyawule kya 142.76 - 16.5.	['159.26', '2.224', '14,111', '126.26']	D	elementary_mathematics	A)159.26	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: ZUula ekyawule kya 142.76 - 16.5.
 A)159.26 B)2.224 C)14 D)111"	A
Zuula ekigabize kya 5.04/0.7	['0.72', '0.702', '10.0571', '7.2']	D	elementary_mathematics	A)0.72	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Zuula ekigabize kya 5.04/0.7
 A)0.72 B)0.702 C)10.0571 D)7.2"	A
Jimmy ne Kima bagenda ku lugendo. Bajja kuvuga okumala ennaku ssatu. Ku lunaku olusooka bajja kuvuga mmayiro 182. Olunaku olwokubiri bajja kuvuga mmayiro 439. Ku lunaku olwokusatu bajja kuvuga mmayiro 217. Kyoleko ki ekisinga okusemberera ekiteeberezo ky'obungi bwa mmayiro Jimmy ne Kima ze bajja okuvuga mu lugendo lwabwe?	['150 + 400 + 200', '200 + 400 + 200', '200 + 450 + 200', '200 + 500 + 200']	C	elementary_mathematics	C)200 + 450 + 200	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Jimmy ne Kima bagenda ku lugendo. Bajja kuvuga okumala ennaku ssatu. Ku lunaku olusooka bajja kuvuga mmayiro 182. Olunaku olwokubiri bajja kuvuga mmayiro 439. Ku lunaku olwokusatu bajja kuvuga mmayiro 217. Kyoleko ki ekisinga okusemberera ekiteeberezo ky'obungi bwa mmayiro Jimmy ne Kima ze bajja okuvuga mu lugendo lwabwe?
 A)150 + 400 + 200 B)200 + 400 + 200 C)200 + 450 + 200 D)200 + 500 + 200"	C
Enfissi ya 21 ng'egabiziddwamu 7 ebeera ki?	"['21', '7', '1', ""Tewali n'ekimu ku bino""]"	D	elementary_mathematics	D) Tewali n'ekimu ku bino	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Enfissi ya 21 ng'egabiziddwamu 7 ebeera ki?
 A)21 B)7 C)1 D)Tewali n'ekimu ku bino"	D
