question	choices	answer	subject	command_r+	prompt	verbalized
p akamirira chii pa 24 = 2p?	['p=4', 'p = 8', 'p = 12', 'p = 24']	C	elementary_mathematics	A)p=4	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: p akamirira chii pa 24 = 2p?
 A)p=4 B)p = 8 C)p = 12 D)p = 24"	A
Ms Perezi vakatyaira mamaira anoita 40 mumazuva 5. Vaityaira  mamaira akafanana pazuva rega rega. Ms Perezi vakatyaira mamaira mangani pazuva rega rega? 	['5', '7', '8', '9']	C	elementary_mathematics	C)8	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Ms Perezi vakatyaira mamaira anoita 40 mumazuva 5. Vaityaira  mamaira akafanana pazuva rega rega. Ms Perezi vakatyaira mamaira mangani pazuva rega rega? 
 A)5 B)7 C)8 D)9"	C
Tsvaka mhinduro ya −40 ÷ (−8).	['1 pamusoro pa5', '-5', '-1 pamusoro pa 5', '5']	D	elementary_mathematics	5	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Tsvaka mhinduro ya −40 ÷ (−8).
 A)1 pamusoro pa5 B)-5 C)-1 pamusoro pa 5 D)5"	D
Chikwata chebhora remakumbo chine $90 yekutengesa mabhora. Kana bhora rimwe richiita $15.60, mabhora mangani angatengwe nechikwata ichi.	['4', '5', '6', '7']	B	elementary_mathematics	B)5	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Chikwata chebhora remakumbo chine $90 yekutengesa mabhora. Kana bhora rimwe richiita $15.60, mabhora mangani angatengwe nechikwata ichi.
 A)4 B)5 C)6 D)7"	B
Iwe neshamwari dzako nhatu maenda kukonzati. Matikiti mana anoita $112. Gadzira chinyorwa chinoita kuti uwane mari ye tikiti rimwechete 	['4t= 112:448', '4t=112:$28', 't pamusoro pa 4 =112:$448', 't pamusoro pa =112:28']	B	elementary_mathematics	C) t + 4 = 112:448	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Iwe neshamwari dzako nhatu maenda kukonzati. Matikiti mana anoita $112. Gadzira chinyorwa chinoita kuti uwane mari ye tikiti rimwechete 
 A)4t= 112:448 B)4t=112:$28 C)t pamusoro pa 4 =112:$448 D)t pamusoro pa =112:28"	C
Shandisa chinyorwa chiripasi kupindura mibvunzo. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1. Chinyorwa ichi chakamirira chii?	['9', '11', '26', '32']	C	elementary_mathematics	C)26	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Shandisa chinyorwa chiripasi kupindura mibvunzo. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1. Chinyorwa ichi chakamirira chii?
 A)9 B)11 C)26 D)32"	C
Nyora 1 na 1 pamusoro pa 11 se nhamba yakazara kana kuti senhamba yakasanganiswa yakadzikiswa pasi 	['1.1 pamusoro pa 11', '11 pamusoro pa 11', '12 pamusoro pa 11', '11 pamusoro pa 12']	C	elementary_mathematics	D)11 pamusoro pa 12	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Nyora 1 na 1 pamusoro pa 11 se nhamba yakazara kana kuti senhamba yakasanganiswa yakadzikiswa pasi 
 A)1.1 pamusoro pa 11 B)11 pamusoro pa 11 C)12 pamusoro pa 11 D)11 pamusoro pa 12"	D
Tsvaka mhinduro pa 2.16 ÷ 0.06.	['3.6', '36', '0.01272', '12.72']	B	elementary_mathematics	D)12.72	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Tsvaka mhinduro pa 2.16 ÷ 0.06.
 A)3.6 B)36 C)0.01272 D)12.72"	D
Tsvaga musiyano wa 142.76 – 16.5.	['159.26', '2.224', '14.111', '126.26']	D	elementary_mathematics	126.26	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Tsvaga musiyano wa 142.76 – 16.5.
 A)159.26 B)2.224 C)14.111 D)126.26"	D
Tsvaka mhinduro pa 5.04/0.7	['0.72', '0.702', '10.0571', '7.2']	D	elementary_mathematics	7.2	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Tsvaka mhinduro pa 5.04/0.7
 A)0.72 B)0.702 C)10.0571 D)7.2"	D
Jimmy naKima vachafamba rwendo. Vachatyaira kwemazuva matatu. Zuva rekutanga vachatyaira mamaira 182. Rechipiri vachatyaira  mamaira 439. Rechitatu vachatyaira mamaira 217. Ndechipi chinyorwa chiri pedyo nekuti Jimmy na Kima vachafamba mamaira akawanda sei murwendo rwavo?	['150+400+ 200', '200+ 400 +200', '200+ 250 +200', '200+500+200']	C	elementary_mathematics	C)200+ 250 +200	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Jimmy naKima vachafamba rwendo. Vachatyaira kwemazuva matatu. Zuva rekutanga vachatyaira mamaira 182. Rechipiri vachatyaira  mamaira 439. Rechitatu vachatyaira mamaira 217. Ndechipi chinyorwa chiri pedyo nekuti Jimmy na Kima vachafamba mamaira akawanda sei murwendo rwavo?
 A)150+400+ 200 B)200+ 400 +200 C)200+ 250 +200 D)200+500+200"	C
Musariridzwa wa 21 kugovaniswa na 7 chii?	['21', '7', '1', 'Hapana chiripo']	D	elementary_mathematics	D)Hapana chiripo	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Musariridzwa wa 21 kugovaniswa na 7 chii?
 A)21 B)7 C)1 D)Hapana chiripo"	D
Maddie achatyaira chimudhudhu chake kwemamaira 56 mumazuva 7. Achazotyaira mamaira akafanana zuva rega rega. Mamaira achafambwa na maddie pazuva rega rega mangani?	['8', '9', '49', '63']	A	elementary_mathematics	D)63	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Maddie achatyaira chimudhudhu chake kwemamaira 56 mumazuva 7. Achazotyaira mamaira akafanana zuva rega rega. Mamaira achafambwa na maddie pazuva rega rega mangani?
 A)8 B)9 C)49 D)63"	D
Tsvaka nhamba inoita kuti chinyorwa ichi chive chechokwadi 48 pamusoro p88 = ? pamusoro pa 11.	['6', '11', '8', '5']	A	elementary_mathematics	A)6	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Tsvaka nhamba inoita kuti chinyorwa ichi chive chechokwadi 48 pamusoro p88 = ? pamusoro pa 11.
 A)6 B)11 C)8 D)5"	A
chakanaka kutenga chii?	['Mabha 10 esipo pa $23.20', 'Mabha 16 esipo pa$36.48', 'mabha 13 esipo pa 29.51', 'mabha 12 esipo pa 427.60']	C	elementary_mathematics	C)mabha 13 esipo pa 29.51	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: chakanaka kutenga chii?
 A)Mabha 10 esipo pa $23.20 B)Mabha 16 esipo pa$36.48 C)mabha 13 esipo pa 29.51 D)mabha 12 esipo pa 427.60"	C
Kurova kwemwoyo waTrish akazorora kunoita 50 pamineti rega. Pamineti yega yega yaanosimbisa muviri, kurova kwemoyo wake kunowedzera mabhiti mashanu pamineti. Anotora nguva yakareba zvakadii kuti asvike mabhiti 120 pamineti? 	['5 minetsi', '14 minetsi', '34 minetsi', '70 minetsi']	B	elementary_mathematics	C)34 minetsi	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Kurova kwemwoyo waTrish akazorora kunoita 50 pamineti rega. Pamineti yega yega yaanosimbisa muviri, kurova kwemoyo wake kunowedzera mabhiti mashanu pamineti. Anotora nguva yakareba zvakadii kuti asvike mabhiti 120 pamineti? 
 A)5 minetsi B)14 minetsi C)34 minetsi D)70 minetsi"	C
Tsvaka nhamba inopatsanura pakati nepakati padhata iri 23. 123, 18, 29, 32, 25	['18', '24', '25', '29']	B	elementary_mathematics	B)24	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Tsvaka nhamba inopatsanura pakati nepakati padhata iri 23. 123, 18, 29, 32, 25
 A)18 B)24 C)25 D)29"	B
Jack anotanha maapuru 60. Anoshandisa maapuru 12 kugadzira chinwiwa. anoisa mapuru asara  6 mubasikitir ezvipo rega rega. Ndechipi chinyorwa chingashandiswa kutsvaka ma apples, a, angaisva mubasikiti na Jack	['(60/6) -12 = a', '(60 -12)/6 =a', '(60 - 6) - 12=a', '(60+12)/6 = a']	B	elementary_mathematics	C	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Jack anotanha maapuru 60. Anoshandisa maapuru 12 kugadzira chinwiwa. anoisa mapuru asara  6 mubasikitir ezvipo rega rega. Ndechipi chinyorwa chingashandiswa kutsvaka ma apples, a, angaisva mubasikiti na Jack
 A)(60/6) -12 = a B)(60 -12)/6 =a C)(60 - 6) - 12=a D)(60+12)/6 = a"	C
Imwe mepu inoshandisa chikero che 1 inch yakainzana ne mamaira 25. Mamaira mangani akamirirwa mainch 5 pamepu?	['5', '25', '50', '125']	D	elementary_mathematics	D)125	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Imwe mepu inoshandisa chikero che 1 inch yakainzana ne mamaira 25. Mamaira mangani akamirirwa mainch 5 pamepu?
 A)5 B)25 C)50 D)125"	D
Rerutsa (2 + 5)^2 − 42.	['7', '16', '30', '33']	A	elementary_mathematics	C)30	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Rerutsa (2 + 5)^2 − 42.
 A)7 B)16 C)30 D)33"	C
Tsvaka zvinoreva izvi. 4./.2 x2 + 8-4	['-12', '12', '8', '16']	C	elementary_mathematics	B)12	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Tsvaka zvinoreva izvi. 4./.2 x2 + 8-4
 A)-12 B)12 C)8 D)16"	B
Murairidzi akatenderedza nhamba dzevanomhanya  kuswebedza kuna 10. Nhamba yakatenderedzwa yeva mhanyi i400. Ndeipi number ingamirira vamhanyi pavakasangana pamakwikwi.	['382', '397', '406', '447']	B	elementary_mathematics	447	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Murairidzi akatenderedza nhamba dzevanomhanya  kuswebedza kuna 10. Nhamba yakatenderedzwa yeva mhanyi i400. Ndeipi number ingamirira vamhanyi pavakasangana pamakwikwi.
 A)382 B)397 C)406 D)447"	D
−4 +  ( −3 )=	['-7', '-1', '1', '7']	A	elementary_mathematics	A) -7	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: −4 +  ( −3 )=
 A)-7 B)-1 C)1 D)7"	A
