question	choices	answer	subject	command_r+	prompt	verbalized
Kínni iyì p nínú 24 = 2p?	['p = 4', 'p = 8', 'p = 12', 'p = 24']	C	elementary_mathematics	p = 4	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Kínni iyì p nínú 24 = 2p?
 A)p = 4 B)p = 8 C)p = 12 D)p = 24"	A
Ms. Perez wa àpapọ̀ máílì 40 ní ọjọ́ 5. Ó wa iye máílì yìí kan náà ní ọjọ́ kọ̀ọ̀kan. Iye máílì mélòó ni Ms. Perez wà ní ọjọ́ kọ̀ọ̀kan?	['5', '7', '8', '9']	C	elementary_mathematics	C)8	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Ms. Perez wa àpapọ̀ máílì 40 ní ọjọ́ 5. Ó wa iye máílì yìí kan náà ní ọjọ́ kọ̀ọ̀kan. Iye máílì mélòó ni Ms. Perez wà ní ọjọ́ kọ̀ọ̀kan?
 A)5 B)7 C)8 D)9"	C
Ṣàwarí òpó iye −40 ÷ (−8).	['1 lórí 5', '-5', '−1 lórí 5', '5']	D	elementary_mathematics	-5	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Ṣàwarí òpó iye −40 ÷ (−8).
 A)1 lórí 5 B)-5 C)−1 lórí 5 D)5"	B
Ikọ̀ ẹgbẹ́ agbábọ́ọ́lù kan ní $90.00 láti ra bọ́ọ́lù aláfẹsẹ̀gbá. Tí bọ́ọ́lù aláfẹsẹ̀gbá kan bá jẹ́ $15.60 níye, kínni iye ònka bọ́ọ́lù aláfẹsẹ̀gbá tó pọ̀ jùlọ tí ikọ̀ náà lè rà?	['4', '5', '6', '7']	B	elementary_mathematics	5	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Ikọ̀ ẹgbẹ́ agbábọ́ọ́lù kan ní $90.00 láti ra bọ́ọ́lù aláfẹsẹ̀gbá. Tí bọ́ọ́lù aláfẹsẹ̀gbá kan bá jẹ́ $15.60 níye, kínni iye ònka bọ́ọ́lù aláfẹsẹ̀gbá tó pọ̀ jùlọ tí ikọ̀ náà lè rà?
 A)4 B)5 C)6 D)7"	B
Ìwọ àti àwọn ọ̀rẹ́ mẹ́ta lọ sí àjọ̀dún orin kan. Àpapọ̀ iye owó fún tíkẹ́tì mẹ́rin jẹ́ $112. Kọ kí o sì ṣírò ìdọ́gba kan láti wá iye owó tíkẹ́tì kan.	['4t = 112; $448', '4t = 112; $28', 't lórí 4 = 112; $448', 't lórí 4 = 112; $28']	B	elementary_mathematics	C)t lórí 4 = 112; $28	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Ìwọ àti àwọn ọ̀rẹ́ mẹ́ta lọ sí àjọ̀dún orin kan. Àpapọ̀ iye owó fún tíkẹ́tì mẹ́rin jẹ́ $112. Kọ kí o sì ṣírò ìdọ́gba kan láti wá iye owó tíkẹ́tì kan.
 A)4t = 112; $448 B)4t = 112; $28 C)t lórí 4 = 112; $448 D)t lórí 4 = 112; $28"	C
Lo gbólóhùn tó wà nísàlẹ̀ yìí láti dáhùn ìbéèrè náà. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 Kínni iyì gbólóhùn náà?	['9', '11', '26', '32']	C	elementary_mathematics	C)26	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Lo gbólóhùn tó wà nísàlẹ̀ yìí láti dáhùn ìbéèrè náà. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 Kínni iyì gbólóhùn náà?
 A)9 B)11 C)26 D)32"	C
Kọ 1 àti 1 lórí 11 gẹ́gẹ́ bíi nọ́mbà kan tàbí àdàpọ̀ nọ́mbà ní ìrísí tó rọrùn jùlọ.	['1.1 lórí 11', '11 lórí 11', '12 lórí 11', '11 lórí 12']	C	elementary_mathematics	D)11 lórí 12	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Kọ 1 àti 1 lórí 11 gẹ́gẹ́ bíi nọ́mbà kan tàbí àdàpọ̀ nọ́mbà ní ìrísí tó rọrùn jùlọ.
 A)1.1 lórí 11 B)11 lórí 11 C)12 lórí 11 D)11 lórí 12"	D
Wá òpó iye 2.16 ÷ 0.06.	['3.6', '36', '0.01272', '12.72']	B	elementary_mathematics	D)12.72	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Wá òpó iye 2.16 ÷ 0.06.
 A)3.6 B)36 C)0.01272 D)12.72"	D
Wá ìyàtọ̀ tó wà láàárín 142.76 – 16.5.	['159.26', '2.224', '14,111', '126.26']	D	elementary_mathematics	126.26	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Wá ìyàtọ̀ tó wà láàárín 142.76 – 16.5.
 A)159.26 B)2.224 C)14 D)111"	D
Wá òpó iye 5.04/0.7	['0.72', '0.702', '10.0571', '7.2']	D	elementary_mathematics	7.2	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Wá òpó iye 5.04/0.7
 A)0.72 B)0.702 C)10.0571 D)7.2"	D
Jimmy àti Kima fẹ́ rin ìrìnàjò. Wọ́n máa wa ọkọ̀ fún ọjọ́ mẹ́ta. Ní ọjọ́ àkọ́kọ́ wọ́n máa wa máílì 182. Ní ọjọ́ kejì wọ́n máa wa máílì 439. Ní ọjọ́ kẹta wọ́n máa wa máílì 217. Gbólóhùn wo ló sunmọ́ ìṣirò iye máílì tí Jimmy àti Kima máa wà lórín ìrìnàjò wọn? 	['150 + 400 + 200', '200 + 400 + 200', '200 + 450 + 200', '200 + 500 + 200']	C	elementary_mathematics	D)200 + 500 + 200	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Jimmy àti Kima fẹ́ rin ìrìnàjò. Wọ́n máa wa ọkọ̀ fún ọjọ́ mẹ́ta. Ní ọjọ́ àkọ́kọ́ wọ́n máa wa máílì 182. Ní ọjọ́ kejì wọ́n máa wa máílì 439. Ní ọjọ́ kẹta wọ́n máa wa máílì 217. Gbólóhùn wo ló sunmọ́ ìṣirò iye máílì tí Jimmy àti Kima máa wà lórín ìrìnàjò wọn? 
 A)150 + 400 + 200 B)200 + 400 + 200 C)200 + 450 + 200 D)200 + 500 + 200"	D
Kínni yóò ṣẹ́kù nínú pínpín 21 pẹ̀lú 7?	['21', '7', '1', 'Kò sí ìkọọkan nínú àwọn wọ̀nyìí ']	D	elementary_mathematics	C)1	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Kínni yóò ṣẹ́kù nínú pínpín 21 pẹ̀lú 7?
 A)21 B)7 C)1 D)Kò sí ìkọọkan nínú àwọn wọ̀nyìí "	C
Maddie máa wa kẹ̀kẹ́ rẹ̀ fún àpapọ̀ máìlì 56 fún ọjọ́ 7. Ó máa wà á fún iye máìlì kan náà ní ọjọ́ kọ̀ọ̀kan. Kínni àpapọ̀ iye máìlì tí Maddie máa wà ní ọjọ́ kọ̀ọ̀kan?	['8', '9', '49', '63']	A	elementary_mathematics	A)8	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Maddie máa wa kẹ̀kẹ́ rẹ̀ fún àpapọ̀ máìlì 56 fún ọjọ́ 7. Ó máa wà á fún iye máìlì kan náà ní ọjọ́ kọ̀ọ̀kan. Kínni àpapọ̀ iye máìlì tí Maddie máa wà ní ọjọ́ kọ̀ọ̀kan?
 A)8 B)9 C)49 D)63"	A
Wá ònkà tí yóò sọ gbólóhùn 48 lórí 88 = ? lórí 11 di òdodo.	['6', '11', '8', '5']	A	elementary_mathematics	B)11	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Wá ònkà tí yóò sọ gbólóhùn 48 lórí 88 = ? lórí 11 di òdodo.
 A)6 B)11 C)8 D)5"	B
Èwo ló dára jùlọ láti rà?	['ọṣẹ ọwọ́ 10 fun $23.20', 'ọṣẹ ọwọ́ 16 fún $36.48', 'ọṣẹ ọwọ́ 13 fún $29.51', 'ọṣẹ ọwọ́ 12 fún $27.60']	C	elementary_mathematics	D)ọṣẹ ọwọ́ 12 fún $27.60	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Èwo ló dára jùlọ láti rà?
 A)ọṣẹ ọwọ́ 10 fun $23.20 B)ọṣẹ ọwọ́ 16 fún $36.48 C)ọṣẹ ọwọ́ 13 fún $29.51 D)ọṣẹ ọwọ́ 12 fún $27.60"	D
