subject	question	choices	answer	command_r+	prompt	verbalized
elementary_mathematics	Thamana ya p ni nini katika 24 = 2p?	['p = 4', 'p = 8', 'p = 12', 'p = 24']	C	p = 4	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Thamana ya p ni nini katika 24 = 2p?
 A)p = 4 B)p = 8 C)p = 12 D)p = 24"	A
elementary_mathematics	Bi Perez aliendesha gari jumla ya maili 40 kwa siku 5. Aliendesha idadi sawa ya maili kila siku. Bi Perez aliendesha gari kwa maili ngapi kila siku?	[5, 7, 8, 9]	C	A)5	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Bi Perez aliendesha gari jumla ya maili 40 kwa siku 5. Aliendesha idadi sawa ya maili kila siku. Bi Perez aliendesha gari kwa maili ngapi kila siku?
 A)5 B)7 C)8 D)9"	A
elementary_mathematics	Tatua uwiano wa −40 ÷ (−8).	['1 juu ya 5', -5, '−1 juu ya 5', 5]	D	-5	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Tatua uwiano wa −40 ÷ (−8).
 A)1 juu ya 5 B)-5 C)−1 juu ya 5 D)5"	B
elementary_mathematics	Timu ya soka ina $90.00 za kununua mipira ya soka. Ikiwa mpira mmoja wa soka utagharimu $15.60, ni idadi gani kubwa zaidi ya mipira ya soka ambayo timu inaweza kununua?	[4, 5, 6, 7]	B	C)6	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Timu ya soka ina $90.00 za kununua mipira ya soka. Ikiwa mpira mmoja wa soka utagharimu $15.60, ni idadi gani kubwa zaidi ya mipira ya soka ambayo timu inaweza kununua?
 A)4 B)5 C)6 D)7"	C
elementary_mathematics	Wewe pamoja na rafiki zako watatu mnaenda kwenye tamasha. Gharama ya jumla ya tiketi nne ni $112. Andika na utatue mlinganyo ili kupata gharama ya tikiti moja t.	['4t = 112; $448', '4t = 112; $28', 't over 4 = 112; $448', 't over 4 = 112; $28']	B	C)t/4 = 112; $28	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Wewe pamoja na rafiki zako watatu mnaenda kwenye tamasha. Gharama ya jumla ya tiketi nne ni $112. Andika na utatue mlinganyo ili kupata gharama ya tikiti moja t.
 A)4t = 112; $448 B)4t = 112; $28 C)t over 4 = 112; $448 D)t over 4 = 112; $28"	C
elementary_mathematics	Tumia usemi ulio hapa chini kujibu swali. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 Thamana ya usemi ni nini?	[9, 11, 26, 32]	C	C)26	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Tumia usemi ulio hapa chini kujibu swali. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 Thamana ya usemi ni nini?
 A)9 B)11 C)26 D)32"	C
elementary_mathematics	Andika 1 na 1 juu ya 11 kama nambari kamili au nambari mchanganyo kwa njia rahisi zaidi.	['1.1 juu ya 11', '11 juu ya 11', '12 juu ya 11', '11 juu ya 12']	C	C)12 juu ya 11	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Andika 1 na 1 juu ya 11 kama nambari kamili au nambari mchanganyo kwa njia rahisi zaidi.
 A)1.1 juu ya 11 B)11 juu ya 11 C)12 juu ya 11 D)11 juu ya 12"	C
elementary_mathematics	Tatua uwiano wa 2.16 ÷ 0.06.	[3.6, 36, 0.01272, 12.72]	B	D)12.72	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Tatua uwiano wa 2.16 ÷ 0.06.
 A)3.6 B)36 C)0.01272 D)12.72"	D
elementary_mathematics	Tatua utofauti wa 142.76 – 16.5.	[159.26, 2.224, 14111, 126.26]	D	126.26	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Tatua utofauti wa 142.76 – 16.5.
 A)159.26 B)2.224 C)14111 D)126.26"	D
elementary_mathematics	Tatua uwiano wa 5.04/0.7	[0.72, 0.702, 10.0571, 7.2]	D	A)0.72	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Tatua uwiano wa 5.04/0.7
 A)0.72 B)0.702 C)10.0571 D)7.2"	A
