question	choices	answer	subject	command_r+	prompt	verbalized
Gịnị ka p ga-apụta n'ime 24 = 2p?	['p =4', 'p = 8', 'p = 12', 'p = 24']	C	elementary_mathematics	p = 4	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Gịnị ka p ga-apụta n'ime 24 = 2p?
 A)p =4 B)p = 8 C)p = 12 D)p = 24"	unknown
Ms.Perez kwọro ụgbọala  na ngụkọta maịlụ 40 n'ime mkpụrụ ụbọchị ise, ọ na-akwọ ụgbọala otuihe ọnụọgụgụ maịlụ ụbọchị ọbụla. Maịlụ ole ka Ms.Perez na-akwọ ụgbọala ụbọchị ọbụla?	['5', '7', '8', '9']	C	elementary_mathematics	C)8	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Ms.Perez kwọro ụgbọala  na ngụkọta maịlụ 40 n'ime mkpụrụ ụbọchị ise, ọ na-akwọ ụgbọala otuihe ọnụọgụgụ maịlụ ụbọchị ọbụla. Maịlụ ole ka Ms.Perez na-akwọ ụgbọala ụbọchị ọbụla?
 A)5 B)7 C)8 D)9"	C
chọta kwoshenti nke −40 ÷ (−8).	"[""1 n'elu 5"", '-5', ""-1 n'elu 5"", '5']"	D	elementary_mathematics	5	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: chọta kwoshenti nke −40 ÷ (−8).
 A)1 n'elu 5 B)-5 C)-1 n'elu 5 D)5"	D
ndị otu sọka nwere $90.00 iji zụta bọọlụ sọka. Ọ bụrụ na bọọlụ sọka nọ n'ọnụ ego $15.60, kedu ọnụọgụgụ kachasi bọọlụ soka ndi otu ahu nwere ike ịzụta?	['4', '5', '6', '7']	B	elementary_mathematics	A)4	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: ndị otu sọka nwere $90.00 iji zụta bọọlụ sọka. Ọ bụrụ na bọọlụ sọka nọ n'ọnụ ego $15.60, kedu ọnụọgụgụ kachasi bọọlụ soka ndi otu ahu nwere ike ịzụta?
 A)4 B)5 C)6 D)7"	A
Gị na ndị enyi atọ gara ebe ngosi egwuregwu. Ngụkọta ọnụ ahia maka tiketị anọ bụ $112. Dee ma ruọ arụmarụ ịchọta ọnụ ahịa otu tiketị t.	"['4t=112; $448', '4t = 112; $28', ""t n'elu 4 = 112; $448"", ""t n'elu 4 = 112; $28""]"	B	elementary_mathematics	C	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Gị na ndị enyi atọ gara ebe ngosi egwuregwu. Ngụkọta ọnụ ahia maka tiketị anọ bụ $112. Dee ma ruọ arụmarụ ịchọta ọnụ ahịa otu tiketị t.
 A)4t=112; $448 B)4t = 112; $28 C)t n'elu 4 = 112; $448 D)t n'elu 4 = 112; $28"	C
Jiri ngosipụta dị n'okpuru zaa ajụjụ ahụ.  3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 Gịnị bụ uru ngosipụta ahụ pụtara?	['9', '11', '26', '32']	C	elementary_mathematics	C)26	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Jiri ngosipụta dị n'okpuru zaa ajụjụ ahụ.  3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 Gịnị bụ uru ngosipụta ahụ pụtara?
 A)9 B)11 C)26 D)32"	C
Dee 1 na 1 n'elu 11 dika ozuzu ya ma ọ bụ ọnụ ọgụgụ agwakọtara n'ụdị kacha mfe	"[""1.1 n'elu 11"", ""11 n'elu 11"", ""12 n'elu 11"", ""11 n'elu 11""]"	C	elementary_mathematics	C)12 n'elu 11	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Dee 1 na 1 n'elu 11 dika ozuzu ya ma ọ bụ ọnụ ọgụgụ agwakọtara n'ụdị kacha mfe
 A)1.1 n'elu 11 B)11 n'elu 11 C)12 n'elu 11 D)11 n'elu 11"	C
Chọta kwoshenti  nke 2.16 ÷ 0.06.	['3.6', '36', '0.01272', '12.72']	B	elementary_mathematics	D)12.72	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Chọta kwoshenti  nke 2.16 ÷ 0.06.
 A)3.6 B)36 C)0.01272 D)12.72"	D
Chọta ihe dị iche nke 142.76 - 16.5.	['159.26', '2.224', '14,111', '126.26']	D	elementary_mathematics	A)159.26	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Chọta ihe dị iche nke 142.76 - 16.5.
 A)159.26 B)2.224 C)14 D)111"	A
chọta kwoshenti nke 5.04/0.7	['0.72', '0.702', '10.0571', '7.2']	D	elementary_mathematics	7.2	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: chọta kwoshenti nke 5.04/0.7
 A)0.72 B)0.702 C)10.0571 D)7.2"	D
Jimmy na Kima na-aga njem. Ha ga-akwọ ụgbọ ala ruo ụbọchị atọ. Ụbọchị mbụ ha ga-anya mailụ 182. Ụbọchị nke abụọ ha ga-anya mailụ 439. Ụbọchị nke atọ ha ga-anya mailụ 217. Kedụ ngosipụta bụ iru eru kacha nso nke mailụ ole Jimmy na Kima ga-akwọ ụgbọ ala na njem ha?	['150+400+200', '200 + 400 + 200', '200 + 450 + 200', '200 + 500 + 200']	C	elementary_mathematics	C)200 + 450 + 200	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Jimmy na Kima na-aga njem. Ha ga-akwọ ụgbọ ala ruo ụbọchị atọ. Ụbọchị mbụ ha ga-anya mailụ 182. Ụbọchị nke abụọ ha ga-anya mailụ 439. Ụbọchị nke atọ ha ga-anya mailụ 217. Kedụ ngosipụta bụ iru eru kacha nso nke mailụ ole Jimmy na Kima ga-akwọ ụgbọ ala na njem ha?
 A)150+400+200 B)200 + 400 + 200 C)200 + 450 + 200 D)200 + 500 + 200"	C
kedu ihe fọdụrụ ma i wepu 16.5 site na 142.76?	['21', '7', '1', 'Ọ dighi nke bụ ndị a']	D	elementary_mathematics	D	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: kedu ihe fọdụrụ ma i wepu 16.5 site na 142.76?
 A)21 B)7 C)1 D)Ọ dighi nke bụ ndị a"	D
Maddie ga-agba ịnyịnya ígwè ya ngụkọta nke mailụ 56 n'ime mkpụrụ ụbọchị 7. Ọ ga-agba otu ọnụọgụgụ mailị kwa ụbọchị. Gịnị bụ ngụkọta ọnụọgụgụ nke mailụ Maddie ga-agba kwa ụbọchị?	['8', '9', '49', '63']	A	elementary_mathematics	D)63	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Maddie ga-agba ịnyịnya ígwè ya ngụkọta nke mailụ 56 n'ime mkpụrụ ụbọchị 7. Ọ ga-agba otu ọnụọgụgụ mailị kwa ụbọchị. Gịnị bụ ngụkọta ọnụọgụgụ nke mailụ Maddie ga-agba kwa ụbọchị?
 A)8 B)9 C)49 D)63"	D
Chọta ọnụọgụgụ nke mere nkwụpụta nke 48 n'elu 88 = ? n'elu 11 eziokwu.	['6', '11', '8', '5']	A	elementary_mathematics	B)11	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Chọta ọnụọgụgụ nke mere nkwụpụta nke 48 n'elu 88 = ? n'elu 11 eziokwu.
 A)6 B)11 C)8 D)5"	B
Kedụ  nzụta nke kacha mma?	['Aka ncha 10 maka $23.20', 'Aka ncha 16 maka $36.48', 'Aka ncha 13 maka $29.51', 'Aka ncha 12 maka $27.60']	C	elementary_mathematics	D)Aka ncha 12 maka $27.60	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Kedụ  nzụta nke kacha mma?
 A)Aka ncha 10 maka $23.20 B)Aka ncha 16 maka $36.48 C)Aka ncha 13 maka $29.51 D)Aka ncha 12 maka $27.60"	D
Ọdịda obi izu ike nke Trish na-eti 50 kwa nkeji.  Maka nkeji ọ bụla ọ na-emeghari ahụ, ọnụọgụ obi ya na-abawanye iti ise kwa nkeji.  Ogologo oge ole ka ọ ga-ewe ya iru ọ̀tụ̀tụ̀ obi nke 120 iti kwa nkeji?	['nkeji ịse', 'nkeji iri na anọ ', 'Nkeji iri atọ na anọ ', 'Nkeji iri asaa']	B	elementary_mathematics	C)Nkeji iri atọ na anọ	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Ọdịda obi izu ike nke Trish na-eti 50 kwa nkeji.  Maka nkeji ọ bụla ọ na-emeghari ahụ, ọnụọgụ obi ya na-abawanye iti ise kwa nkeji.  Ogologo oge ole ka ọ ga-ewe ya iru ọ̀tụ̀tụ̀ obi nke 120 iti kwa nkeji?
 A)nkeji ịse B)nkeji iri na anọ  C)Nkeji iri atọ na anọ  D)Nkeji iri asaa"	C
Chọta nke nọ n'etiti n'usoro dàtà 23, 13, 18, 29, 32, 25.	['18', '24', '25', '29']	B	elementary_mathematics	B)24	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Chọta nke nọ n'etiti n'usoro dàtà 23, 13, 18, 29, 32, 25.
 A)18 B)24 C)25 D)29"	B
Jack na-ewere apụl 60 site na osisi apụl.  Ọ na-eji 12 n'ime ha mee ihe ọṅụṅụ apụl.  Ọ na-etinye apụl ndị fọdụrụ n'otu aka ahụ n'ime nkata onyinye isii.  Kedu nha nhata enwere ike iji chọpụta ọnụọgụ apụl, a, nke Jack na-etinye n'ime nkata onyinye ọ bụla?	['(60/6)—12=a', '(60-12)/6=a', '(60-6)-12=a', '(60+12)/6=a']	B	elementary_mathematics	C	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Jack na-ewere apụl 60 site na osisi apụl.  Ọ na-eji 12 n'ime ha mee ihe ọṅụṅụ apụl.  Ọ na-etinye apụl ndị fọdụrụ n'otu aka ahụ n'ime nkata onyinye isii.  Kedu nha nhata enwere ike iji chọpụta ọnụọgụ apụl, a, nke Jack na-etinye n'ime nkata onyinye ọ bụla?
 A)(60/6)—12=a B)(60-12)/6=a C)(60-6)-12=a D)(60+12)/6=a"	C
Otu maapụ na-eji ọ̀tụ̀tụ̀ nke 1 inch hà nhata 25 mailụ. Mailụ ole ka inch 5 nọchiri anya ya na maapụ a?	['5', '25', '50', '125']	D	elementary_mathematics	D)125	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Otu maapụ na-eji ọ̀tụ̀tụ̀ nke 1 inch hà nhata 25 mailụ. Mailụ ole ka inch 5 nọchiri anya ya na maapụ a?
 A)5 B)25 C)50 D)125"	D
