question	choices	answer	subject	command_r+	prompt	verbalized
Menene matsayin p a cikin 24 = 2p?	['p = 4', 'p = 8', 'p = 12', 'p = 24']	C	elementary_mathematics	C)p = 12	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Menene matsayin p a cikin 24 = 2p?
 A)p = 4 B)p = 8 C)p = 12 D)p = 24"	C
Ms. Perez ta tuka mota adadin mil 40 a cikin kwanaki 5. Ta yi tafiyar mil nau'i guda a kowace rana. Mil nawa Misis Perez ta tuka kowace rana?	['5', '7', '8', '9']	C	elementary_mathematics	C)8	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Ms. Perez ta tuka mota adadin mil 40 a cikin kwanaki 5. Ta yi tafiyar mil nau'i guda a kowace rana. Mil nawa Misis Perez ta tuka kowace rana?
 A)5 B)7 C)8 D)9"	C
Nemo sakamakon -40 ÷ (-8).	['1 bisa 5', '-5', '−1 bisa 5', '5']	D	elementary_mathematics	A)1 bisa 5	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Nemo sakamakon -40 ÷ (-8).
 A)1 bisa 5 B)-5 C)−1 bisa 5 D)5"	A
Ƙungiyar ƙwallon ƙafa tana da $90.00 don siyan ƙwallon ƙafa. Idan ƙwallon ƙafa guda ɗaya ta kai $15.60, Nawa ne mafi yawan adadin ƙwallon ƙafa da ƙungiyar zata iya saya?	['4', '5', '6', '7']	B	elementary_mathematics	C)6	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Ƙungiyar ƙwallon ƙafa tana da $90.00 don siyan ƙwallon ƙafa. Idan ƙwallon ƙafa guda ɗaya ta kai $15.60, Nawa ne mafi yawan adadin ƙwallon ƙafa da ƙungiyar zata iya saya?
 A)4 B)5 C)6 D)7"	C
Kai da abokai uku zaku je wurin shagali. Jimillar farashin tikiti huɗu shine $112. Rubuta bayanin lissafin da nemo amsar don nemo farashin tikiti ɗaya t.	['4t = 112; $448', '4t = 112; $28', 't akan 4 = 112; $448', 't akan 4 = 112; $28']	B	elementary_mathematics	C)t akan 4 = 112; $448	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Kai da abokai uku zaku je wurin shagali. Jimillar farashin tikiti huɗu shine $112. Rubuta bayanin lissafin da nemo amsar don nemo farashin tikiti ɗaya t.
 A)4t = 112; $448 B)4t = 112; $28 C)t akan 4 = 112; $448 D)t akan 4 = 112; $28"	C
Yi amfani da lissafin da ke ƙasa don amsa tambayar. 3 × [(2 × 6 - 5) + (8 ÷ 4)] - 1 Menene sakamakon lissafin?	['9', '11', '26', '32']	C	elementary_mathematics	B)11	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Yi amfani da lissafin da ke ƙasa don amsa tambayar. 3 × [(2 × 6 - 5) + (8 ÷ 4)] - 1 Menene sakamakon lissafin?
 A)9 B)11 C)26 D)32"	B
Rubuta 1 da 1 bisa 11 a matsayin cikakkiyar lamba ko gauraye lamba a sauƙaƙaƙƙen zubi	['1.1 bisa 11', '11 akan 11', '12 akan 11', '11 akan 12']	C	elementary_mathematics	D)11 akan 12	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Rubuta 1 da 1 bisa 11 a matsayin cikakkiyar lamba ko gauraye lamba a sauƙaƙaƙƙen zubi
 A)1.1 bisa 11 B)11 akan 11 C)12 akan 11 D)11 akan 12"	D
Nemo sakamakon 2.16 ÷ 0.06.	['3.6', '36', '0.01272', '12.72']	B	elementary_mathematics	D)12.72	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Nemo sakamakon 2.16 ÷ 0.06.
 A)3.6 B)36 C)0.01272 D)12.72"	D
Nemo bambancin 142.76 - 16.5.	['159.26', '2.224', '14,111', '126.26']	D	elementary_mathematics	A)159.26	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Nemo bambancin 142.76 - 16.5.
 A)159.26 B)2.224 C)14 D)111"	A
Nemo sakamakon 5.04/0.7	['0.72', '0.702', '10.0571', '7.2']	D	elementary_mathematics	7.2	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Nemo sakamakon 5.04/0.7
 A)0.72 B)0.702 C)10.0571 D)7.2"	D
