subject,question,choices,answer,output
elementary_mathematics,Thamana ya p ni nini katika 24 = 2p?,"['p = 4', 'p = 8', 'p = 12', 'p = 24']",C,"Ili kupata thamani ya \( p \) katika mlinganyo \( 24 = 2p \), tunahitaji kutenganisha \( p \). Tunaweza kufanya hivyo kwa kugawanya pande zote mbili za mlinganyo kwa 2.

\[
24 = 2p
\]

Gawa pande zote mbili kwa 2:

\[
\frac{24}{2} = \frac{2p}{2}
\]

\[
12 = p
\]

Kwa hiyo, thamani ya \( p \) ni 12. Jibu sahihi ni:

C) \( p = 12 \)"
elementary_mathematics,Bi Perez aliendesha gari jumla ya maili 40 kwa siku 5. Aliendesha idadi sawa ya maili kila siku. Bi Perez aliendesha gari kwa maili ngapi kila siku?,"[5, 7, 8, 9]",C,"Ili kujua ni maili ngapi Bi Perez aliendesha gari kila siku, tunahitaji kugawanya jumla ya maili alizoendesha kwa idadi ya siku alizoendesha. 

Bi Perez aliendesha gari jumla ya maili 40 kwa siku 5. Kwa hiyo, tunagawanya 40 kwa 5:

\[
\frac{40 \text{ maili}}{5 \text{ siku}} = 8 \text{ maili kwa siku}
\]

Kwa hivyo, Bi Perez aliendesha gari kwa maili 8 kila siku. Jibu sahihi ni:

C) 8"
elementary_mathematics,Tatua uwiano wa −40 ÷ (−8).,"['1 juu ya 5', -5, '−1 juu ya 5', 5]",D,"Ili kutatua uwiano wa \(-40 ÷ (-8)\), tunahitaji kugawanya nambari hizi mbili.

\[
-40 ÷ (-8) = \frac{-40}{-8}
\]

Kumbuka kwamba kugawanya nambari hasi na nambari hasi nyingine hutoa nambari chanya. Kwa hiyo:

\[
\frac{-40}{-8} = \frac{40}{8} = 5
\]

Kwa hivyo, jibu sahihi ni:

D) 5"
elementary_mathematics,"Timu ya soka ina $90.00 za kununua mipira ya soka. Ikiwa mpira mmoja wa soka utagharimu $15.60, ni idadi gani kubwa zaidi ya mipira ya soka ambayo timu inaweza kununua?","[4, 5, 6, 7]",B,"Ili kujua idadi kubwa zaidi ya mipira ya soka ambayo timu inaweza kununua kwa $90.00, tunahitaji kugawa kiasi cha pesa walicho nacho kwa gharama ya mpira mmoja wa soka.

Gharama ya mpira mmoja wa soka ni $15.60.

Tunahesabu idadi ya mipira kwa kufanya mgawanyo:
\[
\frac{90.00}{15.60} \approx 5.769
\]

Kwa kuwa timu haiwezi kununua sehemu ya mpira, tunahitaji kuchukua idadi kamili ya mipira. Hivyo, tunachukua sehemu ya chini ya namba hiyo, ambayo ni 5.

Kwa hiyo, idadi kubwa zaidi ya mipira ya soka ambayo timu inaweza kununua ni:
B) 5"
elementary_mathematics,Wewe pamoja na rafiki zako watatu mnaenda kwenye tamasha. Gharama ya jumla ya tiketi nne ni $112. Andika na utatue mlinganyo ili kupata gharama ya tikiti moja t.,"['4t = 112; $448', '4t = 112; $28', 't over 4 = 112; $448', 't over 4 = 112; $28']",B,"Ili kupata gharama ya tiketi moja, tunahitaji kuandika na kutatua mlinganyo unaoonyesha gharama ya tiketi nne.

Mlinganyo huo ni:
\[ 4t = 112 \]

Tunataka kupata thamani ya \( t \), ambayo ni gharama ya tiketi moja. Ili kufanya hivyo, tunahitaji kugawanya pande zote mbili za mlinganyo kwa 4:
\[ \frac{4t}{4} = \frac{112}{4} \]

Hii inatupa:
\[ t = 28 \]

Kwa hivyo, gharama ya tiketi moja ni $28.

Jibu sahihi ni:
B) 4t = 112; $28"
elementary_mathematics,Tumia usemi ulio hapa chini kujibu swali. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 Thamana ya usemi ni nini?,"[9, 11, 26, 32]",C,"Ili kupata thamani ya usemi 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1, tunahitaji kufuata hatua za hesabu kwa utaratibu sahihi:

1. Kwanza, hesabu ndani ya mabano ya ndani:
   - (2 × 6 – 5)
     = (12 – 5)
     = 7

2. Halafu, hesabu sehemu ya pili ndani ya mabano ya nje:
   - (8 ÷ 4)
     = 2

3. Sasa, ongeza matokeo ya hatua ya kwanza na ya pili:
   - 7 + 2
     = 9

4. Kisha, zidisha matokeo hayo kwa 3:
   - 3 × 9
     = 27

5. Mwisho, toa 1 kutoka kwenye matokeo hayo:
   - 27 – 1
     = 26

Kwa hiyo, thamani ya usemi ni 26. Jibu sahihi ni:
C) 26"
elementary_mathematics,Andika 1 na 1 juu ya 11 kama nambari kamili au nambari mchanganyo kwa njia rahisi zaidi.,"['1.1 juu ya 11', '11 juu ya 11', '12 juu ya 11', '11 juu ya 12']",C,"Ili kuandika ""1 na 1 juu ya 11"" kama nambari kamili au nambari mchanganyo kwa njia rahisi zaidi, tunahitaji kuelewa kuwa hii ni sawa na kusema 1 + 1/11.

A) 1.1 juu ya 11 - Hii haionyeshi nambari kamili au mchanganyo kwa usahihi.
B) 11 juu ya 11 - Hii ni sawa na 1, lakini haionyeshi sehemu ya 1/11.
C) 12 juu ya 11 - Hii ni sawa na 1 + 1/11, ambayo ni njia sahihi ya kuandika ""1 na 1 juu ya 11"" kama nambari mchanganyo.
D) 11 juu ya 12 - Hii ni sehemu tofauti kabisa na haionyeshi ""1 na 1 juu ya 11"".

Kwa hivyo, jibu sahihi ni:
C) 12 juu ya 11"
elementary_mathematics,Tatua uwiano wa 2.16 ÷ 0.06.,"[3.6, 36, 0.01272, 12.72]",B,"Ili kutatua uwiano wa 2.16 ÷ 0.06, tunahitaji kugawanya 2.16 kwa 0.06.

2.16 ÷ 0.06

Kwanza, tunaweza kuondoa desimali kwa kuzidisha nambari zote mbili na 100 (ili kugeuza 0.06 kuwa nambari nzima):

2.16 * 100 = 216
0.06 * 100 = 6

Sasa tuna uwiano mpya ambao ni rahisi zaidi kugawanya:

216 ÷ 6

Tukigawanya 216 kwa 6 tunapata:

216 ÷ 6 = 36

Kwa hivyo, jibu sahihi ni:
B) 36"
elementary_mathematics,Tatua utofauti wa 142.76 – 16.5.,"[159.26, 2.224, 14111, 126.26]",D,"Ili kutatua utofauti wa 142.76 – 16.5, tunahitaji kutoa 16.5 kutoka 142.76.

142.76 - 16.5 = 126.26

Kwa hivyo, jibu sahihi ni:
D) 126.26"
elementary_mathematics,Tatua uwiano wa 5.04/0.7,"[0.72, 0.702, 10.0571, 7.2]",D,"Ili kutatua uwiano wa \( \frac{5.04}{0.7} \), tunahitaji kugawanya 5.04 kwa 0.7. 

Hapa kuna hatua za kufanya hivyo:

1. **Ondoa desimali kwa kuzidisha nambari zote mbili na 10**:
   \[
   \frac{5.04 \times 10}{0.7 \times 10} = \frac{50.4}{7}
   \]

2. **Gawanya 50.4 kwa 7**:
   \[
   50.4 \div 7 = 7.2
   \]

Kwa hiyo, \( \frac{5.04}{0.7} = 7.2 \).

Jibu sahihi ni:
D) 7.2"
