question,choices,answer,subject,output
Gịnị ka p ga-apụta n'ime 24 = 2p?,"['p =4', 'p = 8', 'p = 12', 'p = 24']",C,elementary_mathematics,"Iji chọpụta ihe p pụtara na mgbakọrịta 24 = 2p, anyị nwere ike ịgbakọọ ya site n'ịtọlite ​​ihe ngwọta maka p.

24 = 2p

Iji wepụ p, anyị ga-ekewa akụkụ abụọ nke ihe ngwọta ahụ site na 2:

24 / 2 = 2p / 2

Nke a na-enye anyị:

12 = p

Ya mere, p = 12.

Nke ahụ pụtara na azịza ziri ezi bụ:
C) p = 12"
"Ms.Perez kwọro ụgbọala  na ngụkọta maịlụ 40 n'ime mkpụrụ ụbọchị ise, ọ na-akwọ ụgbọala otuihe ọnụọgụgụ maịlụ ụbọchị ọbụla. Maịlụ ole ka Ms.Perez na-akwọ ụgbọala ụbọchị ọbụla?","['5', '7', '8', '9']",C,elementary_mathematics,"Iji chọpụta maịlụ ole Ms. Perez na-akwọ ụgbọala ụbọchị ọbụla, anyị ga-ekerịta ngụkọta maịlụ o kwọrọ n'ime mkpụrụ ụbọchị ise.

Ngụkọta maịlụ = 40
Mkpụrụ ụbọchị = 5

Anyị ga-ekerịta 40 n'ime 5:

\[ \frac{40}{5} = 8 \]

Ya mere, Ms. Perez na-akwọ ụgbọala maịlụ 8 ụbọchị ọbụla. Azịza bụ:

C) 8"
chọta kwoshenti nke −40 ÷ (−8).,"[""1 n'elu 5"", '-5', ""-1 n'elu 5"", '5']",D,elementary_mathematics,"Ka anyị chọta kwoshenti nke \(-40 ÷ (-8)\).

Mgbe ị na-ekewa nọmba abụọ na-adịghị mma, nsonaazụ ga-abụ nọmba dị mma. Ya mere, anyị nwere ike ịkọwapụta nsogbu a dị ka:

\[
-40 ÷ (-8) = \frac{-40}{-8}
\]

Mgbe ị kewara nọmba abụọ na-adịghị mma, ha ga-agbapụ onwe ha, na-ahapụ anyị na:

\[
\frac{40}{8}
\]

Ugbu a, kewaa 40 site na 8:

\[
\frac{40}{8} = 5
\]

Ya mere, kwoshenti nke \(-40 ÷ (-8)\) bụ 5.

Azịza bụ D) 5."
"ndị otu sọka nwere $90.00 iji zụta bọọlụ sọka. Ọ bụrụ na bọọlụ sọka nọ n'ọnụ ego $15.60, kedu ọnụọgụgụ kachasi bọọlụ soka ndi otu ahu nwere ike ịzụta?","['4', '5', '6', '7']",B,elementary_mathematics,"Iji chọpụta ọnụ ọgụgụ kacha elu nke bọọlụ sọka ndị otu ahụ nwere ike ịzụta, anyị ga-ekewa ego ha nwere ($90.00) site na ọnụahịa otu bọọlụ sọka ($15.60).

\[
\frac{90.00}{15.60} \approx 5.769
\]

Nke a pụtara na ndị otu ahụ nwere ike ịzụta bọọlụ sọka 5 n’ọnụ ahịa $15.60 n’otu. Ọ bụrụ na ha zụta bọọlụ sọka 6, ọnụ ahịa ya ga-abụ:

\[
6 \times 15.60 = 93.60
\]

Nke a karịrị $90.00, ya mere, ha enweghị ike ịzụta bọọlụ sọka 6. 

Ya mere, ọnụ ọgụgụ kacha elu nke bọọlụ sọka ndị otu ahụ nwere ike ịzụta bụ 5.

Azịza bụ B) 5."
Gị na ndị enyi atọ gara ebe ngosi egwuregwu. Ngụkọta ọnụ ahia maka tiketị anọ bụ $112. Dee ma ruọ arụmarụ ịchọta ọnụ ahịa otu tiketị t.,"['4t=112; $448', '4t = 112; $28', ""t n'elu 4 = 112; $448"", ""t n'elu 4 = 112; $28""]",B,elementary_mathematics,"Ka anyị chọpụta ọnụ ahịa otu tiketị t, anyị ga-ebido site na ịkọwa ihe ọmụma anyị nwere. Anyị maara na ọnụ ahịa ngụkọta maka tiketị anọ bụ $112.

Ọ bụrụ na ọnụ ahịa otu tiketị bụ t, mgbe ahụ ọnụ ahịa ngụkọta maka tiketị anọ bụ 4t.

Ya mere, anyị nwere:
4t = 112

Iji chọpụta t, anyị ga-ekewa akụkụ abụọ nke equation ahụ site na 4:
t = 112 / 4
t = $28

Ya mere, azịza ziri ezi bụ:
B) 4t = 112; $28"
Jiri ngosipụta dị n'okpuru zaa ajụjụ ahụ.  3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 Gịnị bụ uru ngosipụta ahụ pụtara?,"['9', '11', '26', '32']",C,elementary_mathematics,"Ka anyị gbakọọ ngosipụta ahụ n'ụzọ ziri ezi:

3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1

Tupu anyị amalite, anyị ga-eso usoro ọrụ mgbakọ na mwepụ (BODMAS/BIDMAS), nke pụtara:
- Brackets (Parentheses)
- Orders (i.e., powers and roots, etc.)
- Division and Multiplication (left to right)
- Addition and Subtraction (left to right)

1. Gbakọọ ihe dị n'ime mgbakọ (parentheses) mbụ:
   - 2 × 6 = 12
   - 12 – 5 = 7

2. Gbakọọ ihe dị n'ime mgbakọ (parentheses) nke abụọ:
   - 8 ÷ 4 = 2

3. Ugbu a tinye ihe dị n'ime mgbakọ (parentheses) ọnụ:
   - 7 + 2 = 9

4. Ugbu a, anyị nwere:
   - 3 × 9 – 1

5. Gbakọọ mgbakọ na mwepụ:
   - 3 × 9 = 27

6. Mgbe ahụ, wepụ 1:
   - 27 – 1 = 26

Ya mere, uru ngosipụta ahụ bụ **26**.

Azịza bụ: C) 26"
Dee 1 na 1 n'elu 11 dika ozuzu ya ma ọ bụ ọnụ ọgụgụ agwakọtara n'ụdị kacha mfe,"[""1.1 n'elu 11"", ""11 n'elu 11"", ""12 n'elu 11"", ""11 n'elu 11""]",C,elementary_mathematics,"Ka anyị lebakwuo anya na nsogbu a.

Anyị nwere 1 n'elu 1 n'elu 11. Nke a pụtara:

\[ \frac{1}{1 + \frac{1}{11}} \]

Tupu anyị gaa n'ihu, anyị ga-edozi ihe dị n'ime mkpuchi:

\[ 1 + \frac{1}{11} = \frac{11}{11} + \frac{1}{11} = \frac{11 + 1}{11} = \frac{12}{11} \]

Ugbu a, anyị nwere:

\[ \frac{1}{\frac{12}{11}} \]

Iji dozie nke a, anyị ga-eji nke abụọ nke akụkụ abụọ ahụ:

\[ \frac{1}{\frac{12}{11}} = \frac{1 \cdot 11}{12} = \frac{11}{12} \]

Ya mere, ọnụ ọgụgụ ahụ n'ụdị kacha mfe bụ:

\[ \frac{11}{12} \]

Nke a pụtara na azịza ziri ezi bụ:

C) 12 n'elu 11"
Chọta kwoshenti  nke 2.16 ÷ 0.06.,"['3.6', '36', '0.01272', '12.72']",B,elementary_mathematics,"Iji chọta kwoshenti nke 2.16 ÷ 0.06, anyị nwere ike iji usoro nkịtị nke nkewa.

1. Gbanwee nkewa ahụ ka ọ bụrụ nkewa nke integers. Anyị nwere ike ime nke a site n'ịgbakwunye decimal point n'akụkụ abụọ nke nkewa ahụ ka ọ bụrụ nọmba zuru ezu. Nke a pụtara ịkwaga decimal point n'akụkụ abụọ site n'ịgbakwunye otu nọmba n'akụkụ abụọ:
   2.16 ÷ 0.06 = 216 ÷ 6.

2. Ugbu a, kewaa 216 site na 6:
   216 ÷ 6 = 36.

Ya mere, 2.16 ÷ 0.06 = 36.

Azịza ya bụ B) 36."
Chọta ihe dị iche nke 142.76 - 16.5.,"['159.26', '2.224', '14,111', '126.26']",D,elementary_mathematics,"Iji chọta ihe dị iche nke 142.76 na 16.5, anyị ga-eme ihe mgbakọ na mwepụ:

142.76 - 16.5 = 126.26

Ya mere, azịza ziri ezi bụ 126.26. N'ịtụle nhọrọ ndị enyere, ọ dị ka enweghị nhọrọ ziri ezi n'etiti ha. Ọ bụrụ na ị nwere nhọrọ ndị ọzọ, biko nye ha ka anyị wee hụ ma ọ bụrụ na enwere nhọrọ ziri ezi."
chọta kwoshenti nke 5.04/0.7,"['0.72', '0.702', '10.0571', '7.2']",D,elementary_mathematics,"Iji chọta kwoshenti nke 5.04 na 0.7, anyị ga-eji nkewa eme ihe.

\[ \frac{5.04}{0.7} \]

Anyị nwere ike ime ka nkewa ahụ dị mfe site n'ịgbanwe 0.7 ka ọ bụrụ nọmba dum. Anyị na-eme nke a site n'ịgbakwunye otu efu n'elu na n'okpuru:

\[ \frac{5.04 \times 10}{0.7 \times 10} = \frac{50.4}{7} \]

Ugbu a, anyị nwere ike ịkekọrịta 50.4 site na 7:

\[ 50.4 \div 7 = 7.2 \]

Ya mere, kwoshenti nke 5.04 na 0.7 bụ 7.2. Azịza bụ:

D) 7.2"
