question,choices,answer,subject,output
በ 24 = 2p ውስጥ የ p ዋጋ ስንት ነው,"['p = 5', 'p = 9', 'p = 13', 'p = 25']",C,elementary_mathematics,"እንደ ተቀመጠው በ 24 = 2p ውስጥ የ p ዋጋ ስንት እንደሆነ ለመፈተሽ እንዲህ እንደሚሆን እንረዳለን።

እንዲሁ 24 = 2p እንደሆነ እናውቃለን።

የ p ዋጋን ለማግኘት ሁለቱን በ 2 እንካፋ።

24 = 2p
24 / 2 = p
12 = p

ስለዚህ የ p ዋጋ 12 ነው።

እንደ ተሰጡት አማራጮች ውስጥ የ 12 ዋጋ የለም። ስለዚህ ምንም አማራጭ አይሆንም።"
ወይዘሮ ፔሬዝ በ5 ቀናት ውስጥ በአጠቃላይ 40 ማይል ነድታለች። በየቀኑ ተመሳሳይ ማይሎችን ትነዳለች። ወይዘሮ ፔሬዝ በየቀኑ ስንት ማይሎችን ትነዳ ነበር,"['5', '7', '8', '9']",C,elementary_mathematics,"ወይዘሮ ፔሬዝ በ5 ቀናት ውስጥ በአጠቃላይ 40 ማይል ነድታለች። በየቀኑ ተመሳሳይ ማይሎችን ትነዳለች። በየቀኑ ስንት ማይሎችን ትነዳ ነበር?

ይህን ለመለየት፣ በአጠቃላይ የነዳችውን ማይሎች በቀናት ብዛት እንካፈላለን።

አጠቃላይ ማይሎች = 40
ቀናት ብዛት = 5

በየቀኑ የነዳችው ማይሎች = 40 ማይሎች / 5 ቀናት = 8 ማይሎች

ስለዚህ፣ ወይዘሮ ፔሬዝ በየቀኑ 8 ማይሎች ትነዳ ነበር። ስለዚህ ትክክለኛው መልስ ሲሆን፣

C) 8"
የ −40 ÷ (−8) ድርሻ ፈልጉ,"['1 ሲካፈል 5', '-5', '−1 ሲካፈል 5', '5']",D,elementary_mathematics,"እንዲሁ እንደሚታወቀው ሁለት አሉታዊ ቁጥሮች እንደሚካፈሉ አንድ አይነት አይነት አሉታዊ ቁጥር ይሰጣሉ። ስለዚህ የ −40 ÷ (−8) ድርሻ እንዲህ ይሆናል:

\[
\frac{-40}{-8} = 5
\]

ስለዚህ ትክክለኛው መልስ የሚሆነው:

D) 5"
የእግር ኳስ ቡድን የእግር ኳስ ኳሶችን ለመግዛት $90.00 አለው። አንድ የእግር ኳስ ኳስ $15.60 የሚያስከፍል ከሆነ ቡድኑ ሊገዛው የሚችለው ከፍተኛው የእግር ኳስ ኳስ ብዛት ምን ያህል ነው,"['4', '5', '6', '7']",B,elementary_mathematics,"ቡድኑ የእግር ኳስ ኳሶችን ለመግዛት $90.00 አለው። አንድ የእግር ኳስ ኳስ $15.60 የሚያስከፍል ከሆነ ቡድኑ ሊገዛው የሚችለው ከፍተኛው የእግር ኳስ ኳስ ብዛት ምን ያህል ነው?

እንደ መጀመሪያ የሚያስፈልገው የእግር ኳስ ብዛትን ለመለየት እንደተሰጠው ገንዘብ በእግር ኳስ ዋጋ እንካፈል።

$90.00 ÷ $15.60 = 5.769

ማለትም ቡድኑ ከፍተኛው 5 እግር ኳሶች ሊገዛ ይችላል። ስለዚህ በጥያቄው የቀረበው መልስ እንዲህ ነው፦

B) 5"
አንተ እና ሶስት ጓደኞች ወደ ኮንሰርት ሄዳችሁ። የአራት ትኬቶች አጠቃላይ ዋጋ $112 ነው። የአንድ ትኬት ዋጋ ለማግኘት ቀመር ፃፉ እና ፍታ,"['4t = 112; $449', '4t = 112; $29', 't over 4 = 112; $449', 't over 4 = 112; $29']",B,elementary_mathematics,"የአንድ ትኬት ዋጋ ለማግኘት ቀመር ፃፉ እና ፍታ።

አንድ ትኬት ዋጋ እንዲሁ ነው ብለን እንደምን እንወስዳለን። ስለዚህ በአጠቃላይ ዋጋ እና ትኬቶች ብዛት መጠን እንደሚሆን እንወስዳለን።

አንድ ትኬት ዋጋ እንዲሁ ብለን ትኬቶች ብዛት እና አጠቃላይ ዋጋ እንደሚሆን እንወስዳለን።

አንድ ትኬት ዋጋ በt እንዲሁ እንወስዳለን። አራት ትኬቶች እንዲሁ እንወስዳለን።

እንዲሁም በአጠቃላይ ዋጋ 112 ብለን እንወስዳለን።

ስለዚህ እንዲሁ እንወስዳለን።

4t = 112

እ"
ጥያቄውን ለመመለስ ከዚህ በታች ያለውን አገላለፅ ተጠቀም። 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 የአገላለፁ ዋጋ ስንት ነው,"['9', '11', '26', '32']",C,elementary_mathematics,"እንደ ተጠቀምከው አገላለፅ ሂደት እንጀምር።

እንደ መጀመሪያ ቅደም ተከተል በቅርብ እንመልከት።

1. በቅርብ በቅርብ እንመልከት እንጀምር።
\[ 2 × 6 = 12 \]
\[ 12 - 5 = 7 \]

2. ከዚያ በኋላ የሚቀጥለውን እንመልከት።
\[ 8 ÷ 4 = 2 \]

3. እንዲሁም የሁለቱን ውጤቶች እንደ አንድ እንደሚከተለው እንደሚከተለው እንደሚከተለው እንደሚከተለው እንደሚከተለው እንደሚከተለው እንደሚከተለው እንደሚከተለው እንደሚከተለው እንደሚከተለው እንደሚከተለው እንደሚከተለው እንደሚከ"
 1 ሲደመር 1 ሲካፈል 11ን እንደ ሙሉ ቁጥር ወይም ድብልቅ ቁጥር በቀላል መንገድ ፃፉ,"['1.1 ሲካፈል 11', '11 ሲካፈል 11', '12 ሲካፈል 11', '11 ሲካፈል 12']",C,elementary_mathematics,"እንደ ሙሉ ቁጥር ወይም ድብልቅ ቁጥር በቀላል መንገድ ለመፃፍ፣ እነዚህን እንዲህ ማለት ነው፦

A) 1.1 ሲካፈል 11 = 0.1
B) 11 ሲካፈል 11 = 1
C) 12 ሲካፈል 11 = 1.090909... (ድብልቅ ቁጥር ነው፣ 1.09 በቀላል መንገድ ማለት ይቻላል)
D) 11 ሲካፈል 12 = 0.916666... (ድብልቅ ቁጥር ነው፣ 0.92 በቀላል መንገድ ማለት ይቻላል)

ስለዚህ፣ እነዚህን በቀላል መንገድ መፃፍ እንዲህ ነው፦

A) 0.1
B) 1
C) 1.09
D) 0.92"
የ 2.16 ÷ 0.06ን ድርሻ ፈልጉ,"['3.6', '36', '0.01272', '12.72']",B,elementary_mathematics,"2.16 ÷ 0.06 ን ለመፈተሽ በቀላሉ በቁጥር እንዲሁም በቅርጽ መውሰድ እንችላለን። እንዲሁም በቀላሉ በቁጥር እንዲሁም በቅርጽ መውሰድ እንችላለን።

1. 2.16 ን በ 100 እንደግፋት 216 ይሆናል።
2. 0.06 ን በ 100 እንደግፋት 6 ይሆናል።

እንዲሁም 2.16 ÷ 0.06 ን 216 ÷ 6 እንደሆነ እንደምንለው።

216 ÷ 6 = 36

ስለዚህ 2.16 ÷ 0.06 = 36

ምርጫዎች እንዲህ ናቸው፦
A) 3.6
B) 36
C) 0.01272
D) 12.72

እንደዚህም በማለት ትክክለኛው መልስ B) 36 ነው።"
የ142.76 – 16.5ን ልዩነት ፈልጉ,"['159.26', '2.224', '14,111', '126.26']",D,elementary_mathematics,"142.76 – 16.5 ን በቀጥታ እንቆጣጠር።

142.76 - 16.5 = 126.26

ስለዚህ የ142.76 – 16.5 ልዩነት 126.26 ነው። ከተሰጡት አማራጮች ውስጥ ይህ መልስ አልተገኘም። በዚህ ጊዜ ምንም አማራጭ አይሰማም።"
የ 5.04/0.7ን ድርሻ ፈልጉ,"['0.72', '0.702', '10.0571', '7.2']",D,elementary_mathematics,"የ 5.04/0.7ን ድርሻ ለመፈለግ በቀላሉ እንችላለን እንዲህ እንደሚሆን:

5.04 በ 0.7 እንካፍላለን።

5.04 ÷ 0.7 = 7.2

ስለዚህ ትክክለኛው መልስ እንደሚከተለው ነው፦
D) 7.2"
