question,choices,answer,subject,output
What does p stand for at 24 = 2p?,"['p is equal to', 'p = 8', 'where p = 12', 'where p = 24']",C,elementary_mathematics,C)where p = 12
Ms. Perez drove 40 miles in 5 days. She drove the same mileage each day. How many miles did Ms. Perez drive each day?,"['The 5th', 'The 7', 'The 8', '9 of 9']",C,elementary_mathematics,B) The 7
Find the solution of −40 ÷ (−8).,"['1 out of 5', '-5 years', '-1 out of 5', 'The 5th']",D,elementary_mathematics,B) -5 years
"A soccer team has $90 to sell balls. If a ball costs $15.60, how many balls can the team buy?","['4 The', 'The 5th', '6 and 7', 'The 7']",B,elementary_mathematics,B) The 5th
You and your three friends are going to a concert. Four tickets cost $112. Make a list that gets you the money for one ticket,"['4t= 112:448 is equal to', '4t=112:$28 or more', 't over 4 =112:$448', 't is above =112:28']",B,elementary_mathematics,B)4t=112:$28
Use the text below to answer the questions. 3 × [(2 × 6  5) + (8 ÷ 4)  1. What does this text represent?,"['9 of 9', 'The 11', '26 years', '32 years old']",C,elementary_mathematics,B) The 11
Write 1 and 1 over 11 as a whole number or as a composite number reduced to zero,"['1.1 out of 11', '11 out of 11', '12 out of 11', '11 out of 12']",C,elementary_mathematics,C)12 out of 11
Look for the answer in 2.16 ÷ 0.06.,"['3.6 years', '36 years old', 'and 0.01272', '12.72 years']",B,elementary_mathematics,B)36 years old
Find the difference between 142.76  16.5.,"['159.26 years', '2,224 people', '14.111 people', '126.26 years']",D,elementary_mathematics,B)2
Search for answers in 5.04/0.7,"['0.72 years', '0.702 days', '10,0571 people', '7.2 and']",D,elementary_mathematics,C)10
Jimmy and Kima will go on a trip. They will drive for three days. The first day they will drive 182 miles. The second day they will drive 439 miles. The third day they will drive 217 miles. What is the nearest record of how many miles Jimmy and Kima will drive on their trip?,"['One hundred and fifty plus four hundred plus 200', '200+ 400 +200', '200+ 250 +200', '200 and 500 and 200']",C,elementary_mathematics,B)200+ 400 +200
What is the least common multiple of 21 divided by 7?,"['The 21st', 'The 7', '1st', 'There is nothing there']",D,elementary_mathematics,C)1st
Maddie will drive her motorcycle 56 miles in 7 days. She will drive the same mileage every day. How many miles will Maddie travel each day?,"['The 8', '9 of 9', '49 years old', '63 years old']",A,elementary_mathematics,A) The 8
Find the number that makes this statement true 48 over 88 = ? over 11.,"['6 and 7', 'The 11', 'The 8', 'The 5th']",A,elementary_mathematics,C) The 8
what's the best thing to buy?,"['10 bars of soap for $23.20', '16 barrels of soap for $36.48', '13 bars of soap at 29.51', '12 barrels of soap at 427.60']",C,elementary_mathematics,B)
"Trish's resting heart rate is 50 beats per minute; for every minute she exercises, her heart rate increases by five beats per minute; how long does it take for her heart rate to reach 120 beats per minute?","['5 minutes', '14 minutes', '34 minutes', '70 minutes']",B,elementary_mathematics,B) 14 minutes
"Find the number that divides the middle of the data into 23 123, 18, 29, 32, 25","['18 and 19', '24 and 25', '25 years old', '29th']",B,elementary_mathematics,C)25 years old
"Jack picks 60 apples. He uses 12 apples to make a drink. He puts the remaining 6 apples in each gift basket. What text would be used to look for the apples, a, may not be in the basket by Jack","['(60/6) -12 is equal to a', '(60 - 12) 6 = a', '(60 - 6) - 12 is equal to', '(60+12)/6 is equal to a']",B,elementary_mathematics,B
One map uses a scale of 1 inch equals 25 miles. How many miles are represented by 5 inches on the map?,"['The 5th', '25 years old', '50 years', '125 years old']",D,elementary_mathematics,D) 125 years old
Reduce the (2 + 5) ^2 − 42.,"['The 7', 'The 16th', '30 From the Bible', '33 years old']",A,elementary_mathematics,D) 33 years old
Find out what this means. 4./.2 x2 + 8-4,"['- twelve', '12 years', 'The 8', 'The 16th']",C,elementary_mathematics,A
The coach rounded the number of runners to 10. The rounded number of runners is 400. Which number would represent the runners when they met at the competition.,"['three hundred eighty-two', 'French 397', 'four hundred and six', 'four hundred forty-seven']",B,elementary_mathematics,C) four hundred and six
−4 + (−3 )=,"['-7 years', '-1 year', '1st', 'The 7']",A,elementary_mathematics,A)-7 years
"Mark is looking for stamps. He has 22 stamps from Japan, 34 from Canada and 17 from Mexico. How many stamps does he have in total?","['53 years old', '63 years old', '73 years old', '83 years old']",C,elementary_mathematics,C)73 years old
Find the answer to this equation x + 2.7 = 8.4 from the given number.,"['11.1 years', '5.7 years old', '3.7 years', '22.68 years']",B,elementary_mathematics,C) 3.7 years
Find the number that makes this text true 0.32 g = _ cg.,"['32 years old', 'What is it? 3.2', 'What is it? 3.2', '320 years old']",A,elementary_mathematics,B
Find the meanings of 5.7 (8) by title using Distributive Property,"['46.4 years', 'four hundred fifty-six', '4.56 years', '45.6 years']",D,elementary_mathematics,D) 45.6 years
"The number of copies of this manuscript 2,314 / 4?","['five hundred and eighty', '508r2', '578 years old', '578r2']",D,elementary_mathematics, D)578r2
Rosa's goal is to run 100 miles this month. Each day she runs 5 miles. What record would Rosa use to calculate the remaining miles if she ran for days?,"['100 to 5d', '5d+ 100', '100/5d', '5d']",A,elementary_mathematics,A)100 to 5d
Print the following text to illustrate the meaning of these words: cans folded up as Tom searches for them,"['4t or', 't over 4', 't is − 4', 't + 4']",A,elementary_mathematics,C) t is − 4
"Andrew wrote the number 186,425 on the board. What number represents 6 where 6 is 10 times the number Andrew wrote?","['681,452 people', '462,017 people', '246,412 years old', 'One hundred and twenty-five thousand six hundred and fifty-five']",B,elementary_mathematics,C)462
What does 123 / 8 reveal?,"['15 remaining 7', '15 remaining 3', '16 remaining 5', '16 to 1']",B,elementary_mathematics,B)15 remaining 3
Write 8 and 2 over 4 as a subtracted fraction,"['17 out of 2', '34 out of 4', '17 out of 4', '19 out of 2']",A,elementary_mathematics,C) 17 out of 4
"what number would be used to indicate 270,240 being listed in its total number","['200,000 + 7,000 + 200 + 4 and so on and so forth', '200,000 + 7,000 + 200 + 40 and so on', '200,000 + 70,000 + 200 + 40 and so on and so forth', '200,000 + 70,000 + 2,000 + 40 and so on and so forth']",C,elementary_mathematics,A)200
"A line worker takes 7 hours to make 22 utensils. Under normal conditions, how many utensils does he make in 35 hours?","['household equipment 220', 'containers 770', 'containers 4', 'household goods 110']",D,elementary_mathematics,D)household goods 110
"Abe found the mean and the median of these numbers to be 1.3,3. What does 6 plus these numbers represent?","['mean increases', 'mean lowered', 'median increases', 'decreasing median']",A,elementary_mathematics,A)mean increases
"If n = 11, how much is 10  (n + 6)?","['-7 years', 'The 5th', 'The 7', 'The 27th']",A,elementary_mathematics,D) The 27th
"Which letter represents the bottom? 3 less than number, p.","['The 3-p', 'p+3', '3/p', 'p. 3']",D,elementary_mathematics,A) The 3-p
The theater collected $6 per ticket sold at the movie theater. The theater sold 500 tickets per movie theater. The table below can be used to find out how much money the theater made from tickets. 6x500. what table can be used to find out how much money the theater made from tickets.,"['30 times 10 to the first power', '30 times 10 to the third power', '(6 × 5) × 10 squared', '(6 times 5) times 10 to the third power']",C,elementary_mathematics,D) (6 times 5) times 10 to the third power
"If 12 - 9 + c = 12, what does c wait for to be true?","['and 0', 'The 3rd', '9 of 9', '12 years']",C,elementary_mathematics,B) The 3rd
"The Sojourn family went on vacation. They started with $2000. If they spent $150 each day, what record represents the amount they spent on x days?","['and 1850x', '2000 to −150x', '150 times', '2000 and 150x']",B,elementary_mathematics,B)2000 to −150x
"One shelf has four books on it. The weight of each book by the pound, on the shelf is 2.5, 3.2, 2.7, 2.3. What is the variance in the variance indicated by the weight w on the book chosen on the shelf.","['w > 2.3', 'w < 2.4', 'w > 3.2', 'w < 3.3']",D,elementary_mathematics,B)w < 2.4
What number is the absolute value of 5?,"['-6 years', '-5 years', 'and 0', 'The 5th']",A,elementary_mathematics,D) The 5th
Find out what this record represents (2(3(4^2 + 1)) - 2^3?,"['156 years old', '110 years old', '94 years old', '48 years']",C,elementary_mathematics,C)94 years old
"Gwen wrote a number pattern on pages 1, 5, 9, and 13. What are the following numbers on Gwen's pattern?","['15 and 17', '15, 19 What is the', '17, 19', '17, 21 and 22']",D,elementary_mathematics,A)15 and 17
"If a jar of pears costs $2.37, how many cans can you buy for $9.48?","['3 cans', '12 cans of', '36 cans', '13 cans']",B,elementary_mathematics,A)3 cans
"Arrange from the largest number to the smallest:3, 3 and 1 over 8,3.8,3.18.","['3.18, 3 and 1 of 8, 3.8, 3', '3.3 and 1 over 8, 3.18, 3', '3.8 , 3 and 1 of 8, 3.18, 3', '3.8, 3.18, 3 and 1 of 8, 3']",D,elementary_mathematics,C
Find the sum of 22 / 2 + 9.,"['10 The', 'The 11', '20 years old', '2 and 3']",C,elementary_mathematics,C
"The population of one city is 836,527. What is the population of this city if it is drawn close to 10,000 at the census?","['800,000 of them', 'Eight hundred and thirty thousand', 'eight hundred and thirty six thousand', 'Eight hundred and forty thousand']",D,elementary_mathematics,D
Find the derivatives of 5 • (−9).,"['14 The', '-4 years', '45 years', '- forty five']",D,elementary_mathematics,D) - forty five
