question	choices	answer	subject	opus	prompt
valeur ya p eza Nini na 24=2p ?	['p = 4', 'p = 8', 'p = 12', 'p = 24']	C	elementary_mathematics	[TextBlock(text='B)p = 12', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'valeur ya p eza Nini na 24=2p ?\n A)p = 4 B)p = 8 C)p = 12 D)p = 24'}]}]
Mama Perez atamboli na nyoso kilometele 40 na mikolo 5. Mikolo nyoso, asalaka ntaka ya ndenge moko na kilometele. Motuya boni na kilometele mama Perez atamboli na mikolo nyoso ?	['5', '7', '8', '9']	C	elementary_mathematics	[TextBlock(text='C)8', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Mama Perez atamboli na nyoso kilometele 40 na mikolo 5. Mikolo nyoso, asalaka ntaka ya ndenge moko na kilometele. Motuya boni na kilometele mama Perez atamboli na mikolo nyoso ?\n A)5 B)7 C)8 D)9'}]}]
Sala calcule ya quotien ya -40 ÷(-8).	['1 likolo ya 5', '-5', '-1 likolo ya 5', '5']	D	elementary_mathematics	[TextBlock(text='D)5', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Sala calcule ya quotien ya -40 ÷(-8).\n A)1 likolo ya 5 B)-5 C)-1 likolo ya 5 D)5'}]}]
Ekipi ya football ezali na mosolo ya 90.00 $ mpo na kozwa motope ya football. Soki motope moko ya football ezali na ntalo ya 15,60 $, motango boni ya nsuka ya mitope oyo ekipi akoki komipesa ?	['4', '5', '6', '7']	B	elementary_mathematics	[TextBlock(text='C)6', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Ekipi ya football ezali na mosolo ya 90.00 $ mpo na kozwa motope ya football. Soki motope moko ya football ezali na ntalo ya 15,60 $, motango boni ya nsuka ya mitope oyo ekipi akoki komipesa ?\n A)4 B)5 C)6 D)7'}]}]
Na baninga misato, bokoti concert .ko yabe ete Talo nionso ya ba billet 4 ezali 112$. koma PE bongisa ekwation PONA ko yeba Talo ya billet b	['4b = 112; 448 $', '4b= 112; 28 $', 'b sur 4 = 112; 448 $', 'b sur 4 = 112; 28 $']	B	elementary_mathematics	[TextBlock(text='B)4b= 112; 28 $', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Na baninga misato, bokoti concert .ko yabe ete Talo nionso ya ba billet 4 ezali 112$. koma PE bongisa ekwation PONA ko yeba Talo ya billet b\n A)4b = 112; 448 $ B)4b= 112; 28 $ C)b sur 4 = 112; 448 $ D)b sur 4 = 112; 28 $'}]}]
Sala calcul oyo elandi : 3 × [(2 × 6 - 5) + (8 ÷ 4)] - 1, mpo na koyanola na motuna elandi : motuya nini ya operation ?	['9', '11', '26', '32']	C	elementary_mathematics	[TextBlock(text='B)11', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Sala calcul oyo elandi : 3 × [(2 × 6 - 5) + (8 ÷ 4)] - 1, mpo na koyanola na motuna elandi : motuya nini ya operation ?\n A)9 B)11 C)26 D)32'}]}]
Koma 1 na 1 likolo 11 na lolenge ya motango mobimba to mixte na ndenge ya moke makasi.	['1,1 likolo 11', '11 likolo 11', '12 likolo 11', '11 likolo 12']	C	elementary_mathematics	[TextBlock(text='B) 1 likolo 11', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Koma 1 na 1 likolo 11 na lolenge ya motango mobimba to mixte na ndenge ya moke makasi.\n A)1 B)1 likolo 11 C)11 likolo 11 D)12 likolo 11'}]}]
bimisa eyano ya bokaboli ya 2,16 ÷0.06	['3,6', '36', '0, 01272', '12,72']	B	elementary_mathematics	[TextBlock(text='B)36', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'bimisa eyano ya bokaboli ya 2,16 ÷0.06\n A)3 B)6 C)36 D)0'}]}]
pesa ba keseni kati ya 142,76 PE 16,5	['159,26', '2,224', '14,111', '126,26']	D	elementary_mathematics	[TextBlock(text='A)159', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'pesa ba keseni kati ya 142,76 PE 16,5\n A)159 B)26 C)2 D)224'}]}]
bimisa eyano ya bokaboli ya 5,04/0,7	['0,72', '702', '10, 0571', '7,2']	D	elementary_mathematics	[TextBlock(text='B)72', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'bimisa eyano ya bokaboli ya 5,04/0,7\n A)0 B)72 C)702 D)10'}]}]
Jimmy na Kima bakeyi mobembo. Batamboli mpo na mikolo misato. Mokolo ya liboso, basali 182 kilometele. Mokolo ya mibale, batamboli 439 kilometele. Mokolo ya misato, basali 217 kilometele. Operation ya pembeni nini ya kokanisa motango ya kilometele ya kotambola ya Jimmy na Kima na ntango ya mobembo na bango ?	['150 + 400 + 200', '200 + 400 + 200', '200 + 450 + 200', '200 + 500 + 200']	C	elementary_mathematics	[TextBlock(text='B)200 + 400 + 200', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Jimmy na Kima bakeyi mobembo. Batamboli mpo na mikolo misato. Mokolo ya liboso, basali 182 kilometele. Mokolo ya mibale, batamboli 439 kilometele. Mokolo ya misato, basali 217 kilometele. Operation ya pembeni nini ya kokanisa motango ya kilometele ya kotambola ya Jimmy na Kima na ntango ya mobembo na bango ?\n A)150 + 400 + 200 B)200 + 400 + 200 C)200 + 450 + 200 D)200 + 500 + 200'}]}]
pesa Oyo etikali na bo kaboli ya 21 na 7?	['21', '7', '1', 'ata Moko te ya bi yano Oyo epesami']	D	elementary_mathematics	[TextBlock(text='D) ata Moko te ya bi yano Oyo epesami', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'pesa Oyo etikali na bo kaboli ya 21 na 7?\n A)21 B)7 C)1 D)ata Moko te ya bi yano Oyo epesami'}]}]
Maddie akatisi 56 kilometele na velo na mikolo 7. Atambolaka motango ya kilometele moko mikolo nyoso. Motango boni ya kilometele ya kotambola ya Maddie mikolo nyoso ?	['8', '9', '49', '63']	A	elementary_mathematics	[TextBlock(text='A) 8', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Maddie akatisi 56 kilometele na velo na mikolo 7. Atambolaka motango ya kilometele moko mikolo nyoso. Motango boni ya kilometele ya kotambola ya Maddie mikolo nyoso ?\n A)8 B)9 C)49 D)63'}]}]
Tiya motango ya kolakisa bosolo ya kondima ya 48 likolo 88 = ? likolo 11.	['6', '11', '8', '5']	A	elementary_mathematics	[TextBlock(text='B)11', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Tiya motango ya kolakisa bosolo ya kondima ya 48 likolo 88 = ? likolo 11.\n A)6 B)11 C)8 D)5'}]}]
Kopesa ya kitoko nini kati na kolakisa oyo elandi nsima ?	['Biteni 10 ya sabuni na 23,20 $', 'Biteni 16 ya sabuni na 36, 48 $', 'Biteni 13 ya sabuni na 29,51 $', 'Biteni 12 ya sabuni na 27,60 $']	C	elementary_mathematics	[TextBlock(text='C)Biteni 16 ya sabuni na 36', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Kopesa ya kitoko nini kati na kolakisa oyo elandi nsima ?\n A)Biteni 10 ya sabuni na 23 B)20 $ C)Biteni 16 ya sabuni na 36 D)48 $'}]}]
Fréquence ya motema ya Trish na kopema ekokani na kobeta 50 na minute. Mpo na minute nyoso ya mosala, abakisi kobeta 5 na minute. Ngonga boni esengeli na ye kokoma na rythme ya kobeta 120 na minute ?	['5 minutes', '14 minutes', '34 minutes', '70 minutes']	B	elementary_mathematics	[TextBlock(text='B)14 minutes', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Fréquence ya motema ya Trish na kopema ekokani na kobeta 50 na minute. Mpo na minute nyoso ya mosala, abakisi kobeta 5 na minute. Ngonga boni esengeli na ye kokoma na rythme ya kobeta 120 na minute ?\n A)5 minutes B)14 minutes C)34 minutes D)70 minutes'}]}]
Sala calcul ya médiane na lisanga ya ba donnée oyo elandi nsima	['18', '24', '25', '29']	B	elementary_mathematics	[TextBlock(text='Tala malamu, pona kozwa médiane, esengeli kolandela etape oyo :\n\n1. Benga ba donnée na ordre ya moke kino monene :\n18, 24, 25, 29\n\n2. Tanga motango ya ba donnée. Awa ezali 4, mpe ezali paire. \n\n3. Lokola motango ezali paire, médiane ekozala kati na ba donnée ya 2 mpe 3 nsima ya kobonga yango, elingi koloba kati na 24 mpe 25.\n\n4. Sala calcul ya moyenne ya ba valeur wana mibale :\n(24 + 25) ÷ 2 = 49 ÷ 2 = 24,5\n\nBoye, médiane ezali kati na 24 mpe 25. Kasi na ba option oyo bapesi, ezali te. \nKasi option oyo ebelemi pene na yango mingi ezali B) 24.\n\nYango wana, eyano ya malamu ezali B) 24.', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Sala calcul ya médiane na lisanga ya ba donnée oyo elandi nsima\n A)18 B)24 C)25 D)29'}]}]
Na nzete ya pommier Jack abuki mbuma 60. Alambi compote na pomme 12 mpe atiyi mbuma etikali pembeni na kitunga ya libonza ya kokokana.  Equation nini ekoki kotiyama mpo na kotala motongo ya pomme etiyami na Jack na kitunga moko na moko ?	['(60/6)—12=a', '(60—12)/6=a', '(60-6)-12=a', '(60+12)/6=a']	B	elementary_mathematics	[TextBlock(text='B)(60—12)/6=a', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Na nzete ya pommier Jack abuki mbuma 60. Alambi compote na pomme 12 mpe atiyi mbuma etikali pembeni na kitunga ya libonza ya kokokana.  Equation nini ekoki kotiyama mpo na kotala motongo ya pomme etiyami na Jack na kitunga moko na moko ?\n A)(60/6)—12=a B)(60—12)/6=a C)(60-6)-12=a D)(60+12)/6=a'}]}]
Mpo na carte lambda esalemi na ebuteli ya 1 pouce = 25 kilometele. Motuya boni ya kilometele elakisami na pouce 5 likolo ya carte ?	['5', '25', '50', '125']	D	elementary_mathematics	[TextBlock(text='D) 125', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Mpo na carte lambda esalemi na ebuteli ya 1 pouce = 25 kilometele. Motuya boni ya kilometele elakisami na pouce 5 likolo ya carte ?\n A)5 B)25 C)50 D)125'}]}]
komisa Pete opération (2 + 5)^2 - 42.	['7', '16', '30', '33']	A	elementary_mathematics	[TextBlock(text='B)16', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'komisa Pete opération (2 + 5)^2 - 42.\n A)7 B)16 C)30 D)33'}]}]
pesa valeur ya 4 ÷ 2 - 2 + 8 - 4.	['-12', '12', '8', '16']	C	elementary_mathematics	[TextBlock(text='D)8', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'pesa valeur ya 4 ÷ 2 - 2 + 8 - 4.\n A)-12 B)12 C)8 D)16'}]}]
Entraîneur moko abongisi motango ya bapoti na mbangu ya athlétisme mpo na ba zomi ya pembeni. Motango bakokisi ya bapoti ezali 400. Motango ya solo ekozala nini ya bapoti na athlétisme ?	['382', '397', '406', '447']	B	elementary_mathematics	[TextBlock(text='B) 397', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Entraîneur moko abongisi motango ya bapoti na mbangu ya athlétisme mpo na ba zomi ya pembeni. Motango bakokisi ya bapoti ezali 400. Motango ya solo ekozala nini ya bapoti na athlétisme ?\n A)382 B)397 C)406 D)447'}]}]
−4 +  ( −3 )=	['-7', '-1', '1', '7']	A	elementary_mathematics	[TextBlock(text='A) -7', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': '−4 +  ( −3 )=\n A)-7 B)-1 C)1 D)7'}]}]
Marc azali na lisanga ya biloko ya timbre esangani na 22 timbre ebimi na Japon, 34 na Canada mpe 17 na Mexique. Motuya boni ya timbre azali na yango nyoso ?	['53', '63', '73', '83']	C	elementary_mathematics	[TextBlock(text='C)73', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Marc azali na lisanga ya biloko ya timbre esangani na 22 timbre ebimi na Japon, 34 na Canada mpe 17 na Mexique. Motuya boni ya timbre azali na yango nyoso ?\n A)53 B)63 C)73 D)83'}]}]
Pesa solution Na ekwation x + 2,7 = 8,4 na Nzela ya mitango Oyo mipesami	['11,1', '5,7', '3,7', '22,68']	B	elementary_mathematics	[TextBlock(text='B)5', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Pesa solution Na ekwation x + 2,7 = 8,4 na Nzela ya mitango Oyo mipesami\n A)11 B)1 C)5 D)7'}]}]
motango nini ya kotala mpo na kondima oyo elandi : 0,32 g = _ cg ?	['32', '3,2', '3,200', '320']	A	elementary_mathematics	[TextBlock(text='Eyano ya malamu ezali A) 32.\n\nPona kobongola 0,32 g na cg (sentigaramu), esengeli kopesa 100 na motango ya garamu. \n0,32 x 100 = 32\nBoye, 0,32 g = 32 cg.', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'motango nini ya kotala mpo na kondima oyo elandi : 0,32 g = _ cg ?\n A)32 B)3 C)2 D)3'}]}]
Luka produit ya 5,7(8) Na kosalela formule ya distributivité ya kalculi ya mutu	['46.4', '456', '4,56', '45,6']	D	elementary_mathematics	[TextBlock(text='A)46.4', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Luka produit ya 5,7(8) Na kosalela formule ya distributivité ya kalculi ya mutu\n A)46.4 B)456 C)4 D)56'}]}]
Quotient nini ya maloba 2.314 /4 ? 	['508', '508 r2', '578', '578 r2']	D	elementary_mathematics	[TextBlock(text='D) 578 r2', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Quotient nini ya maloba 2.314 /4 ? \n A)508 B)508 r2 C)578 D)578 r2'}]}]
Mpo na sanza oyo, Rosa atiyi ndelo na ntina ya kopota na ntaka nyoso ya kilometele 100. Mikolo nyoso epai wapi asali mbangu na ye, asali kilometele 5. Maloba nini Rosa akoki kosalela mpo ya kotala motongo ya kilometele etikali ya kosala na nsima ya kopota mikolo mibale ?	['100 — 5j', '5j+ 100', '100 / 5j', ' 5j']	A	elementary_mathematics	[TextBlock(text='D) 5j', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Mpo na sanza oyo, Rosa atiyi ndelo na ntina ya kopota na ntaka nyoso ya kilometele 100. Mikolo nyoso epai wapi asali mbangu na ye, asali kilometele 5. Maloba nini Rosa akoki kosalela mpo ya kotala motongo ya kilometele etikali ya kosala na nsima ya kopota mikolo mibale ?\n A)100 — 5j B)5j+ 100 C)100 / 5j D) 5j'}]}]
monisa expression ya algèbre oyoeza ndenge Moko na phrase : mbala 4 koleka mulongi ya linzanza koleka tom	['4f', 'f sur 4', 'f-4', 'f+4']	A	elementary_mathematics	[TextBlock(text='A) 4f', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'monisa expression ya algèbre oyoeza ndenge Moko na phrase : mbala 4 koleka mulongi ya linzanza koleka tom\n A)4f B)f sur 4 C)f-4 D)f+4'}]}]
Andrew akomi motango 186 425 na etanda. Na kati ya motango oyo elandi, elakisi motango ya valeur ya chiffre 6 ezali mbala 10 ya valeur ya chiffre 6 na motango ekomami na Andrew. 	['681 452', '462 017', '246 412', '125 655']	B	elementary_mathematics	[TextBlock(text='B)462 017', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Andrew akomi motango 186 425 na etanda. Na kati ya motango oyo elandi, elakisi motango ya valeur ya chiffre 6 ezali mbala 10 ya valeur ya chiffre 6 na motango ekomami na Andrew. \n A)681 452 B)462 017 C)246 412 D)125 655'}]}]
Nini eza représenter 122/8?	['15 Oyo Tikali 7', '15 Oyo etikali 3', '16 Oyo etikali 5', '16 Oyo etikali 1']	B	elementary_mathematics	[TextBlock(text='D)16 Oyo etikali 1', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Nini eza représenter 122/8?\n A)15 Oyo Tikali 7 B)15 Oyo etikali 3 C)16 Oyo etikali 5 D)16 Oyo etikali 1'}]}]
koma 8 PE 2 likola ya 4 na ndange ya ezaleli ya Pete makasi ya eteni ya bokaboli impropre	['17 sur 2', '34 sur 4', '17 sur 4', '19 sur 2']	A	elementary_mathematics	[TextBlock(text='B)34 sur 4', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'koma 8 PE 2 likola ya 4 na ndange ya ezaleli ya Pete makasi ya eteni ya bokaboli impropre\n A)17 sur 2 B)34 sur 4 C)17 sur 4 D)19 sur 2'}]}]
Maloba nini bakoki kosalela mpo ya koloba 270, 240 na lolenge ya kolimbola	['200.000 + 7.000 + 200 + 4', '200.000 + 7.000 + 200 + 40', '200.000 + 70.000 + 200 + 40', '200.000 + 70.000 + 2.000 + 40']	C	elementary_mathematics	[TextBlock(text='D)200.000 + 70.000 + 2.000 + 40', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Maloba nini bakoki kosalela mpo ya koloba 270, 240 na lolenge ya kolimbola\n A)200.000 + 7.000 + 200 + 4 B)200.000 + 7.000 + 200 + 40 C)200.000 + 70.000 + 200 + 40 D)200.000 + 70.000 + 2.000 + 40'}]}]
Na singa ya bosali, mosali Moko Azo sala 7 heures PONA ko sala 22 bitenies. Na lolenge Wana, Akoki kosala ba unités boni Na 35 heures?	['220 unités', '770 unités', '4 unités', '110 unités']	D	elementary_mathematics	[TextBlock(text='D)110 unités', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Na singa ya bosali, mosali Moko Azo sala 7 heures PONA ko sala 22 bitenies. Na lolenge Wana, Akoki kosala ba unités boni Na 35 heures?\n A)220 unités B)770 unités C)4 unités D)110 unités'}]}]
Abe azwi moyenne na mpe médiane ya kolandana ya motuya oyo elandi : 1,3,3. Soki motango 6 ebakisami na liste, na ntango wana	['Moyenne ekomata.', 'Moyenne ekokita.', 'Médiane ekomata', 'Médiane ekokita.']	A	elementary_mathematics	[TextBlock(text='D) Médiane ekokita', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Abe azwi moyenne na mpe médiane ya kolandana ya motuya oyo elandi : 1,3,3. Soki motango 6 ebakisami na liste, na ntango wana\n A)Moyenne ekomata. B)Moyenne ekokita. C)Médiane ekomata D)Médiane ekokita.'}]}]
Na ntango n= 11, motuya nini ya 10 - (n + 6) ?	['-7', '5', '7', '27']	A	elementary_mathematics	[TextBlock(text='A)-7', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Na ntango n= 11, motuya nini ya 10 - (n + 6) ?\n A)-7 B)5 C)7 D)27'}]}]
proposition Nini ezo lobela phrazi Oyo? 3 Na se ya matongo, p.	['3-p', 'p+3', '3/p', 'p-3']	D	elementary_mathematics	[TextBlock(text='B)p+3', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'proposition Nini ezo lobela phrazi Oyo? 3 Na se ya matongo, p.\n A)3-p B)p+3 C)3/p D)p-3'}]}]
Na cinema ntalo ya billet ya film moko ezali na 6 $. Maloba elandi nsima bakoki kosalela mpo ya kozwa mosolo oyo cinema azwi na koteka ba billet : 6 x 500. Likanisi mosusu nini bakoki kosalela na calcul ya mosolo na caisse ya cinema mpo na ba billet ?	['30 × 10^1', '30 × 10^3', '(6 × 5) × 10^2', '(6 × 5) × 10^3']	C	elementary_mathematics	[TextBlock(text='C)(6 × 5) × 10^2', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Na cinema ntalo ya billet ya film moko ezali na 6 $. Maloba elandi nsima bakoki kosalela mpo ya kozwa mosolo oyo cinema azwi na koteka ba billet : 6 x 500. Likanisi mosusu nini bakoki kosalela na calcul ya mosolo na caisse ya cinema mpo na ba billet ?\n A)30 × 10^1 B)30 × 10^3 C)(6 × 5) × 10^2 D)(6 × 5) × 10^3'}]}]
