question	choices	answer	subject	opus	prompt
Boleng ba p ke bokae ho 24 = 2p	['p =4', 'p = 8', 'p = 8', 'p = 24']	C	elementary_mathematics	[TextBlock(text='C)p = 12', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Boleng ba p ke bokae ho 24 = 2p\n A)p =4 B)p = 8 C)p = 8 D)p = 24'}]}]
Mof. Perez o kgannile dikhilomitara tse 40 ka matsatsi a 5. O kgannile palo e lekaneng ya dikhilomitara letsatsi le letsatsi. Mof. Perez o kgannile dikhilomitara tse kae letsatsi le letsatsi?	['5', '7', '8', '9']	C	elementary_mathematics	[TextBlock(text='C) 8', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Mof. Perez o kgannile dikhilomitara tse 40 ka matsatsi a 5. O kgannile palo e lekaneng ya dikhilomitara letsatsi le letsatsi. Mof. Perez o kgannile dikhilomitara tse kae letsatsi le letsatsi?\n A)5 B)7 C)8 D)9'}]}]
Fumana quotient ya - 40/ (-8).	['1 hodima 5', '-5', '-1 hodima 5', '5']	D	elementary_mathematics	[TextBlock(text='B)-5', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Fumana quotient ya - 40/ (-8).\n A)1 hodima 5 B)-5 C)-1 hodima 5 D)5'}]}]
Sehlopha sa bolo se na le R90.00 ho reka dibolo tsa maoto. Haeba bolo e le nngwe e bitsa R15.60, ke palo e kae e kgolo eo sehlopha se ka rekang dibolo?	['4', '5', '6', '7']	B	elementary_mathematics	[TextBlock(text='B)5', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Sehlopha sa bolo se na le R90.00 ho reka dibolo tsa maoto. Haeba bolo e le nngwe e bitsa R15.60, ke palo e kae e kgolo eo sehlopha se ka rekang dibolo?\n A)4 B)5 C)6 D)7'}]}]
Wena le metswalle ya hao e meraro le ya khonsareteng. Theko ya ditekete tse nne ke R112. Ngola o be o rarolle equation ho fumana theko ya tekete e le nngwe t.	['4t = 112; R448', '4t = 112; R28', 't hodima 4 = 112; R448', 't hodima 4 = 112; R28']	B	elementary_mathematics	[TextBlock(text='B)4t = 112; R28', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Wena le metswalle ya hao e meraro le ya khonsareteng. Theko ya ditekete tse nne ke R112. Ngola o be o rarolle equation ho fumana theko ya tekete e le nngwe t.\n A)4t = 112; R448 B)4t = 112; R28 C)t hodima 4 = 112; R448 D)t hodima 4 = 112; R28'}]}]
Sebedisa mohopolo o ka tlase ho araba potso. 3 x [(2 x 6 - 5) + (8/4)] - 1. Boleng ba mohopolo ke eng?	['9', '11', '26', '32']	C	elementary_mathematics	[TextBlock(text='B)11', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Sebedisa mohopolo o ka tlase ho araba potso. 3 x [(2 x 6 - 5) + (8/4)] - 1. Boleng ba mohopolo ke eng?\n A)9 B)11 C)26 D)32'}]}]
Ngola 1 le 1 hodima 11 e le palo e felletseng kapa nomoro e tswakuweng ka tsela e bobebe.	['1.1 hodima 11', '11 hodima 11', '12 hodima 11', '11 hodima 12']	C	elementary_mathematics	[TextBlock(text='C)12 hodima 11', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Ngola 1 le 1 hodima 11 e le palo e felletseng kapa nomoro e tswakuweng ka tsela e bobebe.\n A)1.1 hodima 11 B)11 hodima 11 C)12 hodima 11 D)11 hodima 12'}]}]
Fumana quotient ya 2.16 / 0.06	['3.6', '36', '0.01272', '12.72']	B	elementary_mathematics	[TextBlock(text='B)36', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Fumana quotient ya 2.16 / 0.06\n A)3.6 B)36 C)0.01272 D)12.72'}]}]
Fumana phapang ya 142.76 - 16.5	['159.26', '2.224', '14,111', '126.26']	D	elementary_mathematics	[TextBlock(text='C)126.26', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Fumana phapang ya 142.76 - 16.5\n A)159.26 B)2.224 C)14 D)111'}]}]
Fumana quotient ya 5.04 / 0.7	['0.72', '0.702', '10.0571', '7.2']	D	elementary_mathematics	[TextBlock(text='D)7.2', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Fumana quotient ya 5.04 / 0.7\n A)0.72 B)0.702 C)10.0571 D)7.2'}]}]
