question	choices	answer	subject	opus	prompt
Gịnị ka p ga-apụta n'ime 24 = 2p?	['p =4', 'p = 8', 'p = 12', 'p = 24']	C	elementary_mathematics	[TextBlock(text='C)p = 12', type='text')]	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Gịnị ka p ga-apụta n'ime 24 = 2p?\n A)p =4 B)p = 8 C)p = 12 D)p = 24""}]}]"
Ms.Perez kwọro ụgbọala  na ngụkọta maịlụ 40 n'ime mkpụrụ ụbọchị ise, ọ na-akwọ ụgbọala otuihe ọnụọgụgụ maịlụ ụbọchị ọbụla. Maịlụ ole ka Ms.Perez na-akwọ ụgbọala ụbọchị ọbụla?	['5', '7', '8', '9']	C	elementary_mathematics	[TextBlock(text='C) 8', type='text')]	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Ms.Perez kwọro ụgbọala  na ngụkọta maịlụ 40 n'ime mkpụrụ ụbọchị ise, ọ na-akwọ ụgbọala otuihe ọnụọgụgụ maịlụ ụbọchị ọbụla. Maịlụ ole ka Ms.Perez na-akwọ ụgbọala ụbọchị ọbụla?\n A)5 B)7 C)8 D)9""}]}]"
chọta kwoshenti nke −40 ÷ (−8).	"[""1 n'elu 5"", '-5', ""-1 n'elu 5"", '5']"	D	elementary_mathematics	[TextBlock(text='D)5', type='text')]	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""chọta kwoshenti nke −40 ÷ (−8).\n A)1 n'elu 5 B)-5 C)-1 n'elu 5 D)5""}]}]"
ndị otu sọka nwere $90.00 iji zụta bọọlụ sọka. Ọ bụrụ na bọọlụ sọka nọ n'ọnụ ego $15.60, kedu ọnụọgụgụ kachasi bọọlụ soka ndi otu ahu nwere ike ịzụta?	['4', '5', '6', '7']	B	elementary_mathematics	[TextBlock(text='C)6', type='text')]	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""ndị otu sọka nwere $90.00 iji zụta bọọlụ sọka. Ọ bụrụ na bọọlụ sọka nọ n'ọnụ ego $15.60, kedu ọnụọgụgụ kachasi bọọlụ soka ndi otu ahu nwere ike ịzụta?\n A)4 B)5 C)6 D)7""}]}]"
Gị na ndị enyi atọ gara ebe ngosi egwuregwu. Ngụkọta ọnụ ahia maka tiketị anọ bụ $112. Dee ma ruọ arụmarụ ịchọta ọnụ ahịa otu tiketị t.	"['4t=112; $448', '4t = 112; $28', ""t n'elu 4 = 112; $448"", ""t n'elu 4 = 112; $28""]"	B	elementary_mathematics	[TextBlock(text='B)4t = 112; $28', type='text')]	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Gị na ndị enyi atọ gara ebe ngosi egwuregwu. Ngụkọta ọnụ ahia maka tiketị anọ bụ $112. Dee ma ruọ arụmarụ ịchọta ọnụ ahịa otu tiketị t.\n A)4t=112; $448 B)4t = 112; $28 C)t n'elu 4 = 112; $448 D)t n'elu 4 = 112; $28""}]}]"
Jiri ngosipụta dị n'okpuru zaa ajụjụ ahụ.  3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 Gịnị bụ uru ngosipụta ahụ pụtara?	['9', '11', '26', '32']	C	elementary_mathematics	[TextBlock(text='D)32', type='text')]	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Jiri ngosipụta dị n'okpuru zaa ajụjụ ahụ.  3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 Gịnị bụ uru ngosipụta ahụ pụtara?\n A)9 B)11 C)26 D)32""}]}]"
Dee 1 na 1 n'elu 11 dika ozuzu ya ma ọ bụ ọnụ ọgụgụ agwakọtara n'ụdị kacha mfe	"[""1.1 n'elu 11"", ""11 n'elu 11"", ""12 n'elu 11"", ""11 n'elu 11""]"	C	elementary_mathematics	"[TextBlock(text=""A)1.1 n'elu 11"", type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Dee 1 na 1 n'elu 11 dika ozuzu ya ma ọ bụ ọnụ ọgụgụ agwakọtara n'ụdị kacha mfe\n A)1.1 n'elu 11 B)11 n'elu 11 C)12 n'elu 11 D)11 n'elu 11""}]}]"
Chọta kwoshenti  nke 2.16 ÷ 0.06.	['3.6', '36', '0.01272', '12.72']	B	elementary_mathematics	[TextBlock(text='B)36', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Chọta kwoshenti  nke 2.16 ÷ 0.06.\n A)3.6 B)36 C)0.01272 D)12.72'}]}]
Chọta ihe dị iche nke 142.76 - 16.5.	['159.26', '2.224', '14,111', '126.26']	D	elementary_mathematics	[TextBlock(text='D)111', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Chọta ihe dị iche nke 142.76 - 16.5.\n A)159.26 B)2.224 C)14 D)111'}]}]
chọta kwoshenti nke 5.04/0.7	['0.72', '0.702', '10.0571', '7.2']	D	elementary_mathematics	[TextBlock(text='D)7.2', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'chọta kwoshenti nke 5.04/0.7\n A)0.72 B)0.702 C)10.0571 D)7.2'}]}]
Jimmy na Kima na-aga njem. Ha ga-akwọ ụgbọ ala ruo ụbọchị atọ. Ụbọchị mbụ ha ga-anya mailụ 182. Ụbọchị nke abụọ ha ga-anya mailụ 439. Ụbọchị nke atọ ha ga-anya mailụ 217. Kedụ ngosipụta bụ iru eru kacha nso nke mailụ ole Jimmy na Kima ga-akwọ ụgbọ ala na njem ha?	['150+400+200', '200 + 400 + 200', '200 + 450 + 200', '200 + 500 + 200']	C	elementary_mathematics	[TextBlock(text='B)200 + 400 + 200', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Jimmy na Kima na-aga njem. Ha ga-akwọ ụgbọ ala ruo ụbọchị atọ. Ụbọchị mbụ ha ga-anya mailụ 182. Ụbọchị nke abụọ ha ga-anya mailụ 439. Ụbọchị nke atọ ha ga-anya mailụ 217. Kedụ ngosipụta bụ iru eru kacha nso nke mailụ ole Jimmy na Kima ga-akwọ ụgbọ ala na njem ha?\n A)150+400+200 B)200 + 400 + 200 C)200 + 450 + 200 D)200 + 500 + 200'}]}]
kedu ihe fọdụrụ ma i wepu 16.5 site na 142.76?	['21', '7', '1', 'Ọ dighi nke bụ ndị a']	D	elementary_mathematics	[TextBlock(text='D)Ọ dighi nke bụ ndị a\n\n142.76 - 16.5 = 126.26', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'kedu ihe fọdụrụ ma i wepu 16.5 site na 142.76?\n A)21 B)7 C)1 D)Ọ dighi nke bụ ndị a'}]}]
Maddie ga-agba ịnyịnya ígwè ya ngụkọta nke mailụ 56 n'ime mkpụrụ ụbọchị 7. Ọ ga-agba otu ọnụọgụgụ mailị kwa ụbọchị. Gịnị bụ ngụkọta ọnụọgụgụ nke mailụ Maddie ga-agba kwa ụbọchị?	['8', '9', '49', '63']	A	elementary_mathematics	[TextBlock(text='A) 8', type='text')]	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Maddie ga-agba ịnyịnya ígwè ya ngụkọta nke mailụ 56 n'ime mkpụrụ ụbọchị 7. Ọ ga-agba otu ọnụọgụgụ mailị kwa ụbọchị. Gịnị bụ ngụkọta ọnụọgụgụ nke mailụ Maddie ga-agba kwa ụbọchị?\n A)8 B)9 C)49 D)63""}]}]"
Chọta ọnụọgụgụ nke mere nkwụpụta nke 48 n'elu 88 = ? n'elu 11 eziokwu.	['6', '11', '8', '5']	A	elementary_mathematics	[TextBlock(text='C)8', type='text')]	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Chọta ọnụọgụgụ nke mere nkwụpụta nke 48 n'elu 88 = ? n'elu 11 eziokwu.\n A)6 B)11 C)8 D)5""}]}]"
Kedụ  nzụta nke kacha mma?	['Aka ncha 10 maka $23.20', 'Aka ncha 16 maka $36.48', 'Aka ncha 13 maka $29.51', 'Aka ncha 12 maka $27.60']	C	elementary_mathematics	[TextBlock(text='B)Aka ncha 16 maka $36.48', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Kedụ  nzụta nke kacha mma?\n A)Aka ncha 10 maka $23.20 B)Aka ncha 16 maka $36.48 C)Aka ncha 13 maka $29.51 D)Aka ncha 12 maka $27.60'}]}]
