question	choices	answer	subject	output	verbalized
What is the value of p in 24 = 2p?	['p = 4', 'p = 8', 'where p = 12', 'where p = 24']	C	elementary_mathematics	B)p = 8	B
Ms. Perez covered a total of 40 miles in 5 days. She covered the same amount of miles each day. How many miles did Ms. Perez cover each day?	['The 5th.', 'The 7th', 'The 8', '9 The Bible']	C	elementary_mathematics	C) The 8	C
Cross the number line to −40 ÷ (−8).	['1 out of 5', '-5 years', '-1 out of 5', 'The 5th.']	D	elementary_mathematics	D) The 5th.	D
A football team has $90.00 to buy a soccer ball. If a soccer ball costs $15.60, what is the maximum number of soccer balls that the team can buy?	['The 4', 'The 5th.', '6 of 6', 'The 7th']	B	elementary_mathematics	C) 6	C
You and three friends go to a music festival. The total cost of four tickets is $112. Write down and calculate an equation to find the cost of one ticket.	['4t = 112; $448', '4t is equal to 112; $28', 't divided by 4 = 112; $448', 't divided by 4 = 112; $28']	B	elementary_mathematics	B)4t is equal to 112; $28	B
Use the following expression to answer the question. 3 × [(2 × 6  5) + (8 ÷ 4)  1 What is the expression?	['9 The Bible', 'The 11th', '26 years', '32 years old']	C	elementary_mathematics	C	C
Write 1 and 1 over 11 as a single number or a combination of numbers in the simplest form.	['1.1 out of 11', '11 out of 11', '12 out of 11', '11 out of 12']	C	elementary_mathematics	C)12 out of 11	C
Find the column number 2.16 ÷ 0.06.	['3.6 years', 'Thirty six', 'and 0.01272', '12.72 years']	B	elementary_mathematics	B)Thirty six	B
Find the difference between 142.76  16.5.	['159.26 years', '2,224 people', '14,111 people', '126.26 years']	D	elementary_mathematics	D)14	D
Find the number of columns 5.04/0.7	['0.72', 'and 0.702', '10,0571 people', '7.2 Other']	D	elementary_mathematics	C)10	C
Jimmy and Kima are going on a trip. They will drive for three days. On the first day they will drive 182 miles. On the second day they will drive 439 miles. On the third day they will drive 217 miles. What is the closest statement to the calculation of how many miles Jimmy and Kima will be on their trip?	['One hundred and fifty + 400 + 200', 'Two hundred plus four hundred plus two hundred', '200 and 450 and 200', '200 and 500 and 200']	C	elementary_mathematics	B) Two hundred plus four hundred plus two hundred	B
