question	choices	answer	subject	output	verbalized
What is the value of p in 24 = 2p?	['p = 4', 'p = 8', 'p is 12', 'p is 24']	C	elementary_mathematics	B)p = 8	B
Ms. Perez drove a long distance of 40 miles for 5 days. She drove an equal amount of miles each day. How many miles did Ms. Perez drive each day?	['5 and 6', 'The 7', '8 and 9', '9 and 9']	C	elementary_mathematics	C)8 and 9	C
Find the quotient of −40 ÷ (−8).	['1 more than 5', '-5 years', '−1 more than 5', '5 and 6']	D	elementary_mathematics	D)5 and 6	D
A football team has $90.00 to buy balls. If a ball costs $15.60, what is the maximum number of balls a team can buy?	['The 4', '5 and 6', '6 and 7', 'The 7']	B	elementary_mathematics	B)5 and 6	B
You and your three friends are going to a concert. The total cost of four tickets is $112. Write down and solve this number to find the cost of one ticket.	['4t is 112; $448', '4t is 112; $28', 't over 4 = 112; $448', 't over 4 = 112; $28']	B	elementary_mathematics	B) 4t is 112; $28	B
Use the figure below to answer this question. 3 × [(2 × 6  5) + (8 ÷ 4)  1 What is the value of this expression?	['9 and 9', 'The 11th', '26 years', '32 years old']	C	elementary_mathematics	A	A
Write 1 and 1 over 11 as a single number or a composite number in a simple form	['1.1 more than 11', '11 more than 11', '12 more than 11', '11 more than 12']	C	elementary_mathematics	C)12 more than 11	C
Find the quotient of 2. 16 divided by 0.06	['3.6 years', '36 years', 'and 0.01272', '12.72 years']	B	elementary_mathematics	D)12.72 years	D
Find the difference of 142.76 - 16.5	['159.26 years', '2,224 people', '14,111 people', '126.26 years']	D	elementary_mathematics	D)14	D
Find the quotient of 5.04/0.7	['0.72 years', 'and 0.702', '10,0571 people', '7.2 and']	D	elementary_mathematics	A)0.72	A
Jimmy and Kima will go on a trip. They will drive for three days. The first day they will drive 182 miles. The second day they will drive 439 miles. The third day they will drive 217 miles. What is the approximate estimate of how many miles Jimmy and Kima will drive on their trip?	['One hundred and fifty + 400 + 200', '200 and 400 and 200', '200 and 450 and 200', '200 and 500 and 200']	C	elementary_mathematics	C)200 and 450 and 200	C
How much is left when you divide 21 by 7?	['The 21st', 'The 7', '1 and 2', 'None of the above']	D	elementary_mathematics	D)None of the above	D
Maddie will cycle 56 miles in 7 days? She will cycle equally every day. What is the total number of miles Maddie will cycle each day?	['8 and 9', '9 and 9', '49 years', '63 years']	A	elementary_mathematics	A)8 and 9	A
Find the number that makes this statement true 48 plus 88 = ? plus 11 is true.	['6 and 7', 'The 11th', '8 and 9', '5 and 6']	A	elementary_mathematics	C)8 and 9	C
What is a good buy?	['10 bars of soap for $23.20', '16 ounces of soap for $36.48', '13 bars of soap for $29.52', '12 ounces of soap for $27.60']	C	elementary_mathematics	A	A
Trish's resting heart rate is 50 beats per minute. Every minute she exercises, her heart rate rises to 5 beats per minute. How long will it take for her heart rate to reach 120 beats per minute?	['five minutes', 'fourteen minutes', '34 minutes', '70 minutes']	B	elementary_mathematics	A) five minutes	A
Find the middle number in this information set 23, 13, 18, 29, 32, 25	['18 and 19', '24 and 25', '25 years old', '29 years old']	B	elementary_mathematics	B)24 and 25	B
Jack picks 60 apples from the apple tree. He uses 12 to make the apple sauce. He puts the remaining apples equally in 6 gift bags. What number can be used to find out how many apples Jack put in each place in the basket?	['(60/6) 12 = a', '6012 / 6 = a', '60-6 to 12=a', '(60+12)/6 is equal to a']	B	elementary_mathematics	A	A
There is a map that uses a 1 inch scale that measures 25 miles. How many miles are shown in 5 inches on this map?	['5 and 6', '25 years old', '50 years old', '125 years old']	D	elementary_mathematics	D) 125 years old	D
