subject	question	choices	answer	opus	prompt
elementary_mathematics	Colton le ntate wa hae ba rekile litara ya pente ka R13. Ba boetse ba reka diborashe tse 2 tse bitsitseng R9 bo bong le bo bong. E ne e le bokae kaofela, ho sa kenyelletswe lekgetho, la diborashe le pente eo ba e rekileng?	['R22', 'R24', 'R31', 'R35']	C	[TextBlock(text='C)R31', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Colton le ntate wa hae ba rekile litara ya pente ka R13. Ba boetse ba reka diborashe tse 2 tse bitsitseng R9 bo bong le bo bong. E ne e le bokae kaofela, ho sa kenyelletswe lekgetho, la diborashe le pente eo ba e rekileng?\n A)R22 B)R24 C)R31 D)R35'}]}]
elementary_mathematics	Rarolla y. y-2+3y=10	['2', '3', '4', '5']	B	[TextBlock(text='A) 2', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Rarolla y. y-2+3y=10\n A)2 B)3 C)4 D)5'}]}]
elementary_mathematics	Rarolla 3 hodima 2*w=66	['33', '44', '88', '99']	B	[TextBlock(text='A)33', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Rarolla 3 hodima 2*w=66\n A)33 B)44 C)88 D)99'}]}]
elementary_mathematics	Wendy o batla ho etsa patlisiso ho fumana hore ke tatso efe ya lebejana-po e tummeng haholo sekolong sa hae. Ke mefuta efe ya mekgwa e molemo ho feta bakeng sa ho kgetha sampole ya baithuti sekolong sa hae?	['ho kgetha baithuti ba leshome ho tswa phaposing e nngwe le e nngwe', 'ho kgetha ditho tsa sehlopha sa softball sa banana', 'ho kgetha ditho tsa sehlopha sa bashemane sa basketball', 'ho kgetha baithuti ba ratang tatso ya hae a e ratang ya lebejana-po']	A	[TextBlock(text='A) ho kgetha baithuti ba leshome ho tswa phaposing e nngwe le e nngwe', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Wendy o batla ho etsa patlisiso ho fumana hore ke tatso efe ya lebejana-po e tummeng haholo sekolong sa hae. Ke mefuta efe ya mekgwa e molemo ho feta bakeng sa ho kgetha sampole ya baithuti sekolong sa hae?\n A)ho kgetha baithuti ba leshome ho tswa phaposing e nngwe le e nngwe B)ho kgetha ditho tsa sehlopha sa softball sa banana C)ho kgetha ditho tsa sehlopha sa bashemane sa basketball D)ho kgetha baithuti ba ratang tatso ya hae a e ratang ya lebejana-po'}]}]
elementary_mathematics	Ngola 5.876 e le palo e tswakehileng kapa fraction ka mokgwa o bonolo.	['5 le 8 hodima 9', '5 le 7 hodima 8', '7 hodima 8', '5 le 87 hodima 105']	B	[TextBlock(text='B)5 le 7 hodima 8', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Ngola 5.876 e le palo e tswakehileng kapa fraction ka mokgwa o bonolo.\n A)5 le 8 hodima 9 B)5 le 7 hodima 8 C)7 hodima 8 D)5 le 87 hodima 105'}]}]
elementary_mathematics	Rarolla equation 124=m+34	['158', '90', '88', '4,216']	B	[TextBlock(text='B)90', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Rarolla equation 124=m+34\n A)158 B)90 C)88 D)4'}]}]
elementary_mathematics	Zelma o reka dikhilokgerama tsa dipanana ka disente tse 40 khilokgerama ka nngwe. O lefa tlelereke ka diranta tse mashome a mabedi. Tlelereke e tlosa kakaretso ya ditshenyehelo ya dipanana ho tswa ho diranta tse mashome a mabedi ho fumana tjhelete e lokelang ho kgutlela ho Zelma. Ke mohopolo ofe o emelang tjhelete e kgutlang eo Zelma a lokelang ho e fumana?	['p-20', '20-40p', '20-0.40p', '0.40p-20']	C	[TextBlock(text='C)20-0.40p', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Zelma o reka dikhilokgerama tsa dipanana ka disente tse 40 khilokgerama ka nngwe. O lefa tlelereke ka diranta tse mashome a mabedi. Tlelereke e tlosa kakaretso ya ditshenyehelo ya dipanana ho tswa ho diranta tse mashome a mabedi ho fumana tjhelete e lokelang ho kgutlela ho Zelma. Ke mohopolo ofe o emelang tjhelete e kgutlang eo Zelma a lokelang ho e fumana?\n A)p-20 B)20-40p C)20-0.40p D)0.40p-20'}]}]
elementary_mathematics	Celia o na le setshelo seo mefuta e mene e fapaneng ya ditjhelete tsa tshepe di tswakuweng hantle. O batla ho nka sampole ya ditjhelete tsa hae tsa tshepe ho akanya hore o na le mofuta ofe o mongata wa tjhelete ya tshepe. Ke ofe wa mefuta e latelang o lokileng ka ho fetisisa ho yena hore a kgethe sampole	['ka ho nka tjhelete e le nngwe ya tshepe kahara setshelo', 'ka ho nka ditjhelete tsa tshepe ho fihlela a na le e le nngwe ya mofuta o mong le o mong', 'ka ho nka ditjhelete tse leshome tsa tshepe tsa mofuta o mong le o mong ho tswa ka setshelong', 'ka ho nka ditjhelete tsa tshepe tse mashome a mararo ho tswa ka setshelong a sa sheba']	D	[TextBlock(text='D) ka ho nka ditjhelete tsa tshepe tse mashome a mararo ho tswa ka setshelong a sa sheba', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Celia o na le setshelo seo mefuta e mene e fapaneng ya ditjhelete tsa tshepe di tswakuweng hantle. O batla ho nka sampole ya ditjhelete tsa hae tsa tshepe ho akanya hore o na le mofuta ofe o mongata wa tjhelete ya tshepe. Ke ofe wa mefuta e latelang o lokileng ka ho fetisisa ho yena hore a kgethe sampole\n A)ka ho nka tjhelete e le nngwe ya tshepe kahara setshelo B)ka ho nka ditjhelete tsa tshepe ho fihlela a na le e le nngwe ya mofuta o mong le o mong C)ka ho nka ditjhelete tse leshome tsa tshepe tsa mofuta o mong le o mong ho tswa ka setshelong D)ka ho nka ditjhelete tsa tshepe tse mashome a mararo ho tswa ka setshelong a sa sheba'}]}]
elementary_mathematics	Ke maemong afe moo mohopolo 64+8 o ka sebediswang?	['Ho na le dibese tse 8 ka baithuti ba 64 beseng e nngwe le e nngwe.', 'Mof. Vance o na le dipene tse 8 le dipotloloto tse 64 ka setshelong.', 'Ho na le dibuka tse 64 kahara mokotlana wa dibuka le mekotlana ya dibuka e 8 e tlositsweng.', 'Mong. Juarez o na le dikopi tse 64 mme o beha palo e lekanang ho ditafole tse 8.']	D	[TextBlock(text='D', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Ke maemong afe moo mohopolo 64+8 o ka sebediswang?\n A)Ho na le dibese tse 8 ka baithuti ba 64 beseng e nngwe le e nngwe. B)Mof. Vance o na le dipene tse 8 le dipotloloto tse 64 ka setshelong. C)Ho na le dibuka tse 64 kahara mokotlana wa dibuka le mekotlana ya dibuka e 8 e tlositsweng. D)Mong. Juarez o na le dikopi tse 64 mme o beha palo e lekanang ho ditafole tse 8.'}]}]
elementary_mathematics	Ke mohopolo ofe o lekanang le (5+2) x 8?	['(8x5) + (8x2)', '(5x8) + (5x2)', '8 x (5x2)', '(5x2) x2']	A	[TextBlock(text='A)(8x5) + (8x2)', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Ke mohopolo ofe o lekanang le (5+2) x 8?\n A)(8x5) + (8x2) B)(5x8) + (5x2) C)8 x (5x2) D)(5x2) x2'}]}]
