question	answer	prompt	gpt_4	verbalized
Igishuhe cya Jane gitera amajyi 16 ku munsi,  buri mugitondo aryamo atatu kandi akora  umugati winshutiye akoresheje ane, agurisha asigaye mwisoko ryabahinzi buri munsi kugichiro cya 2 kuri buri jyi. Na ngahe mumadolali yinjiza ku munsi  mwisoko ryabahinzi ?	18	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nIgishuhe cya Jane gitera amajyi 16 ku munsi,  buri mugitondo aryamo atatu kandi akora  umugati winshutiye akoresheje ane, agurisha asigaye mwisoko ryabahinzi buri munsi kugichiro cya 2 kuri buri jyi. Na ngahe mumadolali yinjiza ku munsi  mwisoko ryabahinzi ?\n'}]	18	18
Umureko ufata  imizunguruko ibiri yubururu  nigice  cyumweru bya faiba. Na maburo angahe murirusange ukoresha ? 	3	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUmureko ufata  imizunguruko ibiri yubururu  nigice  cyumweru bya faiba. Na maburo angahe murirusange ukoresha ? \n'}]	4	4
Josh yiyemeje kugundura inzu, yaguze inzu y'amadolari $800,000 nuko ayivugurura na 50,000. Ibi byongereye agaciro k'inzu na 150% . N'inyungu yagahe yabonye ?	70000	"[{'role': 'user', 'content': ""Answer only and the answer should only contains integers. \nJosh yiyemeje kugundura inzu, yaguze inzu y'amadolari $800,000 nuko ayivugurura na 50,000. Ibi byongereye agaciro k'inzu na 150% . N'inyungu yagahe yabonye ?\n""}]"	950000	950000
Yakobo yiyemeje kwiruka  3 mucyumweru, Yiruka 60 ibirometro buri nshuro. Ni metro zingahe yiruka mucyumweru?	540	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nYakobo yiyemeje kwiruka  3 mucyumweru, Yiruka 60 ibirometro buri nshuro. Ni metro zingahe yiruka mucyumweru?\n'}]	180000	180000
Buri munsi Wendi aha inkoko ze ibikombe bitatau byibiryo byinkoko bivanze , harimo imbuto, utunyorogoto ni mbonga kujyirango zijyire ubuzima bwiza.  Aha inkoko ibiryo mubyiciro  bitatu. Mugitondo aha inkoko ze ibikombe 15 byibiryo, nyuma  ya sa sita aziha ibikombe 25. Nibikombe bingahe byibiryo agomba guha inkoko ze kw'inshuro yanyuma yumunsi , mugihe ubwinshi bw'inkoko ze ari 20.	20	"[{'role': 'user', 'content': ""Answer only and the answer should only contains integers. \nBuri munsi Wendi aha inkoko ze ibikombe bitatau byibiryo byinkoko bivanze , harimo imbuto, utunyorogoto ni mbonga kujyirango zijyire ubuzima bwiza.  Aha inkoko ibiryo mubyiciro  bitatu. Mugitondo aha inkoko ze ibikombe 15 byibiryo, nyuma  ya sa sita aziha ibikombe 25. Nibikombe bingahe byibiryo agomba guha inkoko ze kw'inshuro yanyuma yumunsi , mugihe ubwinshi bw'inkoko ze ari 20.\n""}]"	10	10
Kylar yagiye kwiduka kugura ibirahuri bishya  byinzuye. Ikirahuri kimwe kigurishwa $ 5 , ibindi birahuri bikurikira bigurishwa 60% yigiciro. Kylar ashaka kugura ibirahuri 16. Nangahe agomba kwishyura yibirahuri?	64	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nKylar yagiye kwiduka kugura ibirahuri bishya  byinzuye. Ikirahuri kimwe kigurishwa $ 5 , ibindi birahuri bikurikira bigurishwa 60% yigiciro. Kylar ashaka kugura ibirahuri 16. Nangahe agomba kwishyura yibirahuri?\n'}]	110	110
Toulouse afite intama zikubye kabiri iza Charleston. Charleston afite inshuro 4 zikubye  intama za  Seattle.  Ni hene zingahe Toulouse , Charleston na  Seattle bafite zose hamwe niba Seattle  afite intama 20?	260	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nToulouse afite intama zikubye kabiri iza Charleston. Charleston afite inshuro 4 zikubye  intama za  Seattle.  Ni hene zingahe Toulouse , Charleston na  Seattle bafite zose hamwe niba Seattle  afite intama 20?\n'}]	180	180
Carla adawunilodiga GB 200 zidosiye . ubusazwe ashobora kudawunilodinga GB 2 kumunota, ariko iyo 40%  ya  dowunilodi igeze, windo ya komputa iyisunika mugutangira kujyirango yinjyizemo ibikoresho bishya, aribyo bifata iminota 20 kwinjiramo. Ubwo rero Carla agomba gutangira mashini kuva mugutangira, Bifata igihe kingana gite mukudawuniloadinga i dosiye.  	160	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nCarla adawunilodiga GB 200 zidosiye . ubusazwe ashobora kudawunilodinga GB 2 kumunota, ariko iyo 40%  ya  dowunilodi igeze, windo ya komputa iyisunika mugutangira kujyirango yinjyizemo ibikoresho bishya, aribyo bifata iminota 20 kwinjiramo. Ubwo rero Carla agomba gutangira mashini kuva mugutangira, Bifata igihe kingana gite mukudawuniloadinga i dosiye.  \n'}]	160	160
Yohani atwara imodoka amasaha 3 kumuvuduko wa 60mph, yumayaho yaje gusubira murugo kuko yasanze yibagiwe ikintu kingira kamaro murugo. Yagerageje kujyera murugo mumasaha 4 ariko amasaha 2  yayamaze ari muri ambuteyaje.Yakoresheje isaha nigice atwara imodoka kumuvuduko wa 30mph mbere yuko ashobora gutwara kumuvuduko wibirometero 80mph mumasaha 4 yarasigaye. nikure hangana  iki yomurugo nyuma y'amasaha 4?  	45	"[{'role': 'user', 'content': ""Answer only and the answer should only contains integers. \nYohani atwara imodoka amasaha 3 kumuvuduko wa 60mph, yumayaho yaje gusubira murugo kuko yasanze yibagiwe ikintu kingira kamaro murugo. Yagerageje kujyera murugo mumasaha 4 ariko amasaha 2  yayamaze ari muri ambuteyaje.Yakoresheje isaha nigice atwara imodoka kumuvuduko wa 30mph mbere yuko ashobora gutwara kumuvuduko wibirometero 80mph mumasaha 4 yarasigaye. nikure hangana  iki yomurugo nyuma y'amasaha 4?  \n""}]"	480	480
Ubwishyu bwa Eliza k'wisaha kumasaha 40 akora mucyumweru ni $10. Anabona ubundi  bwishyu bwinyongera kumasaha yarengeje mukazi kuri 1.2 yikubye umushaharawe wa buri saha. Niba Eliza akoze amasaha 45 muri ikicyumweru, nangahe izishyurwa muri iki cyumweru? 	460	"[{'role': 'user', 'content': ""Answer only and the answer should only contains integers. \nUbwishyu bwa Eliza k'wisaha kumasaha 40 akora mucyumweru ni $10. Anabona ubundi  bwishyu bwinyongera kumasaha yarengeje mukazi kuri 1.2 yikubye umushaharawe wa buri saha. Niba Eliza akoze amasaha 45 muri ikicyumweru, nangahe izishyurwa muri iki cyumweru? \n""}]"	490	490
