Name,amh.csv,eng.csv,ewe.csv,fra.csv,hau.csv,ibo.csv,kin.csv,lin.csv,lug.csv,orm.csv,sna.csv,sot.csv,swa.csv,twi.csv,wol.csv,xho.csv,yor.csv,zul.csv
opus,38.8,23.2,47.2,33.2,22.0,41.2,36.0,26.4,32.4,36.0,40.8,48.4,19.6,16.8,35.6,36.4,36.4
llama3,31.6,18.0,44.0,27.2,24.0,34.0,27.2,23.2,28.8,26.8,33.6,38.0,19.6,12.8,28.8,29.6,28.8
gemma,8.0,5.2,10.4,7.6,7.2,12.0,8.8,9.2,7.6,10.0,7.6,11.6,4.8,5.2,9.2,8.8,8.4
flant5,2.4,3.6,0.8,2.0,1.6,2.8,4.4,3.2,3.2,2.8,2.0,5.6,0.8,2.4,2.0,2.4,1.2
mt0,2.4,1.6,3.6,1.6,1.6,3.2,2.4,2.8,2.4,2.4,2.4,3.6,1.6,2.8,4.0,2.8,4.0
gemmaUltra,16.0,8.0,14.0,15.2,12.0,16.4,11.6,13.6,15.2,10.8,20.0,16.4,10.4,6.4,17.2,15.2,16.4
gemmaAlpaca,2.0,2.4,2.8,2.0,2.4,4.8,4.4,4.4,3.6,3.2,4.0,5.2,3.2,2.8,2.0,3.2,2.0
llama7b,4.0,5.2,9.6,3.6,7.2,7.2,6.0,6.4,6.0,7.2,6.0,9.2,5.2,3.2,6.8,6.4,5.2
aya,8.0,6.0,8.0,7.6,4.0,7.2,5.2,4.4,5.2,8.4,8.0,10.8,4.4,5.6,6.0,8.4,6.4
llama3n70B,53.6,27.6,69.6,48.4,40.4,54.0,47.6,34.0,47.6,46.8,54.0,69.6,29.2,20.8,50.0,49.2,51.2
bloom7b,2.4,1.2,2.0,0.8,1.6,2.0,2.4,3.2,2.4,2.0,2.0,4.8,0.8,0.8,2.4,2.0,2.0
llama13b,11.6,6.8,15.6,10.0,6.8,13.2,13.2,11.2,13.6,13.2,10.4,15.2,7.6,6.4,12.0,9.2,10.4
gemmaUltraAlpaca,2.8,2.4,2.8,2.4,0.8,1.6,1.6,2.4,2.0,3.2,2.0,2.0,2.8,1.2,2.4,5.2,2.0
gemmaUltra200k,3.6,0.8,3.2,4.4,4.0,4.4,3.2,2.4,3.6,3.6,4.0,5.6,2.8,2.0,4.0,3.2,4.8
gpt3.5,22.4,11.2,28.0,20.8,15.2,24.0,18.8,19.2,20.8,20.0,21.2,30.0,16.0,9.2,20.0,19.2,20.8
gpt4,28.4,17.2,41.6,28.0,22.0,33.2,27.6,19.2,26.8,24.8,28.8,37.2,13.6,11.6,26.4,28.8,28.0
gpt_4o,35.6,22.4,50.0,36.0,27.6,41.2,32.8,28.4,30.8,31.6,41.2,47.2,22.8,16.8,33.6,35.6,34.0
command_R,8.0,2.4,9.6,4.8,4.8,7.6,4.8,5.2,6.8,5.6,8.4,8.8,5.2,2.8,4.0,6.0,7.2
command_R+,7.2,5.6,11.2,9.6,8.8,10.4,10.8,8.0,9.6,7.2,10.4,13.2,7.2,5.6,10.4,10.0,12.4
