question	choices	answer	subject	command_r	prompt
Nakahe gaciro ka p muri 24 = 2p? 	['p = 4', 'p = 8', 'p = 12', 'p = 24']	C	elementary_mathematics	B)p = 8	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Nakahe gaciro ka p muri 24 = 2p? 
 A)p = 4 B)p = 8 C)p = 12 D)p = 24"
Madamu Perez yatwaye ibirometero 40 muminsi 5. Yatwaraga ibirometero bingana buri munsi.Madamu Perez yatwaraga ibirometero bingahe buri munsi ?	['5', '7', '8', '9']	C	elementary_mathematics	C)8	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Madamu Perez yatwaye ibirometero 40 muminsi 5. Yatwaraga ibirometero bingana buri munsi.Madamu Perez yatwaraga ibirometero bingahe buri munsi ?
 A)5 B)7 C)8 D)9"
Shakisha igipimo cya −40 ÷ (−8). 	['1 kuri 5', '-5', '−1 kuri 6', '5']	D	elementary_mathematics	D) 5	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Shakisha igipimo cya −40 ÷ (−8). 
 A)1 kuri 5 B)-5 C)−1 kuri 6 D)5"
Ikipe yumupira wamaguru ifite $90.00 yo kugura imipira yumupira wamaguru. Niba umupira umwe wamaguru ugura $15.60, numubare ungahe wimipira yamaguru ikipe ishobora kugura? 	['4', '5', '6', '7']	B	elementary_mathematics	C) 6	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Ikipe yumupira wamaguru ifite $90.00 yo kugura imipira yumupira wamaguru. Niba umupira umwe wamaguru ugura $15.60, numubare ungahe wimipira yamaguru ikipe ishobora kugura? 
 A)4 B)5 C)6 D)7"
Wowe ninshuti eshatu mugiye mu gitaramo. Igiciro cyose cyamatike ane ni $112. Andika kandi ukemure ikigereranyo kugirango ubone igiciro cyitike imwe t.	['4t = 112; $449', '4t = 112; $29', 't kuri 4 = 112; $448  ', 't kuri 4 = 112; $28']	B	elementary_mathematics	A) 4t = 112; $449	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Wowe ninshuti eshatu mugiye mu gitaramo. Igiciro cyose cyamatike ane ni $112. Andika kandi ukemure ikigereranyo kugirango ubone igiciro cyitike imwe t.
 A)4t = 112; $449 B)4t = 112; $29 C)t kuri 4 = 112; $448   D)t kuri 4 = 112; $28"
Koresha imvugo irihepfo kugirango usubize ikibazo.  3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 Ni akahe gaciro kiyimvugo? 	['9', '11', '26', '32']	C	elementary_mathematics	C) 26	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Koresha imvugo irihepfo kugirango usubize ikibazo.  3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 Ni akahe gaciro kiyimvugo? 
 A)9 B)11 C)26 D)32"
Andika 1 na 1 hejuru ya 11 muri rusange cyangwa umubare uvanze muburyo bworoshye. 	['1.1 kuri 11  ', '11 kuri 11', '12 kuri 11', '11 kuri 12']	C	elementary_mathematics	D)11 kuri 12	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Andika 1 na 1 hejuru ya 11 muri rusange cyangwa umubare uvanze muburyo bworoshye. 
 A)1.1 kuri 11   B)11 kuri 11 C)12 kuri 11 D)11 kuri 12"
Shakisha igipimo cya 2.16 ÷ 0.06. 	['3.6', '36', '0.01272', '12.72']	B	elementary_mathematics	C) 0.01272	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Shakisha igipimo cya 2.16 ÷ 0.06. 
 A)3.6 B)36 C)0.01272 D)12.72"
Shakisha itandukaniro rya 142.76 – 16.5. 	['159.26', '2.224', '14,111', '126.26']	D	elementary_mathematics	B) 2.224	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Shakisha itandukaniro rya 142.76 – 16.5. 
 A)159.26 B)2.224 C)14 D)111"
Shakisha igipimo cya 5.04/0.7	['0.72', '0.702', '10.0571', '7.2']	D	elementary_mathematics	The correct answer is: B)0.702	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Shakisha igipimo cya 5.04/0.7
 A)0.72 B)0.702 C)10.0571 D)7.2"
Jimmy na Kima bagiye murugendo. Bazatwara iminsi itatu. Umunsi wambere bazagenda ibirometero 182. Umunsi wa kabiri bazagenda ibirometero 439. Umunsi wa gatatu bazagenda ibirometero 217. Niyihe mvugo igereranya neza yibirometero Jimmy na Kima bazagenda murugendo rwabo?	['150 + 400 + 200', '200 + 400 + 200', '200 + 450 + 200', '200 + 500 + 200']	C	elementary_mathematics	C)200 + 450 + 200	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Jimmy na Kima bagiye murugendo. Bazatwara iminsi itatu. Umunsi wambere bazagenda ibirometero 182. Umunsi wa kabiri bazagenda ibirometero 439. Umunsi wa gatatu bazagenda ibirometero 217. Niyihe mvugo igereranya neza yibirometero Jimmy na Kima bazagenda murugendo rwabo?
 A)150 + 400 + 200 B)200 + 400 + 200 C)200 + 450 + 200 D)200 + 500 + 200"
Niki gisigara iyo 21 igabanyijwe na 7? 	['21', '7', '1', 'Nta na kimwe muri ibyo  ']	D	elementary_mathematics	C)1	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Niki gisigara iyo 21 igabanyijwe na 7? 
 A)21 B)7 C)1 D)Nta na kimwe muri ibyo  "
Maddie azatwara igare rye ibirometero 56 byose muminsi 7. Azagenda ibirometero bingana buri munsi. Nikirometero zingahe Maddie azagenda buri munsi?	['8', '9', '49', '63']	A	elementary_mathematics	C) 49	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Maddie azatwara igare rye ibirometero 56 byose muminsi 7. Azagenda ibirometero bingana buri munsi. Nikirometero zingahe Maddie azagenda buri munsi?
 A)8 B)9 C)49 D)63"
Shakisha umubare utanga ibisobanuro 48 hejuru ya 88 = ? kurenga 11 nukuri.	['6', '11', '8', '5']	A	elementary_mathematics	B)11	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Shakisha umubare utanga ibisobanuro 48 hejuru ya 88 = ? kurenga 11 nukuri.
 A)6 B)11 C)8 D)5"
Ni ubuhe buryo bwiza bwo kugura?	['ibice 10 byisabune ku madolari 23.20  ', 'Amasabune 16 ku madolari 36.48  ', 'Amasabune 13 ku madolari 29.51 ', 'Amasabune 12 ku madolari 27.60  ']	C	elementary_mathematics	C) Amasabune 13 ku madolari 29.51	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Ni ubuhe buryo bwiza bwo kugura?
 A)ibice 10 byisabune ku madolari 23.20   B)Amasabune 16 ku madolari 36.48   C)Amasabune 13 ku madolari 29.51  D)Amasabune 12 ku madolari 27.60  "
Trish’s iruhuka ryumutima ni gukubita 50 kumunota. Kuri buri munota akora imyitozo, umuvuduko wumutima we wongera gukubita 5 kumunota. Bizamutwara igihe kingana iki kugirango agere aho umutima ukubita 120 ku munota?	['Iminota 5  ', 'Iminota 14', 'Iminota 34', 'Iminota 70']	B	elementary_mathematics	C) Iminota 34	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Trish’s iruhuka ryumutima ni gukubita 50 kumunota. Kuri buri munota akora imyitozo, umuvuduko wumutima we wongera gukubita 5 kumunota. Bizamutwara igihe kingana iki kugirango agere aho umutima ukubita 120 ku munota?
 A)Iminota 5   B)Iminota 14 C)Iminota 34 D)Iminota 70"
Shaka umubare wibice bwo hagati mu bipimo 23, 13, 18, 29, 32, 25.	['18', '24', '25', '29']	B	elementary_mathematics	C) 25	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Shaka umubare wibice bwo hagati mu bipimo 23, 13, 18, 29, 32, 25.
 A)18 B)24 C)25 D)29"
Jack yatoye pome 60 mu giti cya pome. Yakoresheje 12 murizo gukora umutobe wa pome. Ashyira pome zisigaye bingana mubiseke 6 byimpano. Ni ubuhe buringanire bushobora gukoreshwa kugirango umenye umubare wa pome, a, Jack ashyira muri buri gitebo cyimpano?	['(60/6)—12=a', '(60—12)/6=a', '(60-6)-12=a', '(60+12)/6=a']	B	elementary_mathematics	C is the correct answer. (60-6)-12=a	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Jack yatoye pome 60 mu giti cya pome. Yakoresheje 12 murizo gukora umutobe wa pome. Ashyira pome zisigaye bingana mubiseke 6 byimpano. Ni ubuhe buringanire bushobora gukoreshwa kugirango umenye umubare wa pome, a, Jack ashyira muri buri gitebo cyimpano?
 A)(60/6)—12=a B)(60—12)/6=a C)(60-6)-12=a D)(60+12)/6=a"
Ikarita runaka ikoresha igipimo cya santimetero 1 ingana na kilometero 25. Nibirometero bingahe bigereranywa na santimetero 5 kuri iyi karita?	['5', '25', '50', '125']	D	elementary_mathematics	C) 50	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Ikarita runaka ikoresha igipimo cya santimetero 1 ingana na kilometero 25. Nibirometero bingahe bigereranywa na santimetero 5 kuri iyi karita?
 A)5 B)25 C)50 D)125"
Sigura (2 + 5)^2 − 42. 	['7', '16', '50', '33']	A	elementary_mathematics	The correct answer is D) 33.	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Sigura (2 + 5)^2 − 42. 
 A)7 B)16 C)50 D)33"
Shakisha agaciro ka 4 ÷ 2 • 2 + 8 − 4. 	['-12', '12', '8', '16']	C	elementary_mathematics	B) 12	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Shakisha agaciro ka 4 ÷ 2 • 2 + 8 − 4. 
 A)-12 B)12 C)8 D)16"
Umutoza yakubiye umubare wabasiganwa ku murongo uhura na hafi 10 . Umubare wuzuye wabiruka ni 400. Niwuhe mubare ushobora kuba umubare nyawo wabiruka kumurongo ?	['382', '397', '406', '447']	B	elementary_mathematics	C)406	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Umutoza yakubiye umubare wabasiganwa ku murongo uhura na hafi 10 . Umubare wuzuye wabiruka ni 400. Niwuhe mubare ushobora kuba umubare nyawo wabiruka kumurongo ?
 A)382 B)397 C)406 D)447"
−4 +  ( −3 )=	['-7', '-1', '1', '7']	A	elementary_mathematics	The correct answer is: B)-1	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: −4 +  ( −3 )=
 A)-7 B)-1 C)1 D)7"
