question	choices	answer	subject	command_r	prompt	verbalized
Home kae le P si le akɔŋta sia me: 24 = 2 P ?	['p = 4', 'p = 8', 'p = 12', 'p = 24']	C	elementary_mathematics	B)p = 8	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Home kae le P si le akɔŋta sia me: 24 = 2 P ?
 A)p = 4 B)p = 8 C)p = 12 D)p = 24"	B
Aƒenɔ Perez zɔ azɔli km 40 le ŋkeke 5 me. Azɔli didime ɖeka tɔgbi wòzɔ gbe sia gbe. Ke didime kae le gbe sia gbe azɔlia si mahã ?	['5', '7', '8', '9']	C	elementary_mathematics	C) 8	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Aƒenɔ Perez zɔ azɔli km 40 le ŋkeke 5 me. Azɔli didime ɖeka tɔgbi wòzɔ gbe sia gbe. Ke didime kae le gbe sia gbe azɔlia si mahã ?
 A)5 B)7 C)8 D)9"	C
Bu numama sia: --40 ÷ (−8).	['1 le 5 dzi', '-5', '(-1 le 5 dzi)', '5']	D	elementary_mathematics	C) (-1 le 5 dzi)	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Bu numama sia: --40 ÷ (−8).
 A)1 le 5 dzi B)-5 C)(-1 le 5 dzi) D)5"	C
Ga kaɖi $ 90,00 le afɔbɔlha aɖe si hena bɔluwo ƒeƒle. Nenye be bɔlu ɖeka ƒe home nye $ 15,60 ɖe bulu neni woate ŋu aƒle mahã ?	['4', '5', '6', '7']	B	elementary_mathematics	C	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Ga kaɖi $ 90,00 le afɔbɔlha aɖe si hena bɔluwo ƒeƒle. Nenye be bɔlu ɖeka ƒe home nye $ 15,60 ɖe bulu neni woate ŋu aƒle mahã ?
 A)4 B)5 C)6 D)7"	C
"Wo kple xɔ̃wo etɔ̃ mieyi nukpɔƒe aɖe. Mì ame eneawo ƒe kpɔmeɖoga nye $ 112. Ŋlɔ kadedemekɔŋta eye nàbu ame ɖeka ƒe kpɔmeɖoga nenye be ga sia nye ""b""."	['4b = 112; 448 $', '4b= 112; 28 $', 'b sur 4 = 112; 448 $', 'b sur 4 = 112; 28 $']	B	elementary_mathematics	D)b sur 4 = 112; 28 $	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Wo kple xɔ̃wo etɔ̃ mieyi nukpɔƒe aɖe. Mì ame eneawo ƒe kpɔmeɖoga nye $ 112. Ŋlɔ kadedemekɔŋta eye nàbu ame ɖeka ƒe kpɔmeɖoga nenye be ga sia nye ""b"".
 A)4b = 112; 448 $ B)4b= 112; 28 $ C)b sur 4 = 112; 448 $ D)b sur 4 = 112; 28 $"	D
Wɔ akɔŋta 3 × [(2 × 6 - 5) + (8 ÷ 4)] - 1 ŋu dɔ ahaɖo biabia sia ŋu: akɔŋtaa ƒe ŋuɖoɖo ɖe ?	['9', '11', '26', '32']	C	elementary_mathematics	C) 26	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Wɔ akɔŋta 3 × [(2 × 6 - 5) + (8 ÷ 4)] - 1 ŋu dɔ ahaɖo biabia sia ŋu: akɔŋtaa ƒe ŋuɖoɖo ɖe ?
 A)9 B)11 C)26 D)32"	C
Ŋlɔ 1 kple 1 ɖe 11 dzi le nɔnɔme bɔbɔetɔ si ɖe xexlẽmedzesi kotso fia la nu.	['1,1 ɖe 11 dzi', '11 ɖe 11 dzi', '12 ɖe 11 dzi', '11 ɖe 12 dzi']	C	elementary_mathematics	C)11 ɖe 11 dzi	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Ŋlɔ 1 kple 1 ɖe 11 dzi le nɔnɔme bɔbɔetɔ si ɖe xexlẽmedzesi kotso fia la nu.
 A)1 B)1 ɖe 11 dzi C)11 ɖe 11 dzi D)12 ɖe 11 dzi"	C
Dzi numamaxɔxɔ sia: 2,16 ÷ 0,06	['3,6', '36', '0', '12,72']	B	elementary_mathematics	C)36	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Dzi numamaxɔxɔ sia: 2,16 ÷ 0,06
 A)3 B)6 C)36 D)0"	C
Na ŋuɖoɖo na 16,5 ɖeɖe to le 142,76 me.	['159,26', '2 224', '14 111', '126,26']	D	elementary_mathematics	C) 2 224	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Na ŋuɖoɖo na 16,5 ɖeɖe to le 142,76 me.
 A)159 B)26 C)2 224 D)14 111"	C
Dzi numamaxɔxɔ na 5,04/0,7	['0,72', '702', '10, 0571', '7,2']	D	elementary_mathematics	C)702	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Dzi numamaxɔxɔ na 5,04/0,7
 A)0 B)72 C)702 D)10"	C
Jimmy kple Kina zɔ̃ mɔ. Wozɔ̃ ŋkeke etɔ sɔŋu. Ŋkeke gbãtɔ wozɔ̃ Km 182; ŋkeke evelia Km 439 eye ŋkeke etɔ̃lia Km 217. Akɔŋta bɔbɔe ka woawɔ ahatsɔ ŋku tso woƒe mɔzɔzɔa ƒe dzidzime mahã ?	['150 + 400 + 200', '200 + 400 + 200', '200 + 450 + 200', '200 + 500 + 200']	C	elementary_mathematics	C) 200 + 450 + 200	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Jimmy kple Kina zɔ̃ mɔ. Wozɔ̃ ŋkeke etɔ sɔŋu. Ŋkeke gbãtɔ wozɔ̃ Km 182; ŋkeke evelia Km 439 eye ŋkeke etɔ̃lia Km 217. Akɔŋta bɔbɔe ka woawɔ ahatsɔ ŋku tso woƒe mɔzɔzɔa ƒe dzidzime mahã ?
 A)150 + 400 + 200 B)200 + 400 + 200 C)200 + 450 + 200 D)200 + 500 + 200"	C
Nenie susɔ nenye be woma 21 na 7 hã ?	['21', '7', '1', 'naneke o']	D	elementary_mathematics	C. 1	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Nenie susɔ nenye be woma 21 na 7 hã ?
 A)21 B)7 C)1 D)naneke o"	unknown
Maddie ku keke ŋkeke 7 hezɔ̃ 56 Km . Ezɔ̃ mɔ didime ɖekaƒomevi ŋkeke sia ŋkeke. Km neni wòzɔna gbe sia gbe mahã?	['8', '9', '49', '63']	A	elementary_mathematics	D)63	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Maddie ku keke ŋkeke 7 hezɔ̃ 56 Km . Ezɔ̃ mɔ didime ɖekaƒomevi ŋkeke sia ŋkeke. Km neni wòzɔna gbe sia gbe mahã?
 A)8 B)9 C)49 D)63"	D
Dzi xexlẽmedzesi ana be nya sia nade blibo: 48 ɖe 88 = ...ɖe 11 dzi	['6', '11', '8', '5']	A	elementary_mathematics	C)8	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Dzi xexlẽmedzesi ana be nya sia nade blibo: 48 ɖe 88 = ...ɖe 11 dzi
 A)6 B)11 C)8 D)5"	C
Nuƒeƒle kae nyo wu le esiawo katã domee ?	['Adzalẽ 10 $ 23,20', 'Adzalẽ 16 $ 36,48', 'Adzalẽ 13 $ 29,51', 'Adzalẽ 12 $ 27,60']	C	elementary_mathematics	C) Adzalẽ 16 $ 36	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Nuƒeƒle kae nyo wu le esiawo katã domee ?
 A)Adzalẽ 10 $ 23 B)20 C)Adzalẽ 16 $ 36 D)48"	C
