subject,question,choices,answer,output
elementary_mathematics,Thamana ya p ni nini katika 24 = 2p?,"['p = 4', 'p = 8', 'p = 12', 'p = 24']",C,"Ili kupata thamani ya \( p \) katika equation \( 24 = 2p \), tunaweza kugawanya pande zote za equation kwa 2.

\[
\frac{24}{2} = \frac{2p}{2}
\]

Hii inatupa:

\[
12 = p
\]

Hivyo, thamani ya \( p \) ni 12.

Jibu ni: C) p = 12."
elementary_mathematics,Bi Perez aliendesha gari jumla ya maili 40 kwa siku 5. Aliendesha idadi sawa ya maili kila siku. Bi Perez aliendesha gari kwa maili ngapi kila siku?,"[5, 7, 8, 9]",C,"Ili kupata idadi ya maili ambazo Bi Perez aliendesha kila siku, tunagawanya jumla ya maili alizoendesha kwa idadi ya siku alizoendesha.

Jumla ya maili = 40
Idadi ya siku = 5

Maili kwa siku = \( \frac{40 \text{ maili}}{5 \text{ siku}} = 8 \text{ maili kwa siku} \)

Hivyo, Bi Perez aliendesha gari kwa maili 8 kila siku.

Jibu ni: C) 8"
elementary_mathematics,Tatua uwiano wa −40 ÷ (−8).,"['1 juu ya 5', -5, '−1 juu ya 5', 5]",D,"Ili kupata uwiano wa −40 ÷ (−8), tunagawanya −40 kwa −8. Kumbuka kwamba ishara mbili za minus zinapogawanyika, zinatoa jibu lenye ishara ya plus.

Hivyo, −40 ÷ (−8) = 40 ÷ 8 = 5.

Jibu ni D) 5."
elementary_mathematics,"Timu ya soka ina $90.00 za kununua mipira ya soka. Ikiwa mpira mmoja wa soka utagharimu $15.60, ni idadi gani kubwa zaidi ya mipira ya soka ambayo timu inaweza kununua?","[4, 5, 6, 7]",B,"Ili kupata idadi kubwa zaidi ya mipira ya soka ambayo timu inaweza kununua, tunagawanya kiasi cha pesa walizonazo kwa gharama ya mpira mmoja.

Gharama ya mpira mmoja ni $15.60 na kiasi cha pesa walizonazo ni $90.00.

Tunagawanya $90.00 kwa $15.60:

\[ \frac{90.00}{15.60} \approx 5.769 \]

Kwa kuwa huwezi kununua sehemu ya mpira, tunachukua sehemu nzima ya jibu, ambayo ni 5.

Hivyo, idadi kubwa zaidi ya mipira ya soka ambayo timu inaweza kununua ni 5.

Jibu ni: B) 5."
elementary_mathematics,Wewe pamoja na rafiki zako watatu mnaenda kwenye tamasha. Gharama ya jumla ya tiketi nne ni $112. Andika na utatue mlinganyo ili kupata gharama ya tikiti moja t.,"['4t = 112; $448', '4t = 112; $28', 't over 4 = 112; $448', 't over 4 = 112; $28']",B,"Ili kupata gharama ya tikiti moja, tunahitaji kugawanya gharama ya jumla ya tiketi nne kwa idadi ya tiketi. Kwa kuwa gharama ya jumla ni $112 na kuna tiketi nne, mlinganyo unapaswa kuwa:

4t = 112

Ambapo t ni gharama ya tikiti moja. Sasa tunatatua mlinganyo huu kwa kugawanya pande zote za mlinganyo kwa 4:

t = 112 / 4
t = 28

Hivyo, gharama ya tikiti moja ni $28. Jibu sahihi ni:

B) 4t = 112; $28"
elementary_mathematics,Tumia usemi ulio hapa chini kujibu swali. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 Thamana ya usemi ni nini?,"[9, 11, 26, 32]",C,"Tufuate sheria za operesheni za hisabati (PEMDAS/BODMAS) kwa kufanya operesheni za ndani kwanza:

1. Kwanza, fanya operesheni zilizo ndani ya mabano:
   - 2 × 6 = 12
   - 8 ÷ 4 = 2

   Hivyo, usemi unakuwa:
   3 × [(12 - 5) + 2] - 1

2. Endelea na operesheni zilizo ndani ya mabano:
   - 12 - 5 = 7
   - 7 + 2 = 9

   Hivyo, usemi unakuwa:
   3 × 9 - 1

3. Fanya operesheni zilizobaki:
   - 3 × 9 = 27
   - 27 - 1 = 26

Jibu ni C) 26."
elementary_mathematics,Andika 1 na 1 juu ya 11 kama nambari kamili au nambari mchanganyo kwa njia rahisi zaidi.,"['1.1 juu ya 11', '11 juu ya 11', '12 juu ya 11', '11 juu ya 12']",C,"Kwa kila swali, tutabadilisha kila sehemu ya juu ya sehemu ya chini (numerator over denominator) kuwa nambari kamili au nambari mchanganyiko kwa njia rahisi zaidi.

A) 1.1 juu ya 11:
Kwanza, badilisha 1.1 kuwa sehemu ya kawaida. 1.1 ni sawa na 11/10. Kwa hivyo, tunayo 11/10 juu ya 11, ambayo ni sawa na:
(11/10) / 11 = 11/10 * 1/11 = 11/(10*11) = 11/110
Hii haiwezi kurahisishwa zaidi, kwa hivyo jibu ni 11/110.

B) 11 juu ya 11:
Hii ni rahisi, kwa sababu 11 juu ya 11 ni sawa na:
11/11 = 1
Jibu ni 1.

C) 12 juu ya 11:
Hii ni sehemu ambayo haiwezi kurahisishwa zaidi, lakini tunaweza kuibadilisha kuwa nambari mchanganyiko:
12/11 = 1 1/11
Jibu ni 1 1/11.

D) 11 juu ya 12:
Hii ni sehemu ambayo haiwezi kurahisishwa zaidi na inabaki kuwa:
11/12
Jibu ni 11/12.

Kwa hivyo, majibu ya maswali yako ni:
A) 11/110
B) 1
C) 1 1/11
D) 11/12"
elementary_mathematics,Tatua uwiano wa 2.16 ÷ 0.06.,"[3.6, 36, 0.01272, 12.72]",B,"Ili kutatua uwiano wa 2.16 ÷ 0.06, tunaweza kufuata hatua zifuatazo:

1. Gawa 2.16 kwa 0.06:
   \( \frac{2.16}{0.06} \)

2. Tunaweza kufanya hesabu hii kuwa rahisi kwa kuzidisha kila namba kwa 100 ili kuondoa desimali:
   \( \frac{2.16 \times 100}{0.06 \times 100} = \frac{216}{6} \)

3. Gawa 216 kwa 6:
   \( \frac{216}{6} = 36 \)

Hivyo, jibu ni 36.

Chaguo sahihi ni:
B) 36"
elementary_mathematics,Tatua utofauti wa 142.76 – 16.5.,"[159.26, 2.224, 14111, 126.26]",D,"Ili kupata utofauti kati ya 142.76 na 16.5, tunapaswa kutoa 16.5 kutoka 142.76.

142.76 - 16.5 = 126.26

Hivyo, jibu ni D) 126.26."
elementary_mathematics,Tatua uwiano wa 5.04/0.7,"[0.72, 0.702, 10.0571, 7.2]",D,"Ili kupata uwiano wa 5.04 kwa 0.7, tunagawanya 5.04 kwa 0.7:

5.04 ÷ 0.7 = 7.2

Hivyo, jibu ni D) 7.2."
