question	choices	answer	subject	command_r+	prompt
valeur ya p eza Nini na 24=2p ?	['p = 4', 'p = 8', 'p = 12', 'p = 24']	C	elementary_mathematics	A) p = 4	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: valeur ya p eza Nini na 24=2p ?
 A)p = 4 B)p = 8 C)p = 12 D)p = 24"
Mama Perez atamboli na nyoso kilometele 40 na mikolo 5. Mikolo nyoso, asalaka ntaka ya ndenge moko na kilometele. Motuya boni na kilometele mama Perez atamboli na mikolo nyoso ?	['5', '7', '8', '9']	C	elementary_mathematics	C)8	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Mama Perez atamboli na nyoso kilometele 40 na mikolo 5. Mikolo nyoso, asalaka ntaka ya ndenge moko na kilometele. Motuya boni na kilometele mama Perez atamboli na mikolo nyoso ?
 A)5 B)7 C)8 D)9"
Sala calcule ya quotien ya -40 ÷(-8).	['1 likolo ya 5', '-5', '-1 likolo ya 5', '5']	D	elementary_mathematics	A)1 likolo ya 5	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Sala calcule ya quotien ya -40 ÷(-8).
 A)1 likolo ya 5 B)-5 C)-1 likolo ya 5 D)5"
Ekipi ya football ezali na mosolo ya 90.00 $ mpo na kozwa motope ya football. Soki motope moko ya football ezali na ntalo ya 15,60 $, motango boni ya nsuka ya mitope oyo ekipi akoki komipesa ?	['4', '5', '6', '7']	B	elementary_mathematics	C)6	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Ekipi ya football ezali na mosolo ya 90.00 $ mpo na kozwa motope ya football. Soki motope moko ya football ezali na ntalo ya 15,60 $, motango boni ya nsuka ya mitope oyo ekipi akoki komipesa ?
 A)4 B)5 C)6 D)7"
Na baninga misato, bokoti concert .ko yabe ete Talo nionso ya ba billet 4 ezali 112$. koma PE bongisa ekwation PONA ko yeba Talo ya billet b	['4b = 112; 448 $', '4b= 112; 28 $', 'b sur 4 = 112; 448 $', 'b sur 4 = 112; 28 $']	B	elementary_mathematics	D)b sur 4 = 112; 28	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Na baninga misato, bokoti concert .ko yabe ete Talo nionso ya ba billet 4 ezali 112$. koma PE bongisa ekwation PONA ko yeba Talo ya billet b
 A)4b = 112; 448 $ B)4b= 112; 28 $ C)b sur 4 = 112; 448 $ D)b sur 4 = 112; 28 $"
Sala calcul oyo elandi : 3 × [(2 × 6 - 5) + (8 ÷ 4)] - 1, mpo na koyanola na motuna elandi : motuya nini ya operation ?	['9', '11', '26', '32']	C	elementary_mathematics	B)11	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Sala calcul oyo elandi : 3 × [(2 × 6 - 5) + (8 ÷ 4)] - 1, mpo na koyanola na motuna elandi : motuya nini ya operation ?
 A)9 B)11 C)26 D)32"
Koma 1 na 1 likolo 11 na lolenge ya motango mobimba to mixte na ndenge ya moke makasi.	['1,1 likolo 11', '11 likolo 11', '12 likolo 11', '11 likolo 12']	C	elementary_mathematics	D)12 likolo 11	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Koma 1 na 1 likolo 11 na lolenge ya motango mobimba to mixte na ndenge ya moke makasi.
 A)1 B)1 likolo 11 C)11 likolo 11 D)12 likolo 11"
bimisa eyano ya bokaboli ya 2,16 ÷0.06	['3,6', '36', '0, 01272', '12,72']	B	elementary_mathematics	C)36	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: bimisa eyano ya bokaboli ya 2,16 ÷0.06
 A)3 B)6 C)36 D)0"
pesa ba keseni kati ya 142,76 PE 16,5	['159,26', '2,224', '14,111', '126,26']	D	elementary_mathematics	A)159	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: pesa ba keseni kati ya 142,76 PE 16,5
 A)159 B)26 C)2 D)224"
bimisa eyano ya bokaboli ya 5,04/0,7	['0,72', '702', '10, 0571', '7,2']	D	elementary_mathematics	C)702	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: bimisa eyano ya bokaboli ya 5,04/0,7
 A)0 B)72 C)702 D)10"
