question	choices	answer	subject	command_r+	prompt
P kyerɛpɛn a ɛwɔ 24 = 2p no yɛ den?	['p = 4', 'p = 8', 'p = 12', 'p = 24']	C	elementary_mathematics	p = 4	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: P kyerɛpɛn a ɛwɔ 24 = 2p no yɛ den?
 A)p = 4 B)p = 8 C)p = 12 D)p = 24"
Ms. Perez twii ne hyɛn kwansini 40 nna num mu. ɔtwii saa kwansini yi da biara. Kwansini sɛn na Ms. Perez twiiɛ da biara?	['5', '7', '8', '9']	C	elementary_mathematics	C)8	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Ms. Perez twii ne hyɛn kwansini 40 nna num mu. ɔtwii saa kwansini yi da biara. Kwansini sɛn na Ms. Perez twiiɛ da biara?
 A)5 B)7 C)8 D)9"
Pɛ nkyɛmade a ɛwɔ saa nkasaeɛ yi mu: −40 ÷ (−8).	['1 wɔ 5 so', '-5', '−1 wɔ 5 so', '5']	D	elementary_mathematics	D)5	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Pɛ nkyɛmade a ɛwɔ saa nkasaeɛ yi mu: −40 ÷ (−8).
 A)1 wɔ 5 so B)-5 C)−1 wɔ 5 so D)5"
Bɔɔlobɔ kuo bi wɔ $90.00 a ɔde tɔ bɔɔlo. Sɛ bɔɔlo baako boɔ yɛ $15.60, bɔɔlo bebree sɛn na bɔɔlobɔkuo no bɛtumi atɔ?	['4', '5', '6', '7']	B	elementary_mathematics	C)6	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Bɔɔlobɔ kuo bi wɔ $90.00 a ɔde tɔ bɔɔlo. Sɛ bɔɔlo baako boɔ yɛ $15.60, bɔɔlo bebree sɛn na bɔɔlobɔkuo no bɛtumi atɔ?
 A)4 B)5 C)6 D)7"
Wo ne wo nnanfo mmiɛnsa kɔɔ agodibea bi ase. Tekiti nnan boɔ yɛ $112. Twerɛ na pɛ tipɛn nkasaeɛ a wɔde benya tekiti baako a ɛyɛ t boɔ.	['4t = 112; $448', '4t = 112; $28', 't wɔ 4 so = 112; $448', 't wɔ 4 so = 112; $28']	B	elementary_mathematics	C)t wɔ 4 so = 112; $448	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Wo ne wo nnanfo mmiɛnsa kɔɔ agodibea bi ase. Tekiti nnan boɔ yɛ $112. Twerɛ na pɛ tipɛn nkasaeɛ a wɔde benya tekiti baako a ɛyɛ t boɔ.
 A)4t = 112; $448 B)4t = 112; $28 C)t wɔ 4 so = 112; $448 D)t wɔ 4 so = 112; $28"
Fa saa nkasaeɛ a ɛwɔ aseɛ ha yi asɛmbisa yi ano: 3 x [(2 x 6– 5) + (8 ÷ 4)] – 1. Kyerɛpɛn a ɛwɔ nkasaeɛ no ho yɛ dɛn?	['9', '11', '26', '32']	C	elementary_mathematics	C)26	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Fa saa nkasaeɛ a ɛwɔ aseɛ ha yi asɛmbisa yi ano: 3 x [(2 x 6– 5) + (8 ÷ 4)] – 1. Kyerɛpɛn a ɛwɔ nkasaeɛ no ho yɛ dɛn?
 A)9 B)11 C)26 D)32"
Twerɛ 1 ne 11 sɛ akontabudeɛ a ɛyɛ mua anaa deɛ adi afra wɔ ne kwan tiawa so.	['1.1 wɔ 11 so', '11 wɔ 11 so', '12 wɔ 11 so', '11 wɔ 12 so']	C	elementary_mathematics	C)12 wɔ 11 so	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Twerɛ 1 ne 11 sɛ akontabudeɛ a ɛyɛ mua anaa deɛ adi afra wɔ ne kwan tiawa so.
 A)1.1 wɔ 11 so B)11 wɔ 11 so C)12 wɔ 11 so D)11 wɔ 12 so"
Hwehwɛ nkyɛmade a ɛwɔ 2.16 ÷ 0.06 mu	['3.6', '36', '0.01272', '12.72']	B	elementary_mathematics	D)12.72	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Hwehwɛ nkyɛmade a ɛwɔ 2.16 ÷ 0.06 mu
 A)3.6 B)36 C)0.01272 D)12.72"
Hwehwɛ ntemu a ɛwɔ 142.76 – 16.5 mu	['159.26', '2.224', '14,111', '126.26']	D	elementary_mathematics	A)159.26	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Hwehwɛ ntemu a ɛwɔ 142.76 – 16.5 mu
 A)159.26 B)2.224 C)14 D)111"
Hwehwɛ nkyɛmade a ɛwɔ 5.04/0.7 mu	['0.72', '0.702', '10.0571', '7.2']	D	elementary_mathematics	7.2	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Hwehwɛ nkyɛmade a ɛwɔ 5.04/0.7 mu
 A)0.72 B)0.702 C)10.0571 D)7.2"
