subject	question	choices	answer	opus	prompt	verbalized
elementary_mathematics	Colton na nna ya zụtara otu galọn agba nke ọnụ ahịa ya bụ $13. Ha zụtakwara brọshị abụọ nke ọnụ ahịa ya bụ $9 nke ọ bụla. Gịnị bụ ngụkọta ọnụ ahịa, na-agụnyeghị ụtụ isi, nke brọshị na agba ha zụtara?	['$22', '$24', '$31', '$35']	C	[TextBlock(text='A)$22', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Colton na nna ya zụtara otu galọn agba nke ọnụ ahịa ya bụ $13. Ha zụtakwara brọshị abụọ nke ọnụ ahịa ya bụ $9 nke ọ bụla. Gịnị bụ ngụkọta ọnụ ahịa, na-agụnyeghị ụtụ isi, nke brọshị na agba ha zụtara?\n A)$22 B)$24 C)$31 D)$35'}]}]	A
elementary_mathematics	Rụọ maka y.  y – 2 + 3y = 10	['2', '3', '4', '5']	B	[TextBlock(text='A)2', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Rụọ maka y.  y – 2 + 3y = 10\n A)2 B)3 C)4 D)5'}]}]	A
elementary_mathematics	Rụọ 2 n'elu 2 * w = 66	['33', '44', '88', '99']	B	[TextBlock(text='A)33', type='text')]	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Rụọ 2 n'elu 2 * w = 66\n A)33 B)44 C)88 D)99""}]}]"	A
elementary_mathematics	Wendy na-achọ ime nyocha ịji chọpụta ndị ihe ekpomekpo aiz krimu kacha ewu ewu n'ụlọ akwụkwọ ya.  Kedu ụzọ kacha mma ọ ga-esi họrọ ụmụ akwụkwọ nọ n'ụlọ akwụkwọ ya?	['ịhọrọ ụmụakwụkwọ iri site ụlọ ebe otunaotu', 'ịhọrọ ndị ụmụ nwaanyị otu softball. ', 'Ịhọrọ ndị otu bọọlụ nkata ụmụ nwoke ', 'ihọrọ ụmụakwụkwọ ndị ihe ekpomekpo aiz krimu ya na-amasị']	A	[TextBlock(text='A)ịhọrọ ụmụakwụkwọ iri site ụlọ ebe otunaotu', type='text')]	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Wendy na-achọ ime nyocha ịji chọpụta ndị ihe ekpomekpo aiz krimu kacha ewu ewu n'ụlọ akwụkwọ ya.  Kedu ụzọ kacha mma ọ ga-esi họrọ ụmụ akwụkwọ nọ n'ụlọ akwụkwọ ya?\n A)ịhọrọ ụmụakwụkwọ iri site ụlọ ebe otunaotu B)ịhọrọ ndị ụmụ nwaanyị otu softball.  C)Ịhọrọ ndị otu bọọlụ nkata ụmụ nwoke  D)ihọrọ ụmụakwụkwọ ndị ihe ekpomekpo aiz krimu ya na-amasị""}]}]"	A
elementary_mathematics	Dee 5.875 dika ngwakọrita ọnụọgụgụ maọbụ n'udi frakshọn kachasi mfe	"[""5 na 8 n'elu 9"", ""5 na 7 n'elu 8"", ""7 n'elu 8"", ""5 na 87 n'elu 105""]"	B	"[TextBlock(text=""A)5 na 8 n'elu 9"", type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Dee 5.875 dika ngwakọrita ọnụọgụgụ maọbụ n'udi frakshọn kachasi mfe\n A)5 na 8 n'elu 9 B)5 na 7 n'elu 8 C)7 n'elu 8 D)5 na 87 n'elu 105""}]}]"	A
elementary_mathematics	Dozie nha nhata 124 = m + 34.	['158', '90', '88', '4216']	B	[TextBlock(text='B)90', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Dozie nha nhata 124 = m + 34.\n A)158 B)90 C)88 D)4216'}]}]	B
elementary_mathematics	Zelma na-azụta p pound banana maka centị 40 kwa pound. Ọ na-akwụ onye odeakwụkwọ ahụ ụgwọ dollar iri abụọ. Onye ode akwụkwọ na-ewepụ ngụkọta ọnụ ahịa nke unere na ụgwọ dollar iri abụọ iji chọpụta ego ole fọrọ inye Zelma. Kedụ ngosipụta na-anọchite ego ole fọrọ Zelma kwesịrị ịnata?	['p - 20', '20 - 40p', '20 - 0.40p', '0.40p - 20']	C	[TextBlock(text='C)20 - 0.40p', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Zelma na-azụta p pound banana maka centị 40 kwa pound. Ọ na-akwụ onye odeakwụkwọ ahụ ụgwọ dollar iri abụọ. Onye ode akwụkwọ na-ewepụ ngụkọta ọnụ ahịa nke unere na ụgwọ dollar iri abụọ iji chọpụta ego ole fọrọ inye Zelma. Kedụ ngosipụta na-anọchite ego ole fọrọ Zelma kwesịrị ịnata?\n A)p - 20 B)20 - 40p C)20 - 0.40p D)0.40p - 20'}]}]	C
elementary_mathematics	Celia nwere nnukwu komkom ebe a na-agwakọta ụdị mkpụrụ ego ayọrọ anọ dị iche iche.  Ọ chọrọ iwere ihe atụ nke mkpụrụ ego ayọrọ ya iji mata ụdị mkpụrụ ego ayọrọ ọ kacha nwee.  Kedu ụzọ kacha mma ọ ga-esi họrọ nke nlereanya?	"[""ị were otu ego ayọrọ n'ịme mkpọ"", 'Ị were ego ayọrọ ruo mgbe o nwetara otu na ụdị niile ', ""Ị were ego ayọrọ iri site n'otu ụdị na mkpọ"", ""Ị were ego ayọrọ iri atọ site na mkpọ  n'eleghi anya""]"	D	"[TextBlock(text=""D)Ị were ego ayọrọ iri atọ site na mkpọ  n'eleghi anya"", type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Celia nwere nnukwu komkom ebe a na-agwakọta ụdị mkpụrụ ego ayọrọ anọ dị iche iche.  Ọ chọrọ iwere ihe atụ nke mkpụrụ ego ayọrọ ya iji mata ụdị mkpụrụ ego ayọrọ ọ kacha nwee.  Kedu ụzọ kacha mma ọ ga-esi họrọ nke nlereanya?\n A)ị were otu ego ayọrọ n'ịme mkpọ B)Ị were ego ayọrọ ruo mgbe o nwetara otu na ụdị niile  C)Ị were ego ayọrọ iri site n'otu ụdị na mkpọ D)Ị were ego ayọrọ iri atọ site na mkpọ  n'eleghi anya""}]}]"	D
elementary_mathematics	Kedụ ọnọdụ enwere ike iji okwu 64 + 8 mee ihe?	"['Enwere bọs 8 nke ụmụ akwụkwọ 64 nọ na bọs ọ bụla.', ""Nwada Vance nwere mkpisi odee 8 na pensụl 64 n'ime mkpọ."", ""Enwere akwụkwọ 64 n'igbe akwụkwọ ma ewepụrụ akwụkwọ 8."", ""Maazị Juarez nwere iko 64 ma tụkwasi  ọnụọgụgụ ha nhata n'elu tebụl 8 ọ bụla.""]"	D	"[TextBlock(text=""D)Maazị Juarez nwere iko 64 ma tụkwasi  ọnụọgụgụ ha nhata n'elu tebụl 8 ọ bụla."", type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Kedụ ọnọdụ enwere ike iji okwu 64 + 8 mee ihe?\n A)Enwere bọs 8 nke ụmụ akwụkwọ 64 nọ na bọs ọ bụla. B)Nwada Vance nwere mkpisi odee 8 na pensụl 64 n'ime mkpọ. C)Enwere akwụkwọ 64 n'igbe akwụkwọ ma ewepụrụ akwụkwọ 8. D)Maazị Juarez nwere iko 64 ma tụkwasi  ọnụọgụgụ ha nhata n'elu tebụl 8 ọ bụla.""}]}]"	D
elementary_mathematics	Kedụ okwu di nha nhata dika (5 + 2) x 8?	['(8×5)+(8×2)', '(5×8) + (5×2)', '8×(5×2)', '(5x8)x2']	A	[TextBlock(text='A)(8×5)+(8×2)', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Kedụ okwu di nha nhata dika (5 + 2) x 8?\n A)(8×5)+(8×2) B)(5×8) + (5×2) C)8×(5×2) D)(5x8)x2'}]}]	A
