subject	question	choices	answer	opus	prompt	verbalized
elementary_mathematics	Colton nababa vake vakatenga garoni rependi richiita $13. Vakatengawo mabhuracho maviri akaita $9 bhuracho rega rega. Vakabhadhara marii yose pasina kubhadhara tax pamabhuracho nependi yavakatenga?	['$22', '$24', '$31', '$35']	C	[TextBlock(text='A)$22', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Colton nababa vake vakatenga garoni rependi richiita $13. Vakatengawo mabhuracho maviri akaita $9 bhuracho rega rega. Vakabhadhara marii yose pasina kubhadhara tax pamabhuracho nependi yavakatenga?\n A)$22 B)$24 C)$31 D)$35'}]}]	A
elementary_mathematics	Tsvaka zvakamirira y, y-2+3y +10	['2', '3', '4', '5']	B	[TextBlock(text='C)4', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Tsvaka zvakamirira y, y-2+3y +10\n A)2 B)3 C)4 D)5'}]}]	C
elementary_mathematics	Tsvaka 3 pamusoro pa2 *w = 66	['33', '44', '88', '99']	B	[TextBlock(text='A)33', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Tsvaka 3 pamusoro pa2 *w = 66\n A)33 B)44 C)88 D)99'}]}]	A
elementary_mathematics	Wendy anoda kuita tsvakurudzo yekuwona kuti ndorupi rudzi rweIce cream ine mbiri pachikoro pake.Ndeyipi nzira yakanakisa kusarudza zvisina chizivano, boka revana vepachikoro rekushanda naro?	['kusarudza vana gumi vanobva mumba mumwe mega mega', 'Kusarudza nhengo dzechikwata chevasikana ve softball', 'Kusarudza nhengo dzechikwata chevakomana vebasketball', 'kusarudza vana vechikoro vanoda rudzi rweicecream rwaanofarira']	A	[TextBlock(text='A)kusarudza vana gumi vanobva mumba mumwe mega mega', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Wendy anoda kuita tsvakurudzo yekuwona kuti ndorupi rudzi rweIce cream ine mbiri pachikoro pake.Ndeyipi nzira yakanakisa kusarudza zvisina chizivano, boka revana vepachikoro rekushanda naro?\n A)kusarudza vana gumi vanobva mumba mumwe mega mega B)Kusarudza nhengo dzechikwata chevasikana ve softball C)Kusarudza nhengo dzechikwata chevakomana vebasketball D)kusarudza vana vechikoro vanoda rudzi rweicecream rwaanofarira'}]}]	A
elementary_mathematics	Nyora 5.875 senhamba yemusanganiswa kana muchikamu chiri nyore.	['5 na 8 pamusoro pa 9', '5 na 7 pamusoro pa 8', '7 pamusoro pa 8', '5 na 87 pamusoro pa 105']	B	[TextBlock(text='B)5 na 7 pamusoro pa 8', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Nyora 5.875 senhamba yemusanganiswa kana muchikamu chiri nyore.\n A)5 na 8 pamusoro pa 9 B)5 na 7 pamusoro pa 8 C)7 pamusoro pa 8 D)5 na 87 pamusoro pa 105'}]}]	B
elementary_mathematics	Gadzirisa equation 124 = m + 34	['158', '90', '88', '4.216']	B	[TextBlock(text='B)90', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Gadzirisa equation 124 = m + 34\n A)158 B)90 C)88 D)4.216'}]}]	B
elementary_mathematics	Zelma  anotenga p mapaundi emabanana ne masenzi 40 papaundi rega rega. Anobhadhara munyori nemari yemakumi maviri yepepa. Munyori anobvisa mari yemabanana kubva mumumakumi maviri emadhora epepa kuti awane  mari inosara inoita kuti abhadhare Zelma. Ndechipi chirevo chinomirira mari inosara inofanira kupihwa Zelma?	['p-20', '20-40p', '20-0.40p', '0.40p -20']	C	[TextBlock(text='C)20-0.40p', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Zelma  anotenga p mapaundi emabanana ne masenzi 40 papaundi rega rega. Anobhadhara munyori nemari yemakumi maviri yepepa. Munyori anobvisa mari yemabanana kubva mumumakumi maviri emadhora epepa kuti awane  mari inosara inoita kuti abhadhare Zelma. Ndechipi chirevo chinomirira mari inosara inofanira kupihwa Zelma?\n A)p-20 B)20-40p C)20-0.40p D)0.40p -20'}]}]	C
elementary_mathematics	Celia ane gaba rakakura rinoiswwa makobiri endudzi dzakasiyana ina dzosanganiswa.Anoda kutora chikamu chemakobiri ake kuti agone kufungidzira kuti rudzi rwemakobiri akawanda ndeapi. Ndeipi nzira yaangashandisa kusarudza chkamu chakanaka?	['Kutora kobiri rimwechete kubva mugaba', 'Kutora makobiri kusvika avene ndudzi dzose dzakamiririrwa', 'kutora makobiri gumi endudzi dzose kubva mugaba', 'Kutora makobiri makumi matatu kubvisa mugaba usina kutarisa']	D	[TextBlock(text='B)Kutora makobiri kusvika avene ndudzi dzose dzakamiririrwa', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Celia ane gaba rakakura rinoiswwa makobiri endudzi dzakasiyana ina dzosanganiswa.Anoda kutora chikamu chemakobiri ake kuti agone kufungidzira kuti rudzi rwemakobiri akawanda ndeapi. Ndeipi nzira yaangashandisa kusarudza chkamu chakanaka?\n A)Kutora kobiri rimwechete kubva mugaba B)Kutora makobiri kusvika avene ndudzi dzose dzakamiririrwa C)kutora makobiri gumi endudzi dzose kubva mugaba D)Kutora makobiri makumi matatu kubvisa mugaba usina kutarisa'}]}]	B
elementary_mathematics	Mumamiriro izvinhu aya  chinyorwa ichi 64+ 8 chingashandiswe here?	['Kune mabhazi 8 ane vana vechikoro 64 mu bhazi rega rega', 'Ms Vance vane zvinyoreso 8 nemapenzura 64 mugaba', 'Pane mabhuku 64 mubhokisi remabhuku nemabhuku 8 akabviswa', 'Va Juarez vane makomichi 64 vachibva vaisa makomichi akaenzana patafura 8.']	D	[TextBlock(text='A)Kune mabhazi 8 ane vana vechikoro 64 mu bhazi rega rega', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Mumamiriro izvinhu aya  chinyorwa ichi 64+ 8 chingashandiswe here?\n A)Kune mabhazi 8 ane vana vechikoro 64 mu bhazi rega rega B)Ms Vance vane zvinyoreso 8 nemapenzura 64 mugaba C)Pane mabhuku 64 mubhokisi remabhuku nemabhuku 8 akabviswa D)Va Juarez vane makomichi 64 vachibva vaisa makomichi akaenzana patafura 8.'}]}]	A
elementary_mathematics	ndechipi chinyorwa chakainzana nechichi (5 + 2) x 8?	['(8x5) + ( 8x2)', '(5x8) + (5 x 2)', '8x (5x2)', '(5 x 8 ) x 2']	A	[TextBlock(text='A)(8x5) + ( 8x2)', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'ndechipi chinyorwa chakainzana nechichi (5 + 2) x 8?\n A)(8x5) + ( 8x2) B)(5x8) + (5 x 2) C)8x (5x2) D)(5 x 8 ) x 2'}]}]	A
