Unnamed: 0,subject,question,choice_D,answer,choices,output
0,elementary_mathematics,"The population of the city where Michelle was born is 145,826. What is the value of the 5 in the number 145,826?",5 ones,A,"['5 thousands', '5 hundreds', '5 tens', '5 ones']",B)5 hundreds
1,elementary_mathematics,"Olivia used the rule ""Add 11"" to create the number pattern shown below. 10, 21, 32, 43, 54 Which statement about the number pattern is true?",If the number pattern started with an odd number then the pattern would have only odd numbers in it.,B,"['The 10th number in the pattern will be an even number.', 'The number pattern will never have two even numbers next to each other.', 'The next two numbers in the pattern will be an even number then an odd number.', 'If the number pattern started with an odd number then the pattern would have only odd numbers in it.']",B)The number pattern will never have two even numbers next to each other.
2,elementary_mathematics,A total of 30 players will play basketball at a park. There will be exactly 5 players on each team. Which statement correctly explains how to find the number of teams needed?,Subtract 5 from 30 to find 25 teams.,B,"['Add 5 to 30 to find 35 teams.', 'Divide 30 by 5 to find 6 teams.', 'Multiply 30 and 5 to find 150 teams.', 'Subtract 5 from 30 to find 25 teams.']",B)Divide 30 by 5 to find 6 teams.
3,elementary_mathematics,A store sells 107 different colors of paint. They have 25 cans of each color in storage. The number of cans of paint the store has in storage can be found using the expression below. 107 × 25. How many cans of paint does the store have in storage?,"4,250",B,"['749', '2,675', '2,945', '4,250']",C) 2675
4,elementary_mathematics,Which expression is equivalent to 5 x 9?,(5 x 9) x (6 x 9),B,"['(5 x 4) x (6 x 5)', '(5 x 5) + (5 x 4)', '(5 x 5) + (5 x 9)', '(5 x 9) x (6 x 9)']",B) (5 x 5) + (5 x 4)
5,elementary_mathematics,"Colton and his dad bought a gallon of paint that cost $13. They also bought 2 brushes that cost $9 each. What was the total cost, not including tax, of the brushes and the paint they bought?",$35,C,"['$22', '$24', '$31', '$35']",C)$31
6,elementary_mathematics,Solve for y. y – 2 + 3y = 10,5,B,"['2', '3', '4', '5']",B)3
7,elementary_mathematics,Solve 3 over 2 * w = 66.,99,B,"['33', '44', '88', '99']",B)44
8,elementary_mathematics,Wendy wants to take a survey to determine which flavor of ice cream is the most popular at her school. Which of the following methods is the best way for her to choose a random sample of the students at her school?,selecting students who like her favorite flavor of ice cream,A,"['selecting ten students from each homeroom', 'selecting members of the girls’ softball team', 'selecting members of the boys’ basketball team', 'selecting students who like her favorite flavor of ice cream']",A)selecting ten students from each homeroom
9,elementary_mathematics,Write 5.875 as a mixed number or fraction in simplest form.,5 and 87 over 105,B,"['5 and 8 over 9', '5 and 7 over 8', '7 over 8', '5 and 87 over 105']",B)5 and 7 over 8
