question,choices,answer,subject,output
What is the value of p in 24=2p?,"['p = 4', 'p = 8', 'where p = 12', 'where p = 24']",C,elementary_mathematics,B)p = 12
"Mother Perez has walked a total of 40 kilometers in 5 days. Each day, she walks the same distance in kilometers. How many kilometers has Mother Perez walked in a day?","['What is it? 5', 'The 7th', '8 The Bible', '9 What Is the Bible?']",C,elementary_mathematics,A) 5
Calculate the quotient of -40 ÷(-8).,"['1 out of 5', '-5 years', '-1 out of 5', 'What is it? 5']",D,elementary_mathematics,D) What is it? 5
"A football team has a cost of $90.00 to get a football kit. If a football kit costs $15.60, what is the maximum amount of kit the team can get?","['The 4th', 'What is it? 5', 'The 6th', 'The 7th']",B,elementary_mathematics,D)The 7th
"With three friends, you enter a concert. Let's say that the total cost of 4 tickets is 112$. Write PE correct the equation SELECT to find out the cost of tickets b","['4b is equal to 112; 448 $', '4b= 112; $28', 'b of 4 = 112; 448 $', 'b of 4 = 112; 28 $']",B,elementary_mathematics,B) 4b = 112; $28
"Do the following calculation: 3 × [(2 × 6 - 5) + (8 ÷ 4) ] - 1, to answer the following question: what is the value of the operation ?","['9 What Is the Bible?', '11 The Bible', 'What is it? 26', '32 years old']",C,elementary_mathematics,C)What is it? 26
Write 1 and 1 over 11 in whole number form or mixed in very small form.,"['1.1 out of 11', '11 out of 11', '12 out of 11', '11 out of 12']",C,elementary_mathematics,C) 12 out of 11
multiply the answer by 2.16 ÷0.06,"['3.6 years', '36 years old', '0.01272 years', '12.72 years']",B,elementary_mathematics,B) 36 years old
give a range of 142.76 to 16.5,"['159.26 years old', '2,224 people', '14,111 of them', 'One hundred and sixty six']",D,elementary_mathematics,A) 159.26 years old
increase the distribution response of 5.04/0.7,"['0.72 years', '702 years', '10, 0571 people', '7.2 and above']",D,elementary_mathematics,C)10
"Jimmy and Kima go on a trip. They walk for three days. On the first day, they walk 182 kilometers. On the second day, they walk 439 kilometers. On the third day, they walk 217 kilometers. What is the next operation to calculate the number of kilometers walked by Jimmy and Kima during their trip?","['One hundred and fifty + 400 + 200', '200 and 400 and 200', '200 + 450 + 200 and so on', '200 and 500 and 200']",C,elementary_mathematics,A)One hundred and fifty + 400 + 200
What is the remainder of 21 divided by 7?,"['The 21st', 'The 7th', '1 and 2', 'None of the answers Given']",D,elementary_mathematics,D)None of the answers Given
Maddie cycles 56 kilometers in 7 days. She walks an average of one kilometer every day. How many kilometers does Maddie walk every day?,"['8 The Bible', '9 What Is the Bible?', '49 years old', '63 years old']",A,elementary_mathematics,A)8
Name the number of proofs of the theorem of 48 over 88 = ? over 11.,"['The 6th', '11 The Bible', '8 The Bible', 'What is it? 5']",A,elementary_mathematics,C) 8 The Bible
What is the most beautiful gift in the following illustration?,"['10 bars of soap for $23.20', '16 bars of soap for $36.48', '13 bars of soap for $29.51', '12 bars of soap for $27.60']",C,elementary_mathematics,A) 10 bars of soap for $23.20
"Trish's heart rate at breathing is equal to 50 beats per minute. For every minute of work, she adds 5 beats per minute. How long does it take her to reach a rhythm of 120 beats per minute?","['5 minutes', 'fourteen minutes', '34 minutes', '70 minutes']",B,elementary_mathematics,A) 14 minutes
Calculate the median from the following data set,"['18 What Is It?', 'What is it? 24', '25 years old', 'The 29th']",B,elementary_mathematics,C)25 years old
From the apple tree Jack harvests 60 apples. He cooks the compote with 12 apples and puts the remaining apples next to the basket of matching prizes. What equation can be used to determine the number of apples placed by Jack in each basket?,"['(60/6) 12 is equal to a', '(6012) /6 is equal to', '(60-6) -12 = a and', '(60+12)/6 is equal to']",B,elementary_mathematics,A)(60 - 12) / 6 = a
