question,choices,answer,subject,output
What is the value of p in 24 = 2p?,"['p is 5', 'p = 9', 'p = 13', 'p is equal to 25']",C,elementary_mathematics,B)p = 12
Ms. Perez drove a total of 40 miles in 5 days. She drives the same miles every day. How many miles did Ms. Perez drive every day?,"['What is it?', 'The 7th', 'The 8th', '9 What is it?']",C,elementary_mathematics,A) What is it?
Find the quotient of −40 ÷ (−8),"['1 divided by 5', '- 5', '-1 divided by 5', 'What is it?']",D,elementary_mathematics,B) -5
"If a soccer ball costs $15.60, what is the maximum number of soccer balls a team can buy?","['What is it? 4', 'What is it?', 'The 6th', 'The 7th']",B,elementary_mathematics,B)What is it?
You and three friends go to a concert. The total cost of four tickets is $112. Write and solve the formula for the cost of one ticket.,"['4t is 112; $449', '4t is equal to 112; $29', 't over 4 is 112; $449', 't over 4 = 112; $29']",B,elementary_mathematics,B) 4t is equal to 112; $29
Use the following expression to answer the question. What is the value of 3 × [(2 × 6  5) + (8 ÷ 4)  1?,"['9 What is it?', 'The 11th', 'What is it? 26', '32 years old']",C,elementary_mathematics,C) 26
Write 1 plus 1 divided by 11 as a whole number or a composite number in a simple way,"['1.1 when participating 11', '11 when participating 11', '12 in attendance 11', '11 When to Participate 12']",C,elementary_mathematics,A)1.1 when participating 11
Find the ratio of 2.16 divided by 0.06,"['3.6 years', '36 years old', '0.01272', '12.72 years']",B,elementary_mathematics,B) 36 years old
Find the difference between 142.76 and 16.5,"['159.26 years', '224 and 224', '14,111 people', '126.26 years']",D,elementary_mathematics,A) 126.26
Look for the share of 5.04/0.7,"['0.72 years', '0.702 days', '10.0571 people', '7.2 by weight']",D,elementary_mathematics,D)7.2 by weight
"On the first day, they drive 182 miles. On the second day, they drive 439 miles. On the third day, they drive 217 miles. What is the approximate estimate of how many miles Jimmy and Kim drive on their trip?","['One hundred and fifty-one plus four hundred plus two hundred', '201 and 400 and 200', 'One hundred and twenty + 450 + 200', 'One hundred and twenty plus 500 plus 200']",C,elementary_mathematics,B) 201 and 400 and 200
"When you divide 21 by 7, what's the remainder?","['The 21st', 'The 7th', '1st', 'No answer was given']",D,elementary_mathematics,D)No answer was given
Maddie cycles a total of 56 miles in 7 days. She cycles the same number of miles every day. What is the total number of miles Maddie cycles per day?,"['The 8th', '9 What is it?', '49 years old', 'The 63rd']",A,elementary_mathematics,A)The 8th
Find the number that equals 88 divided by 48 is greater than 11,"['The 6th', 'The 11th', 'The 8th', 'What is it?']",A,elementary_mathematics,A)The 6th
